id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr
3101	The gravity was so powerful, I couldn't stand it.				stand	homographic	['endure', 'tolerate', 'bear', 'withstand']	"['upright position', ""be on one's feet"", 'rise', 'remain vertical']"	supporter	['endurer', 'tolérer', 'subir', 'résister à']	['position debout', 'être sur ses pieds', 'se lever', 'rester vertical']
3102	The groundskeeper at a large cemetery was important because he had 5000 people under him.				under	homographic	['subordinated', 'reporting to', 'managed by', 'supervised']	['buried beneath', 'underground', 'below the surface', 'interred']	sous	['subordonné', 'sous les ordres de', 'géré par', 'supervisé']	['enterré sous', 'souterrain', 'sous la surface', 'inhumé']
3103	The guilt-ridden shark always has a feeling of remoras.				remoras	homophonic	['suckerfish', 'sharksuckers', 'marine fish']	['remorse', 'regret', 'guilt', 'penitence', 'contrition']	remords	['rémoras', 'poissons-ventouses', 'poissons marins']	['remords', 'regret', 'culpabilité', 'pénitence', 'contrition']
3104	The guitarist passed out on stage, he must have rocked himself to sleep.				rocked	homographic	['performed rock music', 'played loudly']	['swayed', 'lulled', 'moved back and forth']	bercé	['joué de la musique rock', 'joué fort']	"['balancé', 'apaisé', ""déplacé d'avant en arrière""]"
3105	The gunman took a shot at new opportunities.				shot	homographic	['discharge of a firearm', 'gunfire', 'blast']	['attempt', 'try', 'chance', 'endeavor']	coup	"[""décharge d'une arme à feu"", 'coup de feu', 'explosion']"	['tentative', 'essai', 'chance', 'effort']
3106	The guy who sold his carnival got a Fair deal.				Fair	homographic	['equitable', 'just', 'honest', 'favorable']	['carnival', 'exposition', 'festival', 'fete']	Foire	['équitable', 'juste', 'honnête', 'favorable']	['carnaval', 'exposition', 'festival', 'fête']
3107	The hardest thing for a person to keep is his opinion				keep	homographic	['retain', 'hold', 'preserve', 'maintain']	['adhere to', 'follow', 'abide by', 'refrain from sharing']	garder	['retenir', 'tenir', 'préserver', 'maintenir']	['respecter', 'suivre', 'se conformer à', 'ne pas partager']
3108	The harm caused by sibling rivalry is relative.				relative	homographic	['kin', 'family member', 'blood relation', 'relation']	['comparative', 'proportional', 'dependent', 'conditional']	relative	['parente', 'membre de la famille', 'lien de sang', 'relation']	['comparative', 'proportionnelle', 'dépendante', 'conditionnelle']
3109	The haughty magician had illusions of grandeur.				illusions	homographic	['delusions', 'false beliefs', 'self-deception', 'fantasy']	['magic tricks', 'sleight of hand', 'optical illusions', 'hallucinations']	illusions	['délires', 'fausses croyances', 'auto-tromperie', 'fantasme']	"['tours de magie', 'passe-passe', ""illusions d'optique"", 'hallucinations']"
3110	The high school music teacher was quite controversial. He told his students to read band books.				band	homophonic	['banned', 'prohibited', 'forbidden', 'censored']	['orchestra', 'ensemble', 'musical group']	groupe	['banni', 'prohibé', 'interdit', 'censuré']	['orchestre', 'ensemble', 'groupe musical']
