id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
2801	Some doting parents are son worshipers.				son	homophonic	['boy', 'child', 'offspring', 'heir', 'descendant', 'male']	['sun', 'star', 'solar', 'light', 'warmth', 'orbit']
2802	Some food for thought is only baloney				baloney	homographic	['meat', 'sausage', 'processed', 'cold-cut', 'deli']	['nonsense', 'foolishness', 'deception', 'absurdity', 'falsehood']
2803	Some foolish people gain by experience many perils of wisdom.				perils	homophonic	['danger', 'risk', 'hazard', 'misfortune', 'threat', 'jeopardy']	['pearls', 'gemstone', 'jewelry', 'oyster', 'nacre', 'ornament']
2804	Some gas station owners are very self-serving.				self-serving	homographic	['selfish', 'ego', 'profit', 'ambition', 'greedy', 'narcissism']	['gasoline', 'pump', 'nozzle', 'fuel', 'station', 'automobile']
2805	Some horses cause their owners a lot of woe.				woe	homophonic	['misery', 'sorrow', 'distress', 'grief', 'hardship', 'sadness']	['whoa', 'stop', 'halt', 'command', 'rein', 'stall']
2806	Some jokes get dated, other jokes get married.				dated	homographic	['old', 'obsolete', 'antique', 'outmoded', 'historical', 'period']	['romance', 'courtship', 'partnership', 'couple', 'relationship', 'suitor']
2807	Some mathematicians are reluctant to cosine a loan.				cosine	homophonic	['trigonometry', 'angle', 'function', 'geometry', 'math', 'ratio']	['signature', 'guarantor', 'contract', 'credit', 'agreement', 'debt']
2808	Some moss took a lichen to a tree.				lichen	homophonic	['fungus', 'algae', 'symbiosis', 'crustose', 'thallus', 'growth']	['liking', 'affection', 'preference', 'fondness', 'attraction', 'affinity']
2809	Some music stores are in a CD part of town.				CD	homophonic	['disc', 'audio', 'album', 'recording', 'compact', 'playback']	['seedy', 'shabby', 'dilapidated', 'sordid', 'disreputable', 'run-down']
2810	Some orchestra conductors make their mark in the world of opera. They were in the right aria at the right time.				aria	homophonic	['soprano', 'solo', 'opera', 'melodic', 'libretto', 'performance']	['location', 'region', 'zone', 'territory', 'space', 'vicinity']
2811	Some people don't have the Vegas idea of how to quit gambling.				Vegas	homophonic	['vague', 'unclear', 'hazy', 'uncertain', 'ambiguous', 'obscure']	['Nevada', 'casino', 'betting', 'blackjack', 'slots', 'poker']
2812	Some people find fire drills quite Alarming.				alarming	homographic	['frightening', 'shocking', 'disturbing', 'unsettling', 'terrifying', 'worrisome']	['siren', 'bell', 'warning', 'signal', 'buzzer', 'detector']
2813	Some people go deep sea fishing for sailfish motives.				sailfish	homophonic	['marlin', 'ocean', 'predator', 'fin', 'tackle', 'pelagic']	['selfish', 'ego', 'greedy', 'intent', 'narcissistic', 'ulterior']
2814	Some people go into martial arts just for kicks.				kicks	homographic	['strike', 'foot', 'impact', 'combat', 'blow', 'thrust']	['fun', 'thrill', 'enjoyment', 'pleasure', 'excitement', 'amusement']
2815	Some people have to get up for work at the crank of dawn.				crank	homophonic	['morning', 'sunrise', 'horizon', 'light', 'early', 'daybreak']	['handle', 'shaft', 'lever', 'rotation', 'mechanical', 'engine']
2816	Some people like raw meat on rare occasions.				rare	homographic	['undercooked', 'bloody', 'red', 'seared', 'beef', 'steak']	['infrequent', 'unusual', 'scarce', 'unique', 'exceptional', 'sporadic']
2817	Some people like to whine and dine.				whine	homophonic	['complain', 'cry', 'whimper', 'nag', 'grumble', 'moan']	['wine', 'alcohol', 'grape', 'beverage', 'vintage', 'glass']
2818	Some people love horoscopes to pisces.				pisces	homophonic	['pieces', 'fragments', 'portions', 'segments', 'sections', 'parts']	['zodiac', 'astrology', 'horoscope', 'constellation', 'stars', 'fish']
2819	Some people make big pottery items to urn a living.				urn	homophonic	['vessel', 'vase', 'pottery', 'ceramic', 'clay', 'container']	['salary', 'income', 'wages', 'profit', 'revenue', 'employment']
2820	Some people really enjoy blowing air out of their lungs-I'm not a fan myself.				fan	homographic	['enthusiast', 'supporter', 'admirer', 'folloer', 'devotee']	['propeller', 'blade', 'ventilation', 'airflow', 'cooler', 'turbine']
2821	Some people still think that writing long stories is a novel idea.				novel	homographic	['book', 'fiction', 'narrative', 'chapters', 'prose', 'author']	['new', 'original', 'unique', 'fresh', 'unconventional', 'innovative']
2822	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.				puzzle	homographic	['jigsaw', 'cardboard', 'pieces', 'fragment', 'resemble', 'assemble']	['mystery', 'confusion', 'enigma', 'perplexity', 'bewilderment', 'conundrum']
2823	Some people who cut hair can be quite barbarous.				barbarous	homophonic	['hairdresser', 'barber', 'clippers', 'scissors', 'salon', 'trim']	['cruel', 'savage', 'brutal', 'uncivilized', 'vicious', 'harsh']
2824	Some people with a lot of vision started the Blind Institute.				vision	homographic	['foresight', 'planning', 'intelligence', 'prospective', 'wisdom', 'imagination']	['eyesight', 'retina', 'optics', 'sight', 'ocular', 'perception']
2825	Some people, asked what they thought had caused the recent flooding in our valley, pointed to a concrete wall in the distance and said it was this damn thing.				damn	homophonic	['curse', 'oath', 'profanity', 'expletive', 'denouncement', 'condemnation']	['dam', 'barrier', 'reservoir', 'concrete', 'hydrology', 'infrastructure']
2826	Some rappers are good but others are Ludacris.				Ludacris	homophonic	['musician', 'rapper', 'Atlanta', 'performer', 'celebrity', 'recording']	['ridiculous', 'absurd', 'foolish', 'outre', 'preposterous', 'nonsense']
2827	Some resist having the'flu jab but it's quite innocuous.				innocuous	homophonic	['harmless', 'safe', 'benign', 'gentle', 'mild', 'nontoxic']	['needle', 'syringe', 'vaccine', 'injection', 'doctor', 'serum']
2828	Some shoe sales have a good selection to boot.				boot	homographic	['additional', 'extra', 'more', 'surplus', 'besides', 'added']	['footwear', 'leather', 'cleat', 'shoe', 'apparel', 'sole']
2829	Some traditions stay fresh for generations.				fresh	homographic	['new', 'recent', 'current', 'original', 'novel', 'unprocessed']	['vibrant', 'vigorous', 'healthy', 'strong', 'youthful', 'energetic']
2830	Some were shocked that Lord Stormsong made a bargain with Azshara, but I always knew he smelled fishy!				fishy	homographic	['suspicious', 'dubious', 'unreliable', 'questionable', 'dishonest', 'crooked']	['aquatic', 'oceanic', 'marine', 'gilled', 'salty', 'briny']
2831	Some women stay single and others are the Marion kind.				Marion	homophonic	['matrimony', 'wedding', 'spousal', 'nuptial', 'bridal', 'union']	['name', 'proper', 'identity', 'individual', 'female', 'person']
2832	Someday the [animals] will take over. Mark my words, the apawcalypse will come				apawcalypse	homophonic	['disaster', 'end', 'catastrophe', 'doomsday', 'armageddon', 'ruin']	['paws', 'claws', 'fur', 'critters', 'mammals', 'predators']
2833	Someone I know is getting into the fashion business. He's a clothes friend of mine.				clothes	homophonic	['garments', 'apparel', 'fashion', 'attire', 'fabric', 'tailor']	['intimate', 'familiar', 'nearby', 'trusted', 'companion', 'loyal']
2834	"""Someone bumped into me while I was brushing my teeth,"" he said with a gleam in his eye."				gleam	homographic	['shine', 'light', 'reflection', 'sparkle', 'glint']	['enamel', 'toothpaste', 'cleanliness', 'polish', 'whiteness', 'smile']
2835	Someone led me to believe that graphite was discovered in Pennsylvania.				led	homophonic	['guided', 'conducted', 'steered', 'escorted', 'directed', 'showed']	['lead', 'graphite', 'mineral', 'metallic', 'element', 'pencil']
