id_en	shuffled_candidates_json
1	"[{""id"":73813,""pun"":""Je veux être incinéré : c’est ma dernière chance d’avoir un corps de braise."",""run"":""gpt_single""}]"
2	"[{""id"":40715,""pun"":""À celui qui a inventé le zéro : merci pour rien."",""run"":""gpt_single""}]"
3	"[{""id"":27479,""pun"":""Le moulin à paroles est resté sans voix : pour une première, il a vraiment raté sa première."",""run"":""gpt_single""}]"
4	"[{""id"":70158,""pun"":""Un bon acte ne se perd jamais : s’il est authentique, il finit toujours par faire foi."",""run"":""gpt_single""}]"
5	"[{""id"":70548,""pun"":""Je te le dis tout rond : si tu continues à me shooter comme un ballon, autant me recouvrir de cuir."",""run"":""gpt_single""}]"
6	"[{""id"":19699,""pun"":""Je ne rebois pas, voyons : c’est juste un petit thé-quila."",""run"":""gpt_single""}]"
7	"[{""id"":37969,""pun"":""Si tu n’as jamais fait de crise, inutile d’essayer celle-ci : elle ne te va pas."",""run"":""gpt_single""}]"
8	"[{""id"":58733,""pun"":""« Papa, je suis affamé. » — « Enchanté, Affamé, moi c’est Papa. »"",""run"":""gpt_single""}]"
9	"[{""id"":12697,""pun"":""Ton histoire est d’un ennui assourdissant : elle rendrait l’ouïe à un sourd juste pour qu’il puisse couper le son."",""run"":""gpt_single""}]"
10	"[{""id"":47408,""pun"":""Sur la tombe d’un menteur, écrivez plutôt : « Ci-gît celui qui, pour une fois, ne ment pas. »"",""run"":""gpt_single""}]"
11	"[{""id"":56576,""pun"":""« Je t’appelle plus tard. » — « Ne m’appelle pas Plus-Tard, appelle-moi papa. »"",""run"":""gpt_single""}]"
12	"[{""id"":87013,""pun"":""Quand tu frappes, ton écriture est reconnaissable : tu signes toujours en bleu."",""run"":""gpt_single""}]"
13	"[{""id"":75385,""pun"":""On va mettre les choses au clair, vieille peau… pardon, Madame Vieillepeau !"",""run"":""gpt_single""}]"
14	"[{""id"":57620,""pun"":""Le corps est chez le roi, mais le Roi n’est pas dans le corps : on enterre l’homme, pas la couronne."",""run"":""gpt_single""}]"
15	"[{""id"":98481,""pun"":""Polonius est au souper : ce n’est pas lui qui soupe, ce sont les vers."",""run"":""gpt_single""}]"
16	"[{""id"":35218,""pun"":""Orfeo ed Euridice, c’est un opéra d’enfer : on y descend même aux Enfers."",""run"":""gpt_single""}]"
17	"[{""id"":54543,""pun"":""Je nourris ma famille en mettant le pain sur la table… surtout celle des autres, je suis serveur."",""run"":""gpt_single""}]"
