id_en	shuffled_candidates_json
1	"[{""id"":11143,""pun"":""À la vapeur ou incinéré ? Peu importe, du moment que je finis renversant — ou renversé."",""run"":""claude""},{""id"":98925,""pun"":""Je veux être incinéré pour enfin avoir la ligne : cendrée."",""run"":""claude""},{""id"":12397,""pun"":""Je veux être incinéré : c'est la seule façon d'être carrément fumant sans aller à la salle de sport."",""run"":""claude""},{""id"":75716,""pun"":""Mon testament est simple : crémation. Je veux finir avec plus de chaleur humaine que j'en ai jamais eu de mon vivant."",""run"":""claude""},{""id"":45277,""pun"":""Je choisis l'incinération, c'est ma dernière chance d'avoir un corps vraiment craquant."",""run"":""gemini_pro""},{""id"":61360,""pun"":""Je veux être incinéré : c’est ma dernière chance d’avoir un corps de braise."",""run"":""gpt_single""},{""id"":69535,""pun"":""Je veux me faire incinérer, c'est mon dernier espoir d'avoir enfin un regard de braise."",""run"":""gemini_pro_single""},{""id"":89032,""pun"":""J'ai demandé à être crémé. Pas par désespoir — juste pour finir enfin fumant."",""run"":""claude""},{""id"":42123,""pun"":""Ma dernière volonté ? La crémation. C'est le seul régime qui me rendra vraiment séduisant en un rien de temps."",""run"":""claude""},{""id"":75941,""pun"":""J'ai opté pour la crémation. Les gens diront enfin de moi que j'étais quelqu'un de… carbonisant."",""run"":""claude""},{""id"":35041,""pun"":""Je préfère la crémation à l'enterrement. Au moins, je finirai chaud et attirant — même si c'est en cendres."",""run"":""claude""},{""id"":61967,""pun"":""Je me fais incinérer. C'est mon ultime espoir de finir avec un corps ultra chaud."",""run"":""gemini_pro""},{""id"":78652,""pun"":""Je veux être incinéré — c'est mon seul espoir de finir en beauté. Enfin, en cendres, mais cendres magnifiques."",""run"":""claude""},{""id"":47804,""pun"":""Je veux être incinéré — c'est mon dernier espoir d'avoir un corps brûlant."",""run"":""claude""},{""id"":10211,""pun"":""Je veux la crémation. C'est le seul spa où je ressortirai vraiment… à la vapeur."",""run"":""claude""},{""id"":89260,""pun"":""Le paveur et le crématorium ont un point commun : ils vous laissent tous les deux dans un état… fumant."",""run"":""claude""}]"
2	"[{""id"":42290,""pun"":""Félicitations à l'inventeur du zéro, qui a magnifiquement réussi sa carrière alors qu'il est littéralement parti de rien."",""run"":""gemini_pro""},{""id"":20345,""pun"":""Franchement, le graphiste qui a dessiné le tout premier chiffre zéro a vraiment tourné en rond pour rien."",""run"":""gemini_pro""},{""id"":83573,""pun"":""À celui qui a inventé le zéro : sans toi, nos comptes seraient incomplets. Mais avec toi, ils sont souvent à zéro."",""run"":""claude""},{""id"":21208,""pun"":""La conférence de trois heures sur la découverte du zéro n'a intéressé personne, c'était vraiment le grand vide."",""run"":""gemini_pro""},{""id"":26266,""pun"":""Quand j'ai contredit l'inventeur du zéro dans un débat, il a eu le don de réduire tous mes arguments à néant."",""run"":""gemini_pro""},{""id"":64307,""pun"":""À celui qui a inventé le zéro : merci pour rien."",""run"":""gpt_single""},{""id"":59102,""pun"":""À l'inventeur du zéro : tes détracteurs disent que tu n'as rien fait de ta vie, mais moi je dis que ça compte."",""run"":""gemini_pro""},{""id"":57214,""pun"":""À l'inventeur du zéro : merci pour rien."",""run"":""claude""},{""id"":13338,""pun"":""Au début, la communauté scientifique l'a rejeté : pour eux, l'inventeur du zéro ne comptait pas."",""run"":""gemini_pro""},{""id"":80310,""pun"":""Le zéro, c'est le chiffre le plus nul — et pourtant il compte."",""run"":""claude""},{""id"":96767,""pun"":""Les mathématiciens qui refusaient d'adopter le zéro comptaient finalement pour des prunes."",""run"":""gemini_pro""},{""id"":53442,""pun"":""Après la découverte des chiffres romains, l'invention du zéro a enfin réussi à remettre les compteurs à zéro."",""run"":""gemini_pro""},{""id"":40228,""pun"":""Mon régime : je mange pour rien. Malheureusement, rien ne disparaît."",""run"":""claude""},{""id"":42876,""pun"":""L'inventeur du zéro a beaucoup de mérite : il est vraiment parti de rien."",""run"":""gemini_pro_single""},{""id"":18257,""pun"":""Quand on a remercié l'inventeur du zéro, il a tout simplement répondu : « De rien ! »"",""run"":""gemini_pro""},{""id"":88785,""pun"":""Je suis parti de rien et j'ai tout raté. C'est un beau parcours zéro."",""run"":""claude""},{""id"":83565,""pun"":""Il paraît que l'inventeur du zéro n'était pas un génie de l'innovation. En tout cas, son concept est nul."",""run"":""gemini_pro""},{""id"":96845,""pun"":""L'inventeur du zéro a tout donné... c'est-à-dire rien."",""run"":""claude""},{""id"":84733,""pun"":""L'entreprise qui fabriquait en série les premiers zéros a vite fait faillite, ses résultats étaient nuls."",""run"":""gemini_pro""},{""id"":76649,""pun"":""Mon bilan de l'année ? Zéro pointé. Mais au moins j'ai visé juste."",""run"":""claude""},{""id"":71731,""pun"":""Il m'a offert une babiole pour mon anniversaire. Franchement, rien, c'est mieux que ça."",""run"":""claude""},{""id"":95323,""pun"":""J'ai une philosophie de vie : le néant. C'est creux, mais ça me remplit."",""run"":""claude""},{""id"":54371,""pun"":""Mon patron dit que je produis du vide. Je lui ai répondu que le vide, c'est la base de tout."",""run"":""claude""},{""id"":29309,""pun"":""Merci à l'inventeur du zéro : grâce à lui, mon compte en banque a enfin un sens."",""run"":""claude""},{""id"":69450,""pun"":""Les mathématiciens ont inventé le zéro. Les politiciens, eux, ont inventé les promesses — même résultat."",""run"":""claude""},{""id"":58648,""pun"":""On a demandé à l'inventeur du zéro comment il avait eu cette idée ; il a avoué qu'il a juste pensé à faire le vide."",""run"":""gemini_pro""}]"
3	"[{""id"":51041,""pun"":""Le grand discoureur réduit au silence. Historique ! On va marquer le jalon avec une plaque commémorative."",""run"":""claude""},{""id"":97668,""pun"":""Le roi du verbiage muet comme une tombe. C'est son premier chef-d'œuvre — et de loin le meilleur."",""run"":""claude""},{""id"":55806,""pun"":""Le moulin à paroles est en panne. C'est inédit — brevet en cours de dépôt."",""run"":""claude""},{""id"":79273,""pun"":""L'acteur le plus bavard de la troupe a oublié tout son texte. Pour un tel parleur, cette panne sur scène est une sacrée première !"",""run"":""gemini_pro""},{""id"":19382,""pun"":""Le moulin à paroles muet : c'est le premier pas… vers la paix des ménages."",""run"":""claude""},{""id"":89803,""pun"":""Le moulin à paroles... sans voix. C'est du jamais vu — et même du jamais entendu !"",""run"":""claude""},{""id"":63824,""pun"":""Le moulin à paroles sans paroles — événement inédit ! Les bookmakers n'avaient pas coté ça."",""run"":""claude""},{""id"":86137,""pun"":""Le discoureur bouche cousue ? Primaire, oui — mais dans le bon sens du terme."",""run"":""claude""},{""id"":34267,""pun"":""Le grand bavard, muet comme une carpe. Première fois que sa bouche sert de décoration."",""run"":""claude""},{""id"":21930,""pun"":""Le grand bavard sans voix, c'est original ! Enfin, 'original' au sens de 'ça n'existe pas dans la nature'."",""run"":""claude""},{""id"":86091,""pun"":""Le bavard sans voix — une rareté absolue. On le met sous verre au Muséum d'Histoire Naturelle."",""run"":""claude""},{""id"":49911,""pun"":""Le moulin à paroles en mode avion. Du jamais-vu — ou plutôt du jamais-ouï."",""run"":""claude""},{""id"":20207,""pun"":""Ce comédien, d'ordinaire vrai moulin à paroles, est resté sans voix au lever du rideau : c'était une véritable première !"",""run"":""gemini_pro_single""},{""id"":90898,""pun"":""Face au juge, l'incorrigible bavard est resté coi. Pour la première fois, il n'a pas usé nos oreilles avec ses éternels 'quoi ?'."",""run"":""gemini_pro""},{""id"":37356,""pun"":""Ce grand bavard n'a plus rien à dire. Son dernier discours est devenu littéralement in-édit !"",""run"":""gemini_pro""},{""id"":60990,""pun"":""Le moulin à paroles est resté sans voix : pour une première, il a vraiment raté sa première."",""run"":""gpt_single""},{""id"":96067,""pun"":""Le roi du baratin sans mot dire ? C'est une première mondiale — les juges notent 10/10 pour la nouveauté."",""run"":""claude""}]"
4	"[{""id"":69773,""pun"":""Les bonnes actions, c'est comme les actions en bourse : ça monte, ça descend, et les mauvais investisseurs en profitent toujours."",""run"":""claude""},{""id"":72193,""pun"":""Mon oncle tueur à gages ne commet jamais de mauvaises actions ou de bavures : il honore toujours fidèlement son contrat."",""run"":""gemini_pro""},{""id"":63825,""pun"":""Le caractère, c'est un bien immobilier : tout le monde veut en avoir, mais personne ne veut payer les charges."",""run"":""claude""},{""id"":18650,""pun"":""Un bon acte ne se perd jamais : s’il est authentique, il finit toujours par faire foi."",""run"":""gpt_single""},{""id"":65002,""pun"":""Certains croient au karma, d'autres au livret A : quoi qu'il arrive, une bonne action finit inéluctablement sur un registre."",""run"":""gemini_pro""},{""id"":99306,""pun"":""En bourse ou en famille, le bon caractère restera toujours notre meilleure valeur, même si une bonne action se revend plus vite."",""run"":""gemini_pro""},{""id"":80773,""pun"":""Le caractère, c'est le seul titre de propriété que le notaire ne peut pas enregistrer, mais que tout le monde reconnaît."",""run"":""claude""},{""id"":69415,""pun"":""Un bon acte ne se perd jamais. Le caractère, c'est un acte notarié — la plus noble des acquisitions."",""run"":""claude""},{""id"":54618,""pun"":""Le caractère est la plus noble des propriétés, dont le meilleur titre reste l'acte."",""run"":""gemini_pro_single""},{""id"":72035,""pun"":""Comment les neurones réussissent-ils à accomplir de si bonnes actions ? Grâce à de très bons axones."",""run"":""gemini_pro""},{""id"":29919,""pun"":""Une bonne action ne se perd jamais. La vertu, c'est un contrat — on signe avec sa conscience et on paie toute sa vie."",""run"":""claude""},{""id"":60099,""pun"":""Le caractère, c'est comme un acte de naissance : on ne le choisit pas, mais il faut le porter toute sa vie."",""run"":""claude""},{""id"":10653,""pun"":""Avoir un très bon caractère est une merveilleuse propriété, sauf le mois où l'on vous réclame la taxe foncière."",""run"":""gemini_pro""},{""id"":12366,""pun"":""La noblesse, c'est agir sans témoin. La cession, c'est agir devant notaire. La grande question : lequel dort mieux ?"",""run"":""claude""},{""id"":23699,""pun"":""L'assemblée des agents immobiliers a fait une très belle action aujourd'hui, c'était une excellente cession."",""run"":""gemini_pro""},{""id"":86025,""pun"":""Le caractère vertueux, c'est le seul patrimoine qu'on ne peut pas transmettre par acte notarié — mais qu'on lègue quand même."",""run"":""claude""},{""id"":18940,""pun"":""Un bon geste ne se perd jamais. Le caractère, c'est un titre — la plus noble des propriétés."",""run"":""claude""},{""id"":25931,""pun"":""La gentillesse est un excellent investissement : une bonne action finit toujours par rapporter de gros dividendes."",""run"":""gemini_pro""},{""id"":48813,""pun"":""Le bourreau municipal de Paris était très fier de sa bonne action quotidienne : son exécution était absolument sans faille."",""run"":""gemini_pro""},{""id"":71328,""pun"":""Faire une bonne action est un véritable don de soi... et faire un acte notarié est un véritable don de toit."",""run"":""gemini_pro""},{""id"":54209,""pun"":""Une bonne action, ça ne se perd jamais… sauf si tu l'as faite sans témoin — là c'est juridiquement irrecevable."",""run"":""claude""},{""id"":89939,""pun"":""Un bon acte n'est jamais perdu, surtout s'il est paraphé devant un notaire."",""run"":""gemini_pro""},{""id"":52977,""pun"":""Une bonne action par jour éloigne le juge de ses fonctions… ou pas, ça dépend de ton avocat."",""run"":""claude""},{""id"":69527,""pun"":""Il m'a fait une formidable promesse de vente, mais je vous avoue que le geste était purement symbolique."",""run"":""gemini_pro""},{""id"":12978,""pun"":""Mon médecin dit que mes neurones sont au ralenti. Je lui ai répondu : non, mes axones sont juste en grève — c'est une action collective."",""run"":""claude""},{""id"":95941,""pun"":""Il a fait un grand geste de bravoure, mais pour être honnête avec vous, c'était davantage pour le titre qu'autre chose."",""run"":""gemini_pro""}]"
5	"[{""id"":54547,""pun"":""J'avais beau essayer d'arrondir les angles avec vous, vous finissez toujours par me traiter en ballon !"",""run"":""gemini_pro""},{""id"":63873,""pun"":""Il m'a dit : sois carré ! J'ai répondu : je faisais de mon mieux pour être rond, et maintenant il faut choisir."",""run"":""claude""},{""id"":15407,""pun"":""Vous me prenez pour un ballon de foot ? Franchement, c'est gonflé !"",""run"":""gemini_pro""},{""id"":96602,""pun"":""Je te le dis tout rond : si tu continues à me shooter comme un ballon, autant me recouvrir de cuir."",""run"":""gpt_single""},{""id"":86671,""pun"":""Je lui ai dit la vérité en face. Il m'a répondu que j'étais vraiment trop direct. C'est pourtant lui qui m'a mis K.O."",""run"":""claude""},{""id"":66968,""pun"":""Tu me demandes d'être honnête ? Soit. Tu ressembles à un ballon — et je ne parle pas de tes qualités sportives."",""run"":""claude""},{""id"":88514,""pun"":""Mon patron dit qu'il faut être direct. Moi j'essaie, mais à chaque fois il me renvoie dans les cordes."",""run"":""claude""},{""id"":90980,""pun"":""Tu veux que je sois franc avec toi ? Aussi franc qu'un ballon de foot que tu continues à shooter !"",""run"":""claude""},{""id"":22734,""pun"":""Vous me percutez sans cesse comme un ballon ? Décidément, plus rien ne tourne rond entre nous."",""run"":""gemini_pro""},{""id"":46848,""pun"":""Pour durer dans ce boulot, ils m'ont dit qu'il fallait être solide. On m'a mis dans un costume en cuir — comme un ballon de rugby prêt à encaisser."",""run"":""claude""},{""id"":11223,""pun"":""Je lui ai dit d'être franc. Il m'a rendu la monnaie de ma pièce — littéralement, un franc."",""run"":""claude""},{""id"":32640,""pun"":""Suis-je si franc et rond avec vous, que vous me preniez pour un ballon de foot et me bottiez de la sorte ?"",""run"":""gemini_pro_single""},{""id"":78884,""pun"":""Il m'a botté les fesses en me disant d'être droit. Je ne sais pas lequel de nous deux manque de droiture."",""run"":""claude""},{""id"":66836,""pun"":""Tu veux jouer au foot avec moi ? Je suis déjà bien rond, tu n'as pas besoin de me gonfler davantage."",""run"":""claude""},{""id"":76417,""pun"":""Il m'a demandé d'être rond avec lui. J'ai perdu dix kilos pour rien."",""run"":""claude""},{""id"":61979,""pun"":""Mon coach dit que je suis trop rond pour jouer au foot. Je lui ai répondu que j'étais simplement... bien dans mes formes."",""run"":""claude""},{""id"":46152,""pun"":""Il voulait qu'on se parle franchement. On s'est retrouvés à la frontière — c'est le seul endroit franc qu'il connaît."",""run"":""claude""}]"
6	"[{""id"":53215,""pun"":""— Il boit quoi ce soir ? — Un verre vert de menthe. — C'est tout ? — Non, il en a bu vers minuit aussi."",""run"":""claude""},{""id"":66196,""pun"":""Je ne rebois pas, voyons : c’est juste un petit thé-quila."",""run"":""gpt_single""},{""id"":67752,""pun"":""— Vous avez du vert dans votre verre ? — Oui, c'est un cocktail écolo : tequila et menthe vers l'infini."",""run"":""claude""},{""id"":50289,""pun"":""— Qu'est-ce que tu bois ? — Une infusion. — De quoi ? — D'agave. C'est ma te-quilla-tisane."",""run"":""claude""},{""id"":64431,""pun"":""— Tu bois encore de l'alcool ? — Mais non, c'est juste du thé. — Quel genre de thé ? — Du thé-quila."",""run"":""gemini_pro_single""},{""id"":28153,""pun"":""— Pourquoi le jardinier est-il toujours ivre ? — Il infuse trop ses herbes... à 40 degrés."",""run"":""claude""},{""id"":21541,""pun"":""— Tu bois encore ? — Non, c'est du thé. — Quel thé ? — Thé-quila."",""run"":""claude""},{""id"":20299,""pun"":""— Le Mexicain va bien ? — Oui, il est tequil-à-l'aise."",""run"":""claude""},{""id"":17673,""pun"":""— Tu veux du thé ou de la tequila ? — Les deux. — Comment ça s'appelle ? — Un thé-quila, évidemment."",""run"":""claude""},{""id"":72325,""pun"":""\""Tu bois encore ?\"" \""Non, je prends juste un thé.\"" \""Quel genre de thé ?\"" \""Un thé-quila.\"""",""run"":""gemini_pro""},{""id"":30473,""pun"":""— Mon herboriste vend de l'alcool maintenant ? — Oui, il a diversifié : c'est de l'herbe-à-fort-degré."",""run"":""claude""},{""id"":91477,""pun"":""— Pourquoi Achille ne boit-il que de la tequila ? — Parce que c'est son talon d'agave."",""run"":""claude""},{""id"":57774,""pun"":""Quel alcool frappe toujours à la porte dans le noir ? La T'es-qui-là ! (Tequila)"",""run"":""gemini_pro""},{""id"":42774,""pun"":""— Comment appelle-t-on un poème bu cul sec ? — Un vers ivre."",""run"":""claude""},{""id"":58937,""pun"":""— Il paraît que tu bois en cachette ? — Non, je suis juste… bouillant d'innocence."",""run"":""claude""},{""id"":55281,""pun"":""— Tu prends quoi comme spiritueux ? — Du rhum… blement du mal à m'arrêter."",""run"":""claude""}]"
7	"[{""id"":30230,""pun"":""Elle a eu un spasme en lisant sa lettre. La lettre ne lui convenait pas, le spasme non plus."",""run"":""claude""},{""id"":96098,""pun"":""Tu n'as jamais eu de crises, ma chérie ? Alors ces critiques ne te conviennent pas."",""run"":""claude""},{""id"":12432,""pun"":""— Ces mots ne m'appartiennent pas. — Comme ta crise d'hier, tu ne les as pas non plus réclamés."",""run"":""claude""},{""id"":73332,""pun"":""— Ce discours ne vous convient pas du tout ! — Comme votre dernière crise, il ne passait pas non plus."",""run"":""claude""},{""id"":73377,""pun"":""Piquer une crise en cabine d'essayage ? Franchement, ma chère, ce comportement ne vous va pas du tout."",""run"":""gemini_pro""},{""id"":34216,""pun"":""« Avant qu'elle ne perde toute mesure... » Vous ne perdez jamais la mesure, ma chère ? Alors ces mots ne sont pas taillés sur mesure pour vous."",""run"":""gemini_pro_single""},{""id"":41150,""pun"":""Si tu n’as jamais fait de crise, inutile d’essayer celle-ci : elle ne te va pas."",""run"":""gpt_single""},{""id"":59040,""pun"":""— Tu n'as jamais eu d'agitation intérieure ? — Jamais. — Alors tu n'es pas fait pour ce poste agité."",""run"":""claude""},{""id"":32885,""pun"":""Elle a piqué une énorme crise quand la couturière a refusé de lui prêter ses aiguilles."",""run"":""gemini_pro""},{""id"":47199,""pun"":""— Ce rôle vous va à merveille ! — Avant ou après ma crise de nerfs sur scène ?"",""run"":""claude""},{""id"":10813,""pun"":""Depuis son attaque, son pantalon ne lui va plus. On dit que la crise lui a fait perdre la taille."",""run"":""claude""},{""id"":41873,""pun"":""Il dit que sa veste lui va parfaitement. Mais après sa crise de panique, même ses vêtements ne lui allaient plus."",""run"":""claude""},{""id"":29001,""pun"":""Elle n'a jamais eu de paroxysme ? Alors les mots paroxytones ne lui correspondent pas non plus."",""run"":""claude""},{""id"":64355,""pun"":""Elle est tombée dans les pommes parce que sa robe tombait mal."",""run"":""gemini_pro""},{""id"":84484,""pun"":""— Ce chapeau t'est bien ajusté ! — Comme mon humeur, ça dépend des crises."",""run"":""claude""},{""id"":51950,""pun"":""— Ce costume te va comme un gant ! — Oui, avant mon attaque cardiaque. Maintenant rien ne me va."",""run"":""claude""},{""id"":40765,""pun"":""— Tu n'as jamais eu d'accès de colère ? — Non. — Alors tu n'as pas accès à cette blague."",""run"":""claude""},{""id"":67147,""pun"":""Faire un tel scandale parce que le pantalon est trop grand, c'est vraiment un problème de taille !"",""run"":""gemini_pro""},{""id"":80458,""pun"":""Elle a craqué nerveusement au moment exact où la couture de son pantalon a craqué."",""run"":""gemini_pro""}]"
8	"[{""id"":22639,""pun"":""Je suis affamé. — Bonjour Affamé, je suis ton père."",""run"":""claude""},{""id"":38121,""pun"":""Papa, j'ai faim ! — Bonjour J'ai-Faim, je te présente Ça-Tombe-Bien, on allait justement dîner."",""run"":""claude""},{""id"":49115,""pun"":""Papa, j'ai faim. — Ah bon ? Moi j'ai un prénom."",""run"":""claude""},{""id"":17110,""pun"":""Papa, j'ai faim. — Faim? Drôle de prénom. Moi c'est Papa, et toi tu manges."",""run"":""claude""},{""id"":14762,""pun"":""Mon fils me dit qu'il a faim. Je lui réponds : bienvenue dans la famille, Faim — t'as une sœur qui s'appelle Soif."",""run"":""claude""},{""id"":26523,""pun"":""J'ai une faim de loup. — Enchanté, Loup. Moi c'est Faim."",""run"":""claude""},{""id"":56537,""pun"":""Papa, j'ai faim. — Bonjour Faim, moi c'est Papa."",""run"":""claude""},{""id"":79497,""pun"":""« Papa, je suis affamé. » — « Enchanté, Affamé, moi c’est Papa. »"",""run"":""gpt_single""},{""id"":81660,""pun"":""- Papa, j'ai un petit creux... - Parfait, j'avais justement besoin d'aide pour reboucher un trou dans le mur."",""run"":""gemini_pro""},{""id"":41813,""pun"":""Mon appétit s'appelle Léon. — Pourquoi ? — Parce qu'il revient toujours."",""run"":""claude""},{""id"":17499,""pun"":""Papa, je meurs de faim. — Enchanté De-Faim, moi c'est De-Rien."",""run"":""claude""},{""id"":84013,""pun"":""Je m'appelle Félix. — Ah, Félix comme dans 'fé-lix' — t'as l'air d'avoir faim quand même."",""run"":""claude""},{""id"":56229,""pun"":""J'ai tellement faim que je pourrais manger un cheval. — Bonjour Faim, voici Cheval. Vous allez bien vous entendre."",""run"":""claude""},{""id"":76381,""pun"":""— Papa, je suis affamé. — Enchanté Affamé, moi c'est papa."",""run"":""gemini_pro_single""},{""id"":28834,""pun"":""- Papa, je suis affamé ! - Enchanté Affamé, moi c'est Papa."",""run"":""gemini_pro""},{""id"":94270,""pun"":""Je suis vide. — Enchanté Vide, moi c'est Plein. On se complète bien."",""run"":""claude""}]"
9	"[{""id"":64495,""pun"":""— Ton discours était si captivant… — Que tout le monde s'est mis à faire la sourde oreille en direct."",""run"":""claude""},{""id"":36922,""pun"":""Ton histoire est d’un ennui assourdissant : elle rendrait l’ouïe à un sourd juste pour qu’il puisse couper le son."",""run"":""gpt_single""},{""id"":26384,""pun"":""\""M'entendez-vous ?\"" \""La seule chose que j'entende, monsieur, c'est l'ennui qui sourd de votre récit !\"""",""run"":""gemini_pro_single""},{""id"":99094,""pun"":""— Tu écoutes ce que je dis ? — Avec toi, j'ai développé une surdité sélective très efficace."",""run"":""claude""},{""id"":81572,""pun"":""— Pourquoi tu lis des livres avec des bouchons d'oreilles ? — Pour mettre l'ennui en sourdine."",""run"":""claude""},{""id"":94122,""pun"":""— Tu m'entends ? — Ton histoire me rendrait sourd… de patience !"",""run"":""claude""},{""id"":77617,""pun"":""— Tu m'entends ? — Ton histoire est si assommante qu'elle transforme mon oreille en oreiller."",""run"":""gemini_pro""},{""id"":19691,""pun"":""— Mon récit t'a plu ? — Il m'a guéri de l'ouïe pour toujours."",""run"":""claude""},{""id"":19625,""pun"":""— Comment tu trouves mon histoire ? — Franchement, elle est sourde-ment ennuyeuse."",""run"":""claude""},{""id"":97710,""pun"":""— Comment tu supportes les réunions de trois heures ? — J'ai appris à enduire mes tympans d'ennui jusqu'à l'insensibilité."",""run"":""claude""},{""id"":44340,""pun"":""— Il paraît que ta conférence était passionnante. — Oui, on en est tous ressortis un peu plus durs d'oreille."",""run"":""claude""},{""id"":55069,""pun"":""— Mon histoire ne te passionne pas ? — Mais si, j'étais captivé, ton ronflement est sûrement un malentendu !"",""run"":""gemini_pro""},{""id"":39881,""pun"":""— Tu m'écoutes quand je parle ? — Je pratique la surdité préventive : ça m'évite bien des ennuis."",""run"":""claude""},{""id"":30856,""pun"":""— Il paraît que tu es mélomane. — Oui, surtout depuis que j'ai développé une allergie sévère à la voix de mon patron."",""run"":""claude""},{""id"":40568,""pun"":""— Tu veux que je te raconte mon week-end ? — Merci, j'essaie de réduire mon en-duis-ance aux récits soporifiques."",""run"":""claude""},{""id"":22475,""pun"":""— Mon cours t'a intéressé ? — Tellement que j'ai failli tomber dans les pommes… de tes oreilles."",""run"":""claude""}]"
10	"[{""id"":48641,""pun"":""— Je ne mens jamais. — C'est faux. — Vous voyez, je reste couché sur ma position."",""run"":""claude""},{""id"":14723,""pun"":""Le fossoyeur ne peut être qu'un fieffé menteur : son métier consiste littéralement à enterrer la vérité jour après jour."",""run"":""gemini_pro""},{""id"":77290,""pun"":""— Pourquoi tu mens toujours couché ? — C'est plus confortable."",""run"":""claude""},{""id"":24695,""pun"":""— Cette tombe est à moi. — Vous mentez ! — Je ne mens pas, je gis dedans. — Justement, gésir c'est mentir quand on est vivant."",""run"":""claude""},{""id"":88496,""pun"":""— Je suis allongé sur la vérité. — Alors tu couches avec le mensonge ?"",""run"":""claude""},{""id"":20460,""pun"":""— Tu mens ! — Non, je repose simplement la question."",""run"":""claude""},{""id"":18841,""pun"":""— Il est à plat. — De fatigue ou de sincérité ?"",""run"":""claude""},{""id"":45027,""pun"":""— Où se situe le problème ? — Il se situe entre vous et la vérité. — Alors il nous ment dessus ?"",""run"":""claude""},{""id"":56891,""pun"":""Sur la tombe d’un menteur, écrivez plutôt : « Ci-gît celui qui, pour une fois, ne ment pas. »"",""run"":""gpt_single""},{""id"":21711,""pun"":""— Je dors sur mes deux oreilles. — Et tu mens sur combien ?"",""run"":""claude""},{""id"":45598,""pun"":""— Il gît dans son lit. — C'est faux ! — Peut-être, mais au moins lui il ne ment pas sur sa position."",""run"":""claude""},{""id"":78416,""pun"":""Tu affirmes que cette fosse est à toi ? Voilà une bien fausse déclaration, puisque tu es encore bien vivant pour y reposer !"",""run"":""gemini_pro_single""},{""id"":23858,""pun"":""Vous dites que cette place est vôtre ? Vos paroles sonnent fausses au bord de cette fosse !"",""run"":""gemini_pro""},{""id"":40771,""pun"":""Ne crois pas toutes les superstitions des cimetières, ce ne sont pour la plupart que des allégations de fosse commune."",""run"":""gemini_pro""},{""id"":21226,""pun"":""— Il ment comme il respire. — Normal, il est six pieds sous terre."",""run"":""claude""},{""id"":56229,""pun"":""— Cette fosse est à moi ! — Tu affabules. — Non, je fabrique juste un endroit pour me reposer en paix."",""run"":""claude""},{""id"":66892,""pun"":""— Tu leurres tout le monde. — Non, je me contente de demeurer là où je suis. — C'est bien le problème : tu occupes la place de la vérité."",""run"":""claude""}]"
