id_en	shuffled_candidates_json
1701	"[{""id"":78327,""pun"":""Sa vache mangeait bien mais ne donnait plus rien. Il m'a dit : 'Je suis à bout de lait !'"",""run"":""claude""},{""id"":75710,""pun"":""Si la vache est bien nourrie mais ne donne pas de lait, il doit y avoir une autre raison… ou plutôt une 'pis' raison !"",""run"":""claude""},{""id"":31237,""pun"":""Le vétérinaire a examiné la vache sous tous les angles. Il a conclu : 'Le problème vient d'en bas… c'est un pis-aller !'"",""run"":""claude""},{""id"":38596,""pun"":""La vache bien nourrie ne donnait pas de lait. Son propriétaire a dit : 'Au pis aller, on la mange !'"",""run"":""claude""},{""id"":50794,""pun"":""Pourquoi la vache refuse-t-elle de donner du lait ? Il doit y avoir un problème plus profond… quelque chose de pis !"",""run"":""claude""},{""id"":43391,""pun"":""J'ai demandé au fermier pourquoi sa vache ne produisait rien. Il a soupiré : 'C'est le pis du pis.'"",""run"":""claude""},{""id"":80180,""pun"":""La vache était bien nourrie mais stérile en lait. Le fermier cherchait une explication mammaire… elle était tarie de tout commentaire."",""run"":""claude""},{""id"":68487,""pun"":""Si ta vache est nourrie mais ne donne pas de lait, c'est peut-être qu'elle a décidé de se la couler douce. Vache de vie !"",""run"":""claude""},{""id"":45198,""pun"":""La vache ne voulait plus traire. Le fermier a dit : 'C'est une question de pis ou de mieux !'"",""run"":""claude""},{""id"":54157,""pun"":""Mon voisin dit que sa vache est déprimée. Moi je pense que c'est pis que ça."",""run"":""claude""},{""id"":70946,""pun"":""Le fermier cherchait pourquoi sa vache ne donnait plus de lait. Sa femme lui a dit : 'T'as peut-être mal trait la situation !'"",""run"":""claude""},{""id"":56582,""pun"":""Le fermier s'inquiétait pour sa vache improductive. Le vétérinaire lui a dit : 'Cherchez pas plus loin, c'est lait-mentable !'"",""run"":""claude""}]"
1702	"[{""id"":40394,""pun"":""Mon chien est nul en informatique. Il confond toujours le câble Ethernet avec son os — il dit que les deux ont des nœuds."",""run"":""claude""},{""id"":66169,""pun"":""Mon chien a croqué ma clé USB. Le médecin dit qu'il souffre d'une carence en stockage… et moi aussi."",""run"":""claude""},{""id"":90648,""pun"":""Le chien était très versé en informatique, mais il n'arrivait pas à percer dans le milieu — trop de chats sur le réseau."",""run"":""claude""},{""id"":77379,""pun"":""Le chien du geek aboie en binaire : un aboiement court, un aboiement long. Son maître dit qu'il est peut-être nul, mais il est surtout en base deux."",""run"":""claude""},{""id"":32047,""pun"":""Le chien du développeur est très bien dressé : quand on lui dit 'assis', il ouvre une nouvelle session."",""run"":""claude""},{""id"":94363,""pun"":""Un chien programmeur ? Il est fort pour les boucles — surtout celles de sa laisse."",""run"":""claude""},{""id"":58984,""pun"":""Le chien informaticien ne stocke pas ses fichiers dans le cloud. Il préfère les enterrer dans le kilooctet."",""run"":""claude""},{""id"":45102,""pun"":""Mon chien a croqué mon disque dur. Maintenant il a vraiment des données sous la dent."",""run"":""claude""},{""id"":40505,""pun"":""Si un chien était informaticien, est-ce que son aboiement serait pire que son octet ?"",""run"":""claude""},{""id"":62754,""pun"":""Mon chien a attaqué mon serveur. Maintenant il a les dents binaires : une dent contre moi, une dent pour les croquettes."",""run"":""claude""},{""id"":71738,""pun"":""Mon chien a mordu mon ordinateur. Le vétérinaire dit que c'est un problème de mémoire… il n'arrête pas de mâcher ses RAM."",""run"":""claude""},{""id"":15991,""pun"":""Le chien croit qu'il va percer dans l'informatique, mais à chaque fois qu'il tape sur le clavier, il perd la connexion."",""run"":""claude""}]"
1703	"[{""id"":13178,""pun"":""Leur boisson signature : le 'Rite de Passage au Lait' — un expresso noyé dans la mousse, réservé aux nouveaux membres."",""run"":""claude""},{""id"":77317,""pun"":""La fraternité a installé une machine à vapeur dans leur local — maintenant c'est difficile à dire si c'est un café ou un chantier : vapeur ou paveur, même ambiance."",""run"":""claude""},{""id"":41232,""pun"":""Au café de la confrérie, on ne dit pas 'un cappuccino' — on dit 'un capucin-itié'. L'entrée est payante et le café froid."",""run"":""claude""},{""id"":56972,""pun"":""Si une fraternité ouvrait un café, leur spécialité serait le fraterccino — servi froid, comme l'accueil des bizutés."",""run"":""claude""},{""id"":86734,""pun"":""Dans ce café tenu par des initiés, la mousse est garantie — c'est une confrérie du CapuCHINOIS."",""run"":""claude""},{""id"":46118,""pun"":""Au café de la fraternité, la pression du café est assurée par les anciens — c'est ce qu'ils appellent la hiérar-cappuccino."",""run"":""claude""},{""id"":61119,""pun"":""La fraternité a ouvert un café baptisé 'Greek Coffee' — mais c'est du chinois pour les clients qui espèrent lire le menu."",""run"":""claude""},{""id"":10453,""pun"":""Pourquoi les étudiants en fraternité font-ils le meilleur cappuccino ? Parce qu'ils maîtrisent l'art de la confrérie-mation du lait."",""run"":""claude""},{""id"":61842,""pun"":""Le café de la fraternité s'appelle 'Le Grec Espresso' — parce que tout est en lettres grecques et personne ne comprend la carte."",""run"":""claude""},{""id"":44806,""pun"":""Le café de la fraternité ne sert que de l'espresso : ils n'ont pas le temps de faire les choses à moitié, c'est dans leur charte."",""run"":""claude""},{""id"":46149,""pun"":""Leur café spécial s'appelle le 'Chapitrino' — on ne peut y entrer qu'après initiation et on en ressort tremblant de caféine."",""run"":""claude""},{""id"":49248,""pun"":""La machine à vapeur de la fraternité fait un bruit terrible — les voisins pensaient qu'on pavait la rue. Vapeur ou paveur, mystère entier."",""run"":""claude""}]"
1704	"[{""id"":53660,""pun"":""Un cheval météorologue annonce toujours un temps stable. Normal, il connaît l'écurie par cœur."",""run"":""claude""},{""id"":47934,""pun"":""Pourquoi le cheval est-il le meilleur météo du monde ? Parce qu'il prédit toujours un temps... à l'écurie."",""run"":""claude""},{""id"":87399,""pun"":""Quel est le cheval le plus fiable pour la météo ? Celui qui annonce toujours du fixe. Il a la tête dans le foin mais les prévisions au sec."",""run"":""claude""},{""id"":91053,""pun"":""Un cheval ne peut pas faire de mauvaises prévisions météo — il est toujours logé à bonne enseigne : l'écurie."",""run"":""claude""},{""id"":95691,""pun"":""Mon cheval a prédit le temps : 'Éclaircies sur l'écurie, aucune perturbation.' Il appelle ça une météo régulière. Nous, on appelle ça une obsession."",""run"":""claude""},{""id"":26804,""pun"":""Si un cheval pouvait prévoir la météo, il dirait sûrement que le temps est à l'écurie... je veux dire, stable."",""run"":""claude""},{""id"":89148,""pun"":""Le cheval météorologue est très apprécié : ses prévisions sont constantes et sans surprise. Bref, un temps de cheval de retour."",""run"":""claude""},{""id"":71595,""pun"":""Le cheval météorologue a annoncé : 'Temps calme et sécurisé.' Forcément, il dort à l'écurie."",""run"":""claude""},{""id"":47500,""pun"":""Si un cheval faisait de la météo, sa devise serait : 'Ni tempête ni tornade — juste du foin et du calme plat.'"",""run"":""claude""},{""id"":89908,""pun"":""Pourquoi le cheval excelle en météorologie ? Parce qu'il connaît la sécurité du temps couvert — et aussi celle de son abri."",""run"":""claude""},{""id"":42528,""pun"":""Mon cheval m'a prédit la météo : il m'a dit que tout serait sous contrôle. Il est vraiment dans une situation stable — comme son box."",""run"":""claude""},{""id"":40887,""pun"":""Le cheval présentateur météo répète toujours la même chose : 'Temps stable, température stable, humeur stable.' Son producteur l'a mis à l'écurie."",""run"":""claude""}]"
1705	"[{""id"":84163,""pun"":""Un avocat trop loquace, ça rallonge la peine — celle du client ET celle de l'auditoire."",""run"":""claude""},{""id"":70231,""pun"":""Le juge a demandé à l'avocat de raccourcir ses arguments. L'avocat a répondu : 'Je pratique la subordination de propositions.' Le juge lui a répondu : 'Moi, je pratique la réclusion.'"",""run"":""claude""},{""id"":10375,""pun"":""L'avocat voulait alléger la condamnation de son client. Il a tellement parlé qu'il en a rajouté deux ans."",""run"":""claude""},{""id"":73561,""pun"":""L'avocat a tellement parlé que le juge a prononcé une peine pour les deux : le client pour son crime, l'avocat pour ses subordonnées relatives."",""run"":""claude""},{""id"":74168,""pun"":""L'avocat a plaidé si longtemps que le juge lui a dit : 'Maître, vos phrases sont déjà une condamnation.'"",""run"":""claude""},{""id"":51674,""pun"":""Quand un avocat s'emballe, ses phrases s'allongent — et la peine aussi. C'est ce qu'on appelle la ponctuation judiciaire."",""run"":""claude""},{""id"":43097,""pun"":""Un avocat sans fin, c'est comme une phrase sans point : on attend la condamnation mais elle n'arrive jamais."",""run"":""claude""},{""id"":62979,""pun"":""Mon avocat parle sans s'arrêter. À ce rythme, je sors de prison avant qu'il finisse sa phrase."",""run"":""claude""},{""id"":28947,""pun"":""Mon avocat construit des phrases tellement longues que quand il arrive au point final, j'ai déjà purgé ma peine."",""run"":""claude""},{""id"":71711,""pun"":""L'avocat a dit : 'Je plaide non coupable.' Le juge : 'En combien de mots ?' L'avocat : 'Environ quatre heures.'"",""run"":""claude""},{""id"":40367,""pun"":""Quand l'avocat parle trop longtemps, la peine devient interminable — pour lui comme pour nous."",""run"":""claude""},{""id"":24436,""pun"":""L'avocat bavard a demandé une peine réduite. Le juge lui a répondu : 'Commencez par réduire vos phrases.'"",""run"":""claude""}]"
1706	"[{""id"":95071,""pun"":""Pourquoi le QI moyen de la ville baisse-t-il quand quelqu'un quitte la région ? Parce que la densité augmente dans les deux sens."",""run"":""claude""},{""id"":67297,""pun"":""Dans ce village, les habitants sont tellement lents que la mairie a dû élargir les trottoirs pour laisser passer les idées."",""run"":""claude""},{""id"":90711,""pun"":""Cette ville est surpeuplée d'abrutis — c'est vraiment une population compacte d'esprit."",""run"":""claude""},{""id"":26996,""pun"":""Si tout le monde dans le village est borné, est-ce que c'est une zone à haute concentration de bornés ?"",""run"":""claude""},{""id"":61622,""pun"":""Si une ville est pleine de bêtes, est-ce un milieu naturellement concentré ?"",""run"":""claude""},{""id"":56090,""pun"":""Le maire a annoncé une politique de réduction de la densité. Les gens ont demandé s'il parlait du QI ou du trafic."",""run"":""claude""},{""id"":12456,""pun"":""Cette commune est tellement peuplée d'obtus qu'on manque d'angles droits."",""run"":""claude""},{""id"":19199,""pun"":""Si les habitants d'une ville sont idiots, est-ce que la population est épaisse ?"",""run"":""claude""},{""id"":84997,""pun"":""Les gens du coin sont tellement épais qu'on les compte au mètre carré."",""run"":""claude""},{""id"":18689,""pun"":""C'est la ville la plus serrée de France : les rues sont étroites et les esprits aussi."",""run"":""claude""},{""id"":45632,""pun"":""Une ville pleine d'imbéciles, c'est une commune à forte densité… cérébrale ? Non, juste dense."",""run"":""claude""},{""id"":56805,""pun"":""Dans une ville de demeurés, le recensement est-il lourd à porter ?"",""run"":""claude""}]"
1707	"[{""id"":35071,""pun"":""Mes soucis se sont dissous dans l'alcool. Problème résolu, et les cuites, ça coule de source."",""run"":""claude""},{""id"":24423,""pun"":""Le médecin m'a dit d'être plus liquide. Maintenant je suis livide — et à découvert."",""run"":""claude""},{""id"":36614,""pun"":""Mon psy dit que mes angoisses vont s'évaporer. Génial, je vis dans un sauna."",""run"":""claude""},{""id"":51914,""pun"":""Il paraît que la chaleur résout tout. Moi ça me rend juste râleur."",""run"":""claude""},{""id"":71194,""pun"":""Mon patron dit que mes problèmes vont se dissoudre. Super, maintenant j'ai des problèmes liquides."",""run"":""claude""},{""id"":93657,""pun"":""Mes problèmes dégèlent enfin — malheureusement, moi aussi je perds les pédales sur le verglas."",""run"":""claude""},{""id"":20427,""pun"":""On m'a dit que la chaleur était bonne pour tout. Maintenant je suis juste râleur et en sueur."",""run"":""claude""},{""id"":64078,""pun"":""Tu dis que tes soucis fondent ? Moi quand je fonds, je coule — et les dettes, ça nage très bien."",""run"":""claude""},{""id"":50541,""pun"":""Si tous tes soucis fondent, méfie-toi des inondations — et des plombiers."",""run"":""claude""},{""id"":45262,""pun"":""Mes ennuis fondent comme neige au soleil — mais maintenant j'ai de l'eau jusqu'aux genoux."",""run"":""claude""},{""id"":30415,""pun"":""Mes tracas fondent — super, mais maintenant je suis livide devant ma facture de plombier."",""run"":""claude""},{""id"":69719,""pun"":""Il dit qu'il dédie sa vie à fondre ses dettes — moi j'aurais plutôt dévié vers la faillite."",""run"":""claude""}]"
1708	"[{""id"":49170,""pun"":""L'actrice d'horreur a un régime équilibré : elle mange ses peurs et crie ses fins de mois !"",""run"":""claude""},{""id"":93777,""pun"":""Pour l'actrice de films d'horreur, chaque tournage est rentable — elle ne frète pas de soucis, elle frète des frayeurs !"",""run"":""claude""},{""id"":89291,""pun"":""L'actrice qui joue la terreur gagne très bien sa vie — on peut dire qu'elle subsiste grâce à l'alarme sociale !"",""run"":""claude""},{""id"":39641,""pun"":""Si une actrice hurle dans tous ses rôles, est-ce qu'on peut dire qu'elle crie-che sa famille ?"",""run"":""claude""},{""id"":31474,""pun"":""La comédienne qui joue des rôles de terreur gagne sa vie en jetant des cris — on dit qu'elle vit de frayeurs !"",""run"":""claude""},{""id"":52279,""pun"":""Une comédienne qui joue la peur toute sa carrière, ça s'appelle une frais-euse de spectacles !"",""run"":""claude""},{""id"":85238,""pun"":""L'actrice spécialisée dans les scènes d'horreur ne se plaint pas : elle hurle, mais elle s'en sort — c'est ce qu'on appelle vivre de ses cris-ses !"",""run"":""claude""},{""id"":38688,""pun"":""Pour l'actrice d'horreur, chaque cri est une source de revenus — elle vit littéralement de sa voix qui porte la terreur. C'est une vraie carrière à cor et à cris !"",""run"":""claude""},{""id"":68923,""pun"":""Pourquoi l'actrice d'horreur n'est jamais au chômage ? Parce qu'elle sait toujours faire sonner la caisse… avec ses cris-staux !"",""run"":""claude""},{""id"":38735,""pun"":""La vedette des films d'épouvante m'a confié qu'elle s'en sort bien : elle a trouvé le filon — elle exploite sa frayeur comme d'autres exploitent un fraiseur !"",""run"":""claude""},{""id"":64840,""pun"":""Si une actrice pousse des hurlements sur scène, peut-on dire qu'elle crie sa vie ?"",""run"":""claude""},{""id"":86237,""pun"":""L'actrice horrifiante ne manque de rien : elle vit de ses rentes… et de ses ren-cris !"",""run"":""claude""}]"
1709	"[{""id"":69243,""pun"":""Un animal qui perd sa queue ne devrait pas s'inquiéter — il peut toujours s'adresser au commerce de dé-tail!"",""run"":""claude""},{""id"":21706,""pun"":""Le lézard a perdu sa queue. Son médecin lui conseille: 'Allez en boutique, ils font du commerce de dé-tail — ils ont exactement ce qu'il vous faut!'"",""run"":""claude""},{""id"":42682,""pun"":""Pourquoi le renard sans queue est-il si bon en affaires? Parce qu'il maîtrise parfaitement la vente au dé-tail — il sait ce que c'est de manquer d'un bout!"",""run"":""claude""},{""id"":75080,""pun"":""Un crocodile perd sa queue et entre dans un magasin. Le vendeur s'exclame: 'Bienvenue, ici on est spécialistes du commerce de détail — et visiblement vous avez besoin du détail manquant!'"",""run"":""claude""},{""id"":94756,""pun"":""Un chat perd sa queue et va au marché. Le marchand lui dit: 'Pas de problème, on a tout ce qu'il vous faut — on fait dans la queue-incaillerie!'"",""run"":""claude""},{""id"":37014,""pun"":""Après avoir perdu sa queue, le serpent a ouvert une boutique. Les clients disaient: 'Il vend vraiment dans le détail — jusqu'au dernier bout!'"",""run"":""claude""},{""id"":67216,""pun"":""Le lapin a perdu sa queue chez le boucher. Heureusement, il a trouvé un revendeur spécialisé dans le détail — et il a récupéré sa pièce!"",""run"":""claude""},{""id"":47196,""pun"":""Le tigre sans queue se reconvertit dans le commerce. Désormais, il travaille dans la vente au détail — il connaît le sujet par cœur!"",""run"":""claude""},{""id"":37397,""pun"":""Mon chien a perdu sa queue. Je l'ai emmené chez un marchand de détail — maintenant il a une queue de rechange en solde!"",""run"":""claude""},{""id"":20451,""pun"":""Pourquoi le renard sans queue est-il devenu commerçant? Parce qu'il voulait ouvrir une boutique de dé-tail!"",""run"":""claude""},{""id"":42817,""pun"":""Si un animal perd sa queue, il devrait aller faire du shopping — c'est le moment de se re-queuer!"",""run"":""claude""},{""id"":77865,""pun"":""Un chien sans queue entre dans une boutique et demande: 'Avez-vous des queues de rechange?' Le vendeur répond: 'Bien sûr, c'est notre rayon queue-mercial!'"",""run"":""claude""}]"
1710	"[{""id"":45041,""pun"":""Les enfants qui travaillent dans les mines ont un avenir... très sombre."",""run"":""claude""},{""id"":89966,""pun"":""Les enfants dans les mines adorent leur boulot — ils sont vraiment dans leur élément !"",""run"":""claude""},{""id"":45020,""pun"":""Un enfant dans une mine, c'est du mineur en mineur — la vie en mode mineur !"",""run"":""claude""},{""id"":83412,""pun"":""Qu'est-ce qu'un enfant dans une mine ? Un mineur majeur dans un problème mineur... ou l'inverse ?"",""run"":""claude""},{""id"":27215,""pun"":""Les enfants mineurs qui creusent des puits... ils commencent vraiment leur carrière jeunes !"",""run"":""claude""},{""id"":32847,""pun"":""Si les enfants descendaient dans les mines, ils auraient enfin une bonne raison de ne pas aller à l'école — ils seraient en dessous de tout !"",""run"":""claude""},{""id"":83505,""pun"":""Autoriser les enfants à extraire du charbon ? C'est une idée qui sent mauvais — on pourrait dire que ça puons !"",""run"":""claude""},{""id"":46177,""pun"":""Si on laissait les enfants extraire du charbon, seraient-ils encore des mineurs ?"",""run"":""claude""},{""id"":39748,""pun"":""Les enfants dans les puits de charbon ? Ça creuse vraiment les inégalités."",""run"":""claude""},{""id"":11970,""pun"":""Les enfants mineurs dans les mines : ils bossent au noir, et pas seulement à cause du charbon !"",""run"":""claude""},{""id"":60779,""pun"":""Si les enfants travaillaient dans les mines, ça ferait beaucoup de petits... creusés."",""run"":""claude""},{""id"":55821,""pun"":""Un enfant mineur dans une mine — c'est le seul cas où être mineur est une qualification professionnelle !"",""run"":""claude""}]"
