id_en	text_clean
en_1007	"Save the whales," he spouted.
en_1015	If a town's people have low IQs is the population dense?
en_102	A skier retired because he was going downhill.
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.
en_1031	Staying at the trendy, new hotel was the inn thing to do.
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.
en_1059	The whistling fisherman was always out of tuna.
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.
en_108	Old bakers never die, they just stop making lots of dough.
en_1084	The fireplaces of oriental doctors have an Asian flue.
en_1085	After he bought a mirror he became very reflective.
en_110	"This food tastes of plutonium," he said glowingly.
en_1106	Old typists never die, they just lose their touch.
en_1107	"This salad dressing has too much vinegar," he said acidly.
en_111	The local baker was paying his staff based on a flourly rate.
en_1120	Old politicians never die, they just harangue in there.
en_1121	Some people find fire drills quite Alarming.
en_114	Old florists never die, they just make alternative arrangements.
en_1144	"Get the stick, Rover!" he called fetchingly.
en_1146	The fire chief was always asked burning questions.
en_1157	They hid from the gunman in a sauna where they could sweat it out.
en_116	The astronomer made a claim about a well-known star, but it wasn't sirius.
en_1160	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.
en_1169	Old professors never die, they just lose their class.
en_1171	Pasteur was boiling about not being invited.
en_1176	Sometimes a pencil sharpener is needed in order to make a good point.
en_1178	Cooks have a lot of spice in their lives.
en_1181	Old tree surgeons never die, they are just uprooted.
en_1184	The trucker explained that he was early because he had had no breaks.
en_1195	Old plumbers never die, they just pipe down.
en_1204	The cat in northern Scandinavia always had a lapp to sit on.
en_1210	The groundskeeper at a large cemetery was important because he had 5000 people under him.
en_1211	A little boy called his father who made balloons 'pop'.
en_1223	Neuter your dog-an ounce of prevention is better than a pound of curs.
en_1227	He recommended the restaurant to me, and said he had no reservations.
en_1231	The mortician was late for dinner because he was buried in his work.
en_1232	Old enumerators never die, they just lose their census
en_1233	The class took a field trip to a meat processing plant, but what they saw was just offal.
en_1248	Old pilots never die, they just get more turbulent.
en_1249	"Use your own toothbrush!" he bristled.
en_1252	My wife really likes to make pottery, but to me it's just kiln time.
en_1254	"I won't tell you anything about my salivary glands," he said secretively.
en_1256	I might study something at a university that someone once told me about-there is a degree of ambiguity there.
en_1262	People have a happy time vacationing in Ireland because they are walking on Eire.
en_1269	"Who's your favorite operatic tenor?" he asked placidly.
en_1270	The salt said 'hi' to the pepper. It was seasonings greetings.
en_1271	The book about Teflon contained no frictional characters.
en_1273	Three fingers were willing to cooperate but the thumb and forefinger were opposed.
en_1279	If you spend too much time in the coffee shop you'll be latte for work.
en_1282	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.
en_1283	Some resist having the'flu jab but it's quite innocuous.
en_1294	"Pretend we were in the days before railways," he coached.
en_1303	Old principals never die they just lose their faculties.
en_1305	Old railroaders never die, they just derail.
en_1310	He bought a plate with four corners so he could have a square meal.
en_1330	Because they moved into an apartment, they didn't need to cut the grass any mow.
en_1335	Gravity, it's always putting everyone down.
en_1345	The scorpion said to the desert, 'You know, our conversations are always so dry.'
en_1347	A busy barber is quite harried.
en_1349	The gunman took a shot at new opportunities.
en_135	The cobbler was asked how many shoes he had soled by a well
en_1350	Legends tell us that a weakness of the carnivorous vampire is a steak.
en_1354	To become a pilot requires a good altitude.
en_1355	"I teach at a university," he professed.
en_136	When there's a sale on tennis balls it's first come first serve.
en_1360	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.
en_1364	From the middle of the Pacific, the shipwrecked survivor found his way to the California coast purely by occident.
en_1368	When making butter there is little margarine for error.
en_1370	Old chemists never die, they just stop reacting.
en_1373	The model who joined the air force was a bombshell.
en_1376	Abstinence makes the heart grow fonder
en_1378	It's not that the man did not know how to juggle, he just didn't have the balls to do it.
en_1382	Two coin collectors got together for old dimes sake.
en_1383	"It's an actual parameter, not a formal parameter," was his argument.
en_1386	"3.14159265," he said piously.
en_1388	An astronomy column in the newspaper would have a lot of space devoted to it.
en_1399	Old shoemakers never die, they are just given the boot.
en_14	One of these new shoes isn't right.
en_140	The postmen get together for mail bonding.
en_1400	"Let's take a vacation in the south of France," he said nicely.
en_1404	A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet.
en_1415	Even though Catholics in space are weightless, do they have mass?
en_1418	Old telephone operators never die, they just become disconnected.
en_1419	A guy became so good with a chainsaw that he was promoted to branch manager.
en_1421	An optometrist told his patient: 'It appears your vision is improving!' 'Really? 'replied the patient.' Must be the luck of the iris.'
en_1427	Old math profs never die. They just use strange expressions.
en_143	Q: River Ravi flows in which state? A: Liquid.
en_1432	I'll never forget that rainstorm near Los Angeles and how the rain came down in Torrance.
en_1436	Wow, thanks for the tea. I'm glad I got to Chai it.
en_1440	After he invented the light bulb, people saw Edison in a new light.
en_1446	A bee keeper will sell you honey with swarm wishes.
en_1448	An architect knows how to make a long storey short.
en_1449	Old electricians never die, they just can't make connections
en_1464	"Boy, that's a bright star," he said seriously.
en_1467	When asked to picture the perfect modern defensive weapon the Claymore springs to mine.
en_1468	Freud could barely repress his excitement.
en_1475	Old miners never die, they just lose their veins.
en_1485	If you think that mutt made strange sounds as a pup, you should hear him grown.
en_149	If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief.
en_1494	Some cardiologists are heartless.
en_1509	The triangular computer monitor business was just a big pyramid screen.
en_1515	Old pickpockets never die, they just steal away.
en_1524	Old key punch operators never die they just punch out.
en_1528	Once ice cream was invented the problem was licked.
en_1531	"I'm mentioned in this book," he said contentedly.
en_1533	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.
en_1534	The thief broke into the music store and stole the lute.
en_1536	The trampoline was on sale for fifty per cent off. Needless to say I jumped on the offer.
en_1539	Chickens can give some people a foul rash.
en_1547	Herbivores come in browns and graze.
en_1548	I wanted to bring a penguin home but my parents said that wasn't going to fly.
en_1551	Some mathematicians are reluctant to cosine a loan.
en_1553	A parade of horses went down Mane street.
en_156	A new type of broom came out, it is sweeping the nation.
en_157	My name is Bea. I'm in the honey business..
en_1572	I always believed my body was a prison for me. I was right, in biology I learnt they were made of cells.
en_1573	During his lifetime, the composer Bach was a noted success.
en_1575	"I've mailed the letter," he assented.
en_1579	When a priest makes a mistake in church it's a clerical error.
en_1585	Two cooks had a contest and the heat was on.
en_1587	Careless stair dancers are heading for a heavy landing.
en_1598	A crow in a telephone booth had no money so he had to make a collect caw.
