id_en	text_clean	shuffled_candidates_json	discriminator_run2_borda_method	discriminator_run2_internal_weights_json	discriminator_run2_model_weights_json	discriminator_run2_borda_scores_json	discriminator_run2_borda_ranking_json	discriminator_run2_winner_id	discriminator_run2_winner_source	discriminator_run2_winner_original_id	discriminator_run2_winner_pun	discriminator_run2_winner_score	discriminator_run2_borda_error	discriminator_run2_borda_version
2301	Old golfers never die they just putter away.	"[{""source"":""gemini"",""original_id"":""46863"",""pun"":""Les golfeurs ne prennent jamais de retraite, ils perdent juste la boule."",""id"":42263},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux golfeurs ne meurent jamais : ils se mettent simplement au vert."",""id"":77997},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux golfeurs ne meurent jamais, ils se mettent simplement au vert."",""id"":36742},{""source"":""claude"",""original_id"":""98010"",""pun"":""Les vieux golfeurs ne meurent pas, ils prennent juste un élan… vers l'au-delà."",""id"":87555}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""77997"":400.0,""42263"":300.0,""87555"":200.0,""36742"":100.0}"	[]	77997	gpt_single		Les vieux golfeurs ne meurent jamais : ils se mettent simplement au vert.	400.0	claude:invalid_or_error_random_fallback:Run 2 error: Missing required keys: ['comedian', 'pun_expert', 'editor', 'translator']	discriminator_run2_v4
2302	Old golfers never die, they just lose their drive.	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Un vieux golfeur ne rend jamais l’âme : il perd seulement son élan."",""id"":41244},{""source"":""gemini"",""original_id"":""84919"",""pun"":""Les vieux golfeurs ne s'en vont pas, ils sont juste hors-limites."",""id"":16070},{""source"":""claude"",""original_id"":""95819"",""pun"":""Les vieux golfeurs ne meurent jamais, ils perdent juste la boule."",""id"":43006},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux golfeurs ne meurent jamais, ils perdent juste leur élan."",""id"":42559}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""42559"":400.0,""41244"":300.0,""43006"":200.0,""16070"":100.0}"	"[{""id"":42559,""source"":""gemini_pro_single"",""original_id"":"""",""score"":400.0,""pun"":""Les vieux golfeurs ne meurent jamais, ils perdent juste leur élan.""},{""id"":41244,""source"":""gpt_single"",""original_id"":"""",""score"":300.0,""pun"":""Un vieux golfeur ne rend jamais l’âme : il perd seulement son élan.""},{""id"":43006,""source"":""claude"",""original_id"":""95819"",""score"":200.0,""pun"":""Les vieux golfeurs ne meurent jamais, ils perdent juste la boule.""},{""id"":16070,""source"":""gemini"",""original_id"":""84919"",""score"":100.0,""pun"":""Les vieux golfeurs ne s'en vont pas, ils sont juste hors-limites.""}]"	42559	gemini_pro_single		Les vieux golfeurs ne meurent jamais, ils perdent juste leur élan.	400.0		discriminator_run2_v4
2303	Old gossips never die they just lose their confidants	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieilles commères ne meurent jamais : elles perdent juste leurs confidents… et, avec eux, toute confiance."",""id"":59614},{""source"":""claude"",""original_id"":""96631"",""pun"":""Les vieilles commères ne meurent jamais, elles perdent juste leur assurance… vie."",""id"":12901},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieilles commères ne perdent jamais l'ouïe, elles perdent juste leur ouïe-dire."",""id"":37071},{""source"":""gemini"",""original_id"":""94622"",""pun"":""Les vieux conseillers ne meurent pas, ils perdent juste de l'assurance."",""id"":49304}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""59614"":400.0,""12901"":300.0,""37071"":200.0,""49304"":100.0}"	"[{""id"":59614,""source"":""gpt_single"",""original_id"":"""",""score"":400.0,""pun"":""Les vieilles commères ne meurent jamais : elles perdent juste leurs confidents… et, avec eux, toute confiance.""},{""id"":12901,""source"":""claude"",""original_id"":""96631"",""score"":300.0,""pun"":""Les vieilles commères ne meurent jamais, elles perdent juste leur assurance… vie.""},{""id"":37071,""source"":""gemini_pro_single"",""original_id"":"""",""score"":200.0,""pun"":""Les vieilles commères ne perdent jamais l'ouïe, elles perdent juste leur ouïe-dire.""},{""id"":49304,""source"":""gemini"",""original_id"":""94622"",""score"":100.0,""pun"":""Les vieux conseillers ne meurent pas, ils perdent juste de l'assurance.""}]"	59614	gpt_single		Les vieilles commères ne meurent jamais : elles perdent juste leurs confidents… et, avec eux, toute confiance.	400.0		discriminator_run2_v4
2304	Old gravediggers never die, they just get buried in their work	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux fossoyeurs ne meurent jamais, ils finissent juste ensevelis sous le travail."",""id"":76474},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux fossoyeurs ne disparaissent pas : ils sont juste enterrés sous le travail."",""id"":34936},{""source"":""gemini"",""original_id"":""10622"",""pun"":""Les vieux fossoyeurs ne meurent jamais, ils font juste une mise en bière."",""id"":66993},{""source"":""claude"",""original_id"":""69712"",""pun"":""Les vieux fossoyeurs ne meurent jamais, ils sont juste enterrés dans leur travail."",""id"":77704}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""66993"":400.0,""77704"":300.0,""34936"":200.0,""76474"":100.0}"	"[{""id"":66993,""source"":""gemini"",""original_id"":""10622"",""score"":400.0,""pun"":""Les vieux fossoyeurs ne meurent jamais, ils font juste une mise en bière.""},{""id"":77704,""source"":""claude"",""original_id"":""69712"",""score"":300.0,""pun"":""Les vieux fossoyeurs ne meurent jamais, ils sont juste enterrés dans leur travail.""},{""id"":34936,""source"":""gpt_single"",""original_id"":"""",""score"":200.0,""pun"":""Les vieux fossoyeurs ne disparaissent pas : ils sont juste enterrés sous le travail.""},{""id"":76474,""source"":""gemini_pro_single"",""original_id"":"""",""score"":100.0,""pun"":""Les vieux fossoyeurs ne meurent jamais, ils finissent juste ensevelis sous le travail.""}]"	66993	gemini	10622	Les vieux fossoyeurs ne meurent jamais, ils font juste une mise en bière.	400.0		discriminator_run2_v4
2305	Old gravediggers; never die, they just spade away.	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux fossoyeurs ne meurent jamais, ils gardent juste la bêche."",""id"":57593},{""source"":""gemini"",""original_id"":""83712"",""pun"":""Les fossoyeurs sont des gens très terre à terre."",""id"":76463},{""source"":""claude"",""original_id"":""21102"",""pun"":""Les vieux fossoyeurs ne meurent jamais, ils s'en vont tout en pelle."",""id"":34677},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux fossoyeurs ne meurent jamais : ils bêchent en retraite."",""id"":26801}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""34677"":400.0,""57593"":300.0,""26801"":200.0,""76463"":100.0}"	"[{""id"":34677,""source"":""claude"",""original_id"":""21102"",""score"":400.0,""pun"":""Les vieux fossoyeurs ne meurent jamais, ils s'en vont tout en pelle.""},{""id"":57593,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""Les vieux fossoyeurs ne meurent jamais, ils gardent juste la bêche.""},{""id"":26801,""source"":""gpt_single"",""original_id"":"""",""score"":200.0,""pun"":""Les vieux fossoyeurs ne meurent jamais : ils bêchent en retraite.""},{""id"":76463,""source"":""gemini"",""original_id"":""83712"",""score"":100.0,""pun"":""Les fossoyeurs sont des gens très terre à terre.""}]"	34677	claude	21102	Les vieux fossoyeurs ne meurent jamais, ils s'en vont tout en pelle.	400.0		discriminator_run2_v4
2306	Old grocers never die, they just get shelved.	"[{""source"":""claude"",""original_id"":""44096"",""pun"":""Les vieux épiciers ne meurent jamais, ils sont juste retirés de la vente."",""id"":12528},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux épiciers ne meurent jamais, ils sont juste retirés des rayons."",""id"":67342},{""source"":""gemini"",""original_id"":""48674"",""pun"":""Un épicier qui prend sa retraite ne s'en va pas, il change simplement de rayon."",""id"":59055},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux épiciers ne meurent jamais : ils sont juste classés au rayon des conserves."",""id"":50961}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""67342"":400.0,""50961"":300.0,""12528"":200.0,""59055"":100.0}"	"[{""id"":67342,""source"":""gemini_pro_single"",""original_id"":"""",""score"":400.0,""pun"":""Les vieux épiciers ne meurent jamais, ils sont juste retirés des rayons.""},{""id"":50961,""source"":""gpt_single"",""original_id"":"""",""score"":300.0,""pun"":""Les vieux épiciers ne meurent jamais : ils sont juste classés au rayon des conserves.""},{""id"":12528,""source"":""claude"",""original_id"":""44096"",""score"":200.0,""pun"":""Les vieux épiciers ne meurent jamais, ils sont juste retirés de la vente.""},{""id"":59055,""source"":""gemini"",""original_id"":""48674"",""score"":100.0,""pun"":""Un épicier qui prend sa retraite ne s'en va pas, il change simplement de rayon.""}]"	67342	gemini_pro_single		Les vieux épiciers ne meurent jamais, ils sont juste retirés des rayons.	400.0		discriminator_run2_v4
2307	Old guitarists never die, they just become unstrung.	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux guitaristes ne meurent jamais, ils finissent juste complètement barrés."",""id"":85465},{""source"":""gemini"",""original_id"":""31306"",""pun"":""Les vieux guitaristes ne meurent pas, ils finissent par perdre les pédales."",""id"":76957},{""source"":""claude"",""original_id"":""50578"",""pun"":""Les vieux guitaristes ne meurent jamais, ils deviennent simplement décordés."",""id"":28834},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux guitaristes ne meurent jamais : ils finissent juste un peu détendus."",""id"":75314}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""85465"":400.0,""76957"":300.0,""75314"":200.0,""28834"":100.0}"	[]	85465	gemini_pro_single		Les vieux guitaristes ne meurent jamais, ils finissent juste complètement barrés.	400.0	claude:invalid_or_error_random_fallback:Run 2 error: Missing required keys: ['comedian', 'pun_expert', 'editor', 'translator']	discriminator_run2_v4
2308	Old guitarists never die, they just fret their lives away	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux guitaristes ne meurent jamais : ils restent à cran jusqu’à la dernière frette."",""id"":27405},{""source"":""gemini"",""original_id"":""75269"",""pun"":""Les guitaristes angoissés sont toujours sous tension car ils ont les cordes sensibles."",""id"":55051},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux guitaristes ne meurent jamais, ils se contentent de tirer sur la corde."",""id"":69652},{""source"":""claude"",""original_id"":""43202"",""pun"":""Les vieux guitaristes ne meurent jamais, ils prennent juste un mauvais accord avec le destin."",""id"":12893}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""69652"":400.0,""12893"":300.0,""55051"":200.0,""27405"":100.0}"	"[{""id"":69652,""source"":""gemini_pro_single"",""original_id"":"""",""score"":400.0,""pun"":""Les vieux guitaristes ne meurent jamais, ils se contentent de tirer sur la corde.""},{""id"":12893,""source"":""claude"",""original_id"":""43202"",""score"":300.0,""pun"":""Les vieux guitaristes ne meurent jamais, ils prennent juste un mauvais accord avec le destin.""},{""id"":55051,""source"":""gemini"",""original_id"":""75269"",""score"":200.0,""pun"":""Les guitaristes angoissés sont toujours sous tension car ils ont les cordes sensibles.""},{""id"":27405,""source"":""gpt_single"",""original_id"":"""",""score"":100.0,""pun"":""Les vieux guitaristes ne meurent jamais : ils restent à cran jusqu’à la dernière frette.""}]"	69652	gemini_pro_single		Les vieux guitaristes ne meurent jamais, ils se contentent de tirer sur la corde.	400.0		discriminator_run2_v4
2309	Old guns never die they just get loaded.	"[{""source"":""claude"",""original_id"":""36095"",""pun"":""Mon grand-père est comme un vieux revolver : il ne sort plus beaucoup, mais il est toujours bien chargé."",""id"":56226},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux fusils ne meurent jamais, ils finissent juste bien chargés."",""id"":58816},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux fusils ne meurent jamais : ils finissent juste un peu trop chargés."",""id"":96798},{""source"":""gemini"",""original_id"":""24781"",""pun"":""Un pistolet alcoolique ne rate jamais sa cible, il est toujours bourré."",""id"":38107}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""58816"":400.0,""96798"":300.0,""56226"":200.0,""38107"":100.0}"	"[{""id"":58816,""source"":""gemini_pro_single"",""original_id"":"""",""score"":400.0,""pun"":""Les vieux fusils ne meurent jamais, ils finissent juste bien chargés.""},{""id"":96798,""source"":""gpt_single"",""original_id"":"""",""score"":300.0,""pun"":""Les vieux fusils ne meurent jamais : ils finissent juste un peu trop chargés.""},{""id"":56226,""source"":""claude"",""original_id"":""36095"",""score"":200.0,""pun"":""Mon grand-père est comme un vieux revolver : il ne sort plus beaucoup, mais il est toujours bien chargé.""},{""id"":38107,""source"":""gemini"",""original_id"":""24781"",""score"":100.0,""pun"":""Un pistolet alcoolique ne rate jamais sa cible, il est toujours bourré.""}]"	58816	gemini_pro_single		Les vieux fusils ne meurent jamais, ils finissent juste bien chargés.	400.0		discriminator_run2_v4
2310	Old hackers never die, they just go to bits	"[{""source"":""claude"",""original_id"":""47630"",""pun"":""Les vieux hackers ne meurent jamais, ils passent en mode binaire : zéro vie, un souvenir."",""id"":29491},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Les vieux hackers ne meurent jamais, ils rendent juste la RAM."",""id"":30406},{""source"":""gemini"",""original_id"":""59712"",""pun"":""Que fait un informaticien quand il a froid ? Il ferme les fenêtres."",""id"":42214},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Les vieux hackers ne meurent jamais : ils se décomposent bit par bit."",""id"":83222}]"	models_then_judges	"{""comedian"":0.0,""pun_expert"":0.0,""editor"":0.0,""translator"":100.0}"	"{""claude"":100.0,""gemini_pro"":0.0,""gpt"":0.0}"	"{""83222"":400.0,""30406"":300.0,""29491"":200.0,""42214"":100.0}"	"[{""id"":83222,""source"":""gpt_single"",""original_id"":"""",""score"":400.0,""pun"":""Les vieux hackers ne meurent jamais : ils se décomposent bit par bit.""},{""id"":30406,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""Les vieux hackers ne meurent jamais, ils rendent juste la RAM.""},{""id"":29491,""source"":""claude"",""original_id"":""47630"",""score"":200.0,""pun"":""Les vieux hackers ne meurent jamais, ils passent en mode binaire : zéro vie, un souvenir.""},{""id"":42214,""source"":""gemini"",""original_id"":""59712"",""score"":100.0,""pun"":""Que fait un informaticien quand il a froid ? Il ferme les fenêtres.""}]"	83222	gpt_single		Les vieux hackers ne meurent jamais : ils se décomposent bit par bit.	400.0		discriminator_run2_v4
