id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
en_1007	Save the whales, he spouted.	spouted	homographic	spouted	spouted	homographic	['uttered', 'said', 'declaimed', 'recited', 'shouted']	['sprayed', 'jetted', 'gushed', 'squirted', 'emitted water']	déclamé	['prononcé', 'dit', 'déclamé', 'récité', 'crié']	['vaporisé', 'jailli', 'giclé', 'aspergé', "émis de l'eau"]	declaimed	['pronounced', 'said', 'declaimed', 'recited', 'shouted']	['vaporized', 'spurted', 'squirted', 'sprayed', 'emitted water']
en_1015	If a town's people have low IQs is the population dense?	dense	homographic	dense	dense	homographic	['crowded', 'compact', 'thick', 'highly populated']	['stupid', 'dim-witted', 'thick-headed', 'slow-witted']	dense	['bondé', 'compact', 'épais', 'très peuplé']	['stupide', 'borné', 'obtus', "à l'esprit lent"]	dense	['crowded', 'compact', 'thick', 'densely populated']	['stupid', 'narrow-minded', 'obtuse', 'slow-witted']
en_102	A skier retired because he was going downhill.	downhill	homographic	downhill	downhill	homographic	['descending', 'sloping', 'declivous', 'downward']	['deteriorating', 'declining', 'worsening', 'failing']	en descente	['descendant', 'en pente', 'déclive', 'vers le bas']	['se détériorant', 'déclinant', 'empirant', 'échouant']	on the decline	['descending', 'on a slope', 'sloping', 'downward']	['deteriorating', 'declining', 'worsening', 'failing']
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	greater	grater	homophonic	['shredder', 'rasper', 'kitchen tool', 'zester']	['greater', 'larger', 'superior', 'more significant']	râpe	['râpe', 'racloir', 'outil de cuisine', 'zesteur']	['plus grand', 'plus large', 'supérieur', 'plus significatif']	grater	['grater', 'scraper', 'kitchen tool', 'zester']	['bigger', 'wider', 'superior', 'more significant']
en_1031	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	in	inn	homophonic	['inn', 'hotel', 'lodge', 'tavern', 'hostel']	['in', 'stylish', 'fashionable', 'popular', 'trendy']	auberge	['auberge', 'hôtel', 'lodge', 'taverne', 'hostel']	['in', 'stylé', 'à la mode', 'populaire', 'tendance']	inn	['inn', 'hotel', 'lodge', 'tavern', 'hostel']	['in', 'stylish', 'fashionable', 'popular', 'trendy']
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	parquet	parkay	homophonic	['margarine', 'butter substitute', 'Parkay brand']	['parquet', 'oaken flooring', 'wood-block flooring', 'tiled wood']	parkay	['margarine', 'substitut de beurre', 'marque Parkay']	['parquet', 'plancher en chêne', 'parquet en blocs de bois', 'bois carrelé']	parkay	['margarine', 'butter substitute', 'Parkay brand']	['parquet', 'oak floor', 'wood block parquet', 'tiled wood']
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	bell	belle	homophonic	['Pilar', 'woman', 'beauty', 'lady']	['bell', 'chime', 'gong', 'clapper']	belle	['Pilar', 'femme', 'beauté', 'dame']	['cloche', 'carillon', 'gong', 'battant']	belle	['Pilar', 'woman', 'beauty', 'lady']	['bell', 'chime', 'gong', 'clapper']
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	flatly	philately	homophonic	['flatly', 'directly', 'completely', 'categorically']	['philately', 'stamp collecting', 'postal study', 'philatelic']	philatélie	['platement', 'directement', 'complètement', 'catégoriquement']	['philatélie', 'collection de timbres', 'étude postale', 'philatélique']	philately	['flatly', 'directly', 'completely', 'categorically']	['philately', 'stamp collecting', 'postal study', 'philatelic']
en_1059	The whistling fisherman was always out of tuna.	tuna	homophonic	tune	tuna	homophonic	['fish', 'albacore', 'skipjack', 'seafood']	['tune', 'melody', 'song', 'pitch']	thon	['poisson', 'albacore', 'listao', 'fruits de mer']	['mélodie', 'mélodie', 'chanson', 'ton']	tuna	['fish', 'albacore', 'skipjack', 'seafood']	['melody', 'melody', 'song', 'tone']
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	missing	missing	homographic	['failing to hit', 'failing to strike', 'shooting wide']	['lacking', 'failing to experience', 'omitting', 'neglecting']	manquant	['rater', 'ne pas atteindre', 'tirer à côté']	['manquant', 'ne pas vivre', 'omettre', 'négliger']	missing	['to miss', 'to not reach', 'to shoot wide']	['missing', 'to not live', 'to omit', 'to neglect']
en_108	Old bakers never die, they just stop making lots of dough.	dough	homographic	dough	dough	homographic	['bread mix', 'batter', 'paste', 'unbaked bread']	['money', 'cash', 'currency', 'moolah', 'wealth']	pâte	['mélange à pain', 'pâte à frire', 'pâte', 'pain non cuit']	['argent', 'liquide', 'monnaie', 'fric', 'richesse']	paste	['bread mixture', 'batter', 'dough', 'unbaked bread']	['money', 'cash', 'currency', 'dough', 'wealth']
en_1084	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	flu	flue	homophonic	['chimney', 'duct', 'vent', 'passage']	['flu', 'influenza', 'grippe', 'sickness', 'virus']	conduit	['cheminée', 'conduit', 'évent', 'passage']	['grippe', 'influenza', 'grippe', 'maladie', 'virus']	conduit	['chimney', 'duct', 'vent', 'passage']	['flu', 'influenza', 'flu', 'illness', 'virus']
en_1085	After he bought a mirror he became very reflective.	reflective	homographic	reflective	reflective	homographic	['shiny', 'mirrored', 'shining', 'polished']	['thoughtful', 'pensive', 'contemplative', 'meditative']	réfléchissant	['brillant', 'miroité', 'luisant', 'poli']	['pensif', 'méditatif', 'contemplatif', 'songeur']	reflecting	['shiny', 'mirrored', 'gleaming', 'polished']	['pensive', 'meditative', 'contemplative', 'thoughtful']
en_110	This food tastes of plutonium, he said glowingly.	glowingly	homographic	glowingly	glowingly	homographic	['enthusiastically', 'approvingly', 'highly', 'favorably']	['luminescently', 'radiantly', 'phosphorescently', 'emitting light']	chaleureusement	['avec enthousiasme', 'avec approbation', 'hautement', 'favorablement']	['de manière luminescente', 'de manière rayonnante', 'de manière phosphorescente', 'en émettant de la lumière']	warmly	['with enthusiasm', 'with approval', 'highly', 'favorably']	['luminescently', 'radiantly', 'phosphorescently', 'by emitting light']
en_1106	Old typists never die, they just lose their touch.	touch	homographic	touch	touch	homographic	['tactile sensation', 'physical contact', 'dexterity', 'fingertip sensitivity']	['skill', 'ability', 'talent', 'finesse', 'capability']	toucher	['sensation tactile', 'contact physique', 'dextérité', 'sensibilité du bout des doigts']	['compétence', 'capacité', 'talent', 'finesse', 'aptitude']	touch	['tactile sensation', 'physical contact', 'dexterity', 'fingertip sensitivity']	['skill', 'ability', 'talent', 'finesse', 'aptitude']
en_1107	This salad dressing has too much vinegar, he said acidly.	acidly	homophonic	acid	acidly	homographic	['sourly', 'tartly', 'acidic', 'vinegary']	['sharply', 'bitingly', 'caustically', 'sarcastically']	avec acidité	['aigrement', 'avec aigreur', 'acide', 'vinaigré']	['sharply', 'mordamment', 'caustiquement', 'sarcastiquement']	with acidity	['sourly', 'with bitterness', 'acid', 'vinegary']	['sharply', 'bitingly', 'caustically', 'sarcastically']
en_111	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	hourly	flourly	homophonic	['flour', 'powdered grain', 'starch', 'milled wheat']	['hourly', 'per hour', 'sixty-minute intervals', 'time-based']	farineusement	['farine', 'grain en poudre', 'amidon', 'blé moulu']	['toutes les heures', 'par heure', 'intervalles de soixante minutes', 'basé sur le temps']	flourily	['flour', 'grain in powder', 'starch', 'ground wheat']	['every hour', 'per hour', 'sixty-minute intervals', 'time-based']
en_1120	Old politicians never die, they just harangue in there.	harangue	homophonic	hang	harangue	homophonic	['hang', 'persist', 'remain', 'stay']	['harangue', 'lecture', 'rant', 'declaim', 'sermonize']	harangue	['accrocher', 'persister', 'rester', 'demeurer']	['haranguer', 'faire la leçon', 'pérorer', 'déclamer', 'sermonner']	harangue	['to hook', 'to persist', 'to stay', 'to remain']	['to harangue', 'to lecture', 'to hold forth', 'to declaim', 'to sermonize']
en_1121	Some people find fire drills quite Alarming.	alarming	homophonic	alarm	Alarming	homographic	['frightening', 'disturbing', 'scary', 'shocking']	['sounding a siren', 'ringing', 'alerting', 'activating an alarm']	Alarmant	['effrayant', 'perturbant', 'terrifiant', 'choquant']	['déclencher une sirène', 'sonnant', 'alertant', 'activer une alarme']	Alarming	['frightening', 'disturbing', 'terrifying', 'shocking']	['triggering a siren', 'ringing', 'alerting', 'activating an alarm']
en_114	Old florists never die, they just make alternative arrangements.	arrangements	homographic	arrangements	arrangements	homographic	['bouquets', 'floral displays', 'compositions', 'flower clusters']	['plans', 'preparations', 'provisions', 'legal settlements']	arrangements	['bouquets', 'compositions florales', 'compositions', 'assemblages de fleurs']	['plans', 'préparatifs', 'dispositions', 'règlements juridiques']	arrangements	['bouquets', 'floral compositions', 'compositions', 'flower arrangements']	['plans', 'preparations', 'dispositions', 'legal settlements']
en_1144	Get the stick, Rover! he called fetchingly.	fetchingly	homophonic	fetch	fetchingly	homographic	['attractive', 'alluring', 'charming', 'captivating']	['retrieving', 'bringing back', 'fetching', 'carrying']	de manière séduisante	['attrayant', 'séduisant', 'charmant', 'captivant']	['récupérer', 'rapporter', 'aller chercher', 'porter']	in a seductive manner	['attractive', 'seductive', 'charming', 'captivating']	['to recover', 'to bring back', 'to go fetch', 'to carry']
en_1146	The fire chief was always asked burning questions.	burning	homographic	burning	burning	homographic	['on fire', 'blazing', 'flaming', 'ignited']	['urgent', 'pressing', 'critical', 'crucial']	brûlant	['en feu', 'embrasé', 'flamboyant', 'enflammé']	['urgent', 'pressant', 'critique', 'crucial']	burning	['on fire', 'ablaze', 'blazing', 'inflamed']	['urgent', 'pressing', 'critical', 'crucial']
en_1157	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	sweat	sweat	homographic	['perspire', 'exude moisture', 'transpire']	['endure a difficult situation', 'wait anxiously', 'suffer through']	sueur	['transpirer', "exsuder de l'humidité", 'suer']	['endurer une situation difficile', 'attendre avec anxiété', 'souffrir']	sweat	['to perspire', 'to exude moisture', 'to sweat']	['to endure a difficult situation', 'to wait anxiously', 'to suffer']
