id_en	shuffled_candidates_json
1101	"[{""id"":38287,""pun"":""\""Tu aimes ma porcelaine ?\"" demanda-t-il d'un ton d'Han-ge."",""run"":""gemini""},{""id"":63195,""pun"":""\""Ce vase est une pièce unique\"", affirma-t-il avec assu-Rance."",""run"":""gemini""},{""id"":91645,""pun"":""\""Admire ma vaisselle impériale\"", dit-il d'un air dé-Ming-ué."",""run"":""gemini""},{""id"":77316,""pun"":""\""J'adore les antiquités chinoises\"", dit-il avec un Ming-ois de charme."",""run"":""gemini""},{""id"":15895,""pun"":""\""Ce vase date de 1400\"", précisa-t-il avec enthou-Siao-sme."",""run"":""gemini""},{""id"":44766,""pun"":""\""Tu veux voir mes trésors d'Asie ?\"" dit-il pour l'Extrême-Orient-er."",""run"":""gemini""},{""id"":21319,""pun"":""\""C'est de la porcelaine fine\"", dit-il de manière Qing-cinglante."",""run"":""gemini""},{""id"":71104,""pun"":""\""C'est une poterie très rare\"", dit-il avec une Ming-e de rien."",""run"":""gemini""},{""id"":78936,""pun"":""\""J'ai trouvé ce vase dans un temple\"", dit-il d'un air de bon-ze."",""run"":""gemini""},{""id"":52917,""pun"":""\""Ma collection est immense\"", dit-il en la pré-Ming-tant."",""run"":""gemini""},{""id"":40617,""pun"":""\""Ma collection est fragile\"", dit-il en s'ex-primant."",""run"":""gemini""},{""id"":63887,""pun"":""\""Regarde ce pot ancien\"", dit-il avec un air de th-éière."",""run"":""gemini""}]"
1102	"[{""id"":33370,""pun"":""Le client a trouvé sa galette trop petite, il a crié à l'injera-stice !"",""run"":""gemini""},{""id"":61391,""pun"":""Un plat éthiopien pimenté, c'est une plaie pour les papilles."",""run"":""gemini""},{""id"":99863,""pun"":""Un éthiopien qui rate sa galette court à l'injera-strophe."",""run"":""gemini""},{""id"":50353,""pun"":""Le boulanger éthiopien a été arrêté : il mettait du dopage dans son injera."",""run"":""gemini""},{""id"":53410,""pun"":""Quand l'injera est ratée, le chef est dans le pétrin."",""run"":""gemini""},{""id"":13692,""pun"":""Un serveur malpoli dans un restaurant éthiopien, c'est l'injera à l'insulte."",""run"":""gemini""},{""id"":66126,""pun"":""Boire du vin avec du teff, c'est ce qu'on appelle un mélange de cépages et de teffage."",""run"":""gemini""},{""id"":55753,""pun"":""L'injera est une galette très polie : elle n'est jamais dans l'injure."",""run"":""gemini""},{""id"":91047,""pun"":""Se blesser en préparant une galette, c'est l'injera au dommage."",""run"":""gemini""},{""id"":34427,""pun"":""Ne critiquez pas l'injera, ou vous allez vous attirer les foudres du teff."",""run"":""gemini""},{""id"":32660,""pun"":""Pourquoi l'éthiopien est-il zen ? Parce qu'il n'a pas d'injera-titude négative."",""run"":""gemini""},{""id"":62805,""pun"":""Elle est toujours en phase avec son injera : c'est une vraie femme de goût."",""run"":""gemini""}]"
1103	"[{""id"":51932,""pun"":""Le menuisier s'est acheté une hache pour son anniversaire : c'est un cadeau qui tombe à pic."",""run"":""gemini""},{""id"":58348,""pun"":""Avoir trop de haches dans son atelier, c’est vrai que ça n’ajoute que de la haine."",""run"":""gemini""},{""id"":67989,""pun"":""On a racheté des lames de rechange car ça hache-tte de nouvelles perspectives."",""run"":""gemini""},{""id"":32748,""pun"":""Avec toutes ces haches, j'ai peur qu'on ne puisse plus trancher la question."",""run"":""gemini""},{""id"":36755,""pun"":""Pourquoi une hache ne ment jamais ? Parce qu'elle est toujours franche."",""run"":""gemini""},{""id"":77555,""pun"":""Le menuisier a pris une hache en plus, car ainsi le travail est bien joint."",""run"":""gemini""},{""id"":29897,""pun"":""On a ajouté une hache au stock, c'est l'outil qui hache-te la paix."",""run"":""gemini""},{""id"":94106,""pun"":""Un bûcheron sans outil, c'est pas de la hache-arnement c'est de l'abandon."",""run"":""gemini""},{""id"":11348,""pun"":""Le bûcheron a été renvoyé : il ne faisait pas l'affaire, il faisait la hache."",""run"":""gemini""},{""id"":66027,""pun"":""Le menuisier qui a trop d'outils finit par se fendre la poire."",""run"":""gemini""},{""id"":30466,""pun"":""Quand on m’a proposé une hache polie, j’ai dit merci."",""run"":""gemini""},{""id"":19820,""pun"":""Il y avait tellement de haches sur le chantier que c'était le hachis parmentier."",""run"":""gemini""}]"
1104	"[{""id"":82784,""pun"":""Avoir trop de voyelles au Scrabble, c'est un 'A' de trop pour la paix."",""run"":""gemini""},{""id"":63272,""pun"":""Quand on joue de mauvais mots, on n'est pas dans son assiette, on est dans son alphabet."",""run"":""gemini""},{""id"":26256,""pun"":""Faire un mot de sept lettres sans 'E', c'est l'exception qui confirme la règle (à calculer)."",""run"":""gemini""},{""id"":18628,""pun"":""Trop de voyelles, c'est le 'O' du désespoir."",""run"":""gemini""},{""id"":82787,""pun"":""Le Scrabble, c'est l'enfer : entre les voyelles en trop et les consonnes, c'est un combat de tous les maux."",""run"":""gemini""},{""id"":98961,""pun"":""Le Scrabble est un sport de lettres, mais certains manquent de caractère."",""run"":""gemini""},{""id"":49967,""pun"":""Il n'y a rien de plus constant qu'une consonne au Scrabble : elle finit toujours par boucher ton chevalet."",""run"":""gemini""},{""id"":78236,""pun"":""Au Scrabble, quand tu n'as que des 'U', c'est l'usure du jeu."",""run"":""gemini""},{""id"":87298,""pun"":""J'ai tellement de voyelles que mon jeu ne revient à rien, il ne fait que me re-tenir tête."",""run"":""gemini""},{""id"":39409,""pun"":""Il s'est fait 'W' par son adversaire au Scrabble."",""run"":""gemini""},{""id"":48479,""pun"":""Un joueur de Scrabble qui ne trouve pas ses mots perd la face... et l'accent."",""run"":""gemini""},{""id"":40604,""pun"":""Perdre au Scrabble à cause d'un 'Y', c'est vraiment un problème de grec."",""run"":""gemini""}]"
1105	"[{""id"":23753,""pun"":""Ma carrière dans la sidérurgie me laisse sans voix, je suis littéralement sidérurgié."",""run"":""gemini""},{""id"":16422,""pun"":""Travailler le métal est gratifiant, mais à la fin de la journée, on est tous un peu rouillés."",""run"":""gemini""},{""id"":86752,""pun"":""Les ouvriers de l'acier ne font jamais de grève, ils préfèrent rester soudés."",""run"":""gemini""},{""id"":33612,""pun"":""Le mineur est tombé amoureux : il a eu un coup de foudre, mais heureusement il portait un paratonnerre."",""run"":""gemini""},{""id"":13114,""pun"":""J'ai demandé au mineur s'il aimait son métier, il m'a dit : C'est une question de fond."",""run"":""gemini""},{""id"":50606,""pun"":""Le forgeron a été viré car il battait le fer quand il était chaud, mais surtout pendant ses heures de pause."",""run"":""gemini""},{""id"":34707,""pun"":""Un magnat de l'acier qui a de l'humour, c'est quelqu'un qui a le sens de la barre."",""run"":""gemini""},{""id"":13196,""pun"":""On m'a dit que je m'enfermais dans mon travail à la fonderie, c'est un comble pour quelqu'un qui travaille le fer."",""run"":""gemini""},{""id"":82231,""pun"":""Mon ami métallurgiste est très calme, il a un moral de fer."",""run"":""gemini""},{""id"":34583,""pun"":""Dans l'industrie minière, pour monter en grade, il faut savoir creuser le sujet."",""run"":""gemini""},{""id"":95134,""pun"":""Il a réussi dans le fer, mais il reste modeste car il ne veut pas avoir les nerfs d'acier."",""run"":""gemini""},{""id"":13025,""pun"":""L'ouvrier de la mine de fer a perdu son travail car il n'avait plus de ressort."",""run"":""gemini""}]"
1106	"[{""id"":20965,""pun"":""Il appelait sa copine sa 'veine', jusqu'au jour où il a fini par se couper la veine."",""run"":""gemini""},{""id"":81293,""pun"":""Sa compagne était son 'atout', mais il a fini par être à bout."",""run"":""gemini""},{""id"":31339,""pun"":""Il croyait en sa 'bonne étoile', jusqu'à ce qu'elle lui fasse voir des étoiles."",""run"":""gemini""},{""id"":10486,""pun"":""Elle était sa 'fiancée', mais dès qu'il a forcé le destin, elle est devenue sa 'fi-assez'."",""run"":""gemini""},{""id"":15084,""pun"":""Il disait qu'elle était pleine d'affection, mais il a fini par avoir peur de la flexion."",""run"":""gemini""},{""id"":10953,""pun"":""Sa femme, c'était sa 'chance'. Dommage qu'à force de la tenter, il l'ait épuisée."",""run"":""gemini""},{""id"":83230,""pun"":""Sa copine était son 'porte-bonheur', jusqu'à ce qu'elle lui porte la poisse."",""run"":""gemini""},{""id"":85253,""pun"":""Il pensait que sa meuf était un 'cadeau du ciel', jusqu'à ce qu'il se prenne la foudre."",""run"":""gemini""},{""id"":98078,""pun"":""Il appelait sa femme 'Ma Fortune', car il n'avait jamais un rond sans elle."",""run"":""gemini""},{""id"":18435,""pun"":""Elle était sa 'perle', mais à force de la faire ramer, il a fini par boire la tasse."",""run"":""gemini""},{""id"":22039,""pun"":""Il disait qu'elle était son 'destin', mais il a fini par prendre un autre chemin."",""run"":""gemini""},{""id"":97934,""pun"":""Il traitait sa chérie comme un 'pari', mais il a fini par perdre la mise."",""run"":""gemini""}]"
1107	"[{""id"":78748,""pun"":""Il disait que sa femme était sa 'perle', alors il l'a jetée aux pourceaux."",""run"":""gemini""},{""id"":69136,""pun"":""Il l'appelait sa 'pépite', mais il a fini par la trouver trop lourde à porter."",""run"":""gemini""},{""id"":61012,""pun"":""Il disait qu'elle était son 'pari', mais il a fini par perdre la mise à pied."",""run"":""gemini""},{""id"":31901,""pun"":""C'était sa 'providence', mais elle a fini par lui donner sa démission."",""run"":""gemini""},{""id"":71371,""pun"":""Il disait qu'elle était son 'astre', mais il a vite compris qu'elle était un désastre."",""run"":""gemini""},{""id"":23906,""pun"":""Il croyait avoir de la 'chance', mais elle a fini par tourner... vers son meilleur ami."",""run"":""gemini""},{""id"":22736,""pun"":""Il appelait sa femme 'Ma biche', jusqu'au jour où elle lui a posé un lapin."",""run"":""gemini""},{""id"":91405,""pun"":""Elle était sa 'bénédiction', mais elle a fini par lui demander de confesser ses péchés."",""run"":""gemini""},{""id"":57699,""pun"":""Elle était sa 'fortune', mais il a fini par épuiser son capital sympathie."",""run"":""gemini""},{""id"":20560,""pun"":""Il appelait sa copine sa 'veine', jusqu'à ce qu'il se rende compte qu'elle lui pompait tout son sang."",""run"":""gemini""},{""id"":51794,""pun"":""Il disait qu'elle était son 'atout', mais elle a fini par lui couper l'herbe sous le pied."",""run"":""gemini""},{""id"":53389,""pun"":""Il appelait son couple un 'destin', mais il a fini par prendre un sens interdit."",""run"":""gemini""}]"
1108	"[{""id"":80141,""pun"":""On a demandé au coutelier s'il faisait du profit, il a dit : « C'est tranché ! »"",""run"":""gemini""},{""id"":59929,""pun"":""Ces deux couteliers ne s'entendaient plus, mais ils ont fini par trouver une lame sœur."",""run"":""gemini""},{""id"":55140,""pun"":""Il vendait des couteaux de cuisine, mais il a dû arrêter : il n'avait plus aucune part de gâteau."",""run"":""gemini""},{""id"":98058,""pun"":""Le forgeron a fait faillite car il n'avait plus un rond... de carotte."",""run"":""gemini""},{""id"":34934,""pun"":""Ce marchand de couteaux est épuisé, il n'a plus de coffre-fort mais juste des coffres-faibles."",""run"":""gemini""},{""id"":43190,""pun"":""Les fabricants de scalpels ont des revenus très incisifs."",""run"":""gemini""},{""id"":15511,""pun"":""L'entreprise de lames a déposé le bilan : ils étaient au fil du rasoir."",""run"":""gemini""},{""id"":52286,""pun"":""Le banquier a dit au coutelier : « Votre dossier est à la revue de vos revenus. »"",""run"":""gemini""},{""id"":51390,""pun"":""Le boucher et le coutelier ont fusionné, ce fut une décision tranchée."",""run"":""gemini""},{""id"":97192,""pun"":""Deux couteaux se sont mariés : ils attendent un petit canif."",""run"":""gemini""},{""id"":49218,""pun"":""C'est un fabricant de couteaux très riche, il a fait un profit d'enfer."",""run"":""gemini""},{""id"":78936,""pun"":""Pour ses revenus, le coutelier a toujours un tranchant d'avance."",""run"":""gemini""}]"
1109	"[{""id"":31282,""pun"":""Il a été pris au rayon sport car il est bon pied, bon œil."",""run"":""gemini""},{""id"":71204,""pun"":""Le candidat pour le poste de bottier est resté de marbre, il a bon cuir."",""run"":""gemini""},{""id"":65402,""pun"":""Il a postulé dans un magasin de chaussures car il voulait avoir le pied à l'étrier."",""run"":""gemini""},{""id"":70573,""pun"":""Il a postulé chez Dr. Martens car il voulait une carrière bien cirée."",""run"":""gemini""},{""id"":19939,""pun"":""L'ancien cordonnier a été embauché car il était vraiment une pointure."",""run"":""gemini""},{""id"":90901,""pun"":""Il vend des baskets car il a toujours eu l'esprit de compétition, il est prêt pour la course au poste."",""run"":""gemini""},{""id"":16377,""pun"":""On l'a engagé pour vendre des sandales parce qu'il n'avait pas peur d'y aller nu-pieds."",""run"":""gemini""},{""id"":32308,""pun"":""Le recruteur l'a choisi pour vendre des escarpins parce qu'il arrivait toujours à ses fins, il a trouvé chaussure à son pied."",""run"":""gemini""},{""id"":74416,""pun"":""Engager ce cordonnier était une évidence, il ne perd jamais le fil."",""run"":""gemini""},{""id"":91598,""pun"":""L'entretien s'est bien passé car il a su mettre de l'entrain, même s'il ne vend que des mocassins."",""run"":""gemini""},{""id"":55063,""pun"":""Il a trouvé un job chez un fabricant de semelles, c'est un travail de longue haleine car il part sur de bonnes bases."",""run"":""gemini""},{""id"":18380,""pun"":""Il a décroché le job de vendeur de bottes car il savait toujours où il mettait les pieds."",""run"":""gemini""}]"
1110	"[{""id"":20690,""pun"":""Il ne faut pas forcer le destin, sinon on risque d'en-fer-mer le débat."",""run"":""gemini""},{""id"":92889,""pun"":""Un morceau de métal qui pourrit, c'est un fer à moudre."",""run"":""gemini""},{""id"":35198,""pun"":""Sais-tu pourquoi la rouille est triste ? Parce qu'elle se sent dé-sidérée."",""run"":""gemini""},{""id"":68758,""pun"":""Un forgeron qui stresse, c'est quelqu'un qui a les nerfs d'acier."",""run"":""gemini""},{""id"":21129,""pun"":""Le métal gâté est très têtu : il refuse de battre le fer quand il est chaud."",""run"":""gemini""},{""id"":74839,""pun"":""On a demandé au forgeron s'il travaillait pour l'enfer."",""run"":""gemini""},{""id"":98468,""pun"":""Le métal est tombé malade car il avait une santé de fer."",""run"":""gemini""},{""id"":20991,""pun"":""Quel est le métal le plus pieux ? Le fer-vent."",""run"":""gemini""},{""id"":16925,""pun"":""Pourquoi le fer est-il fatigué ? Parce qu'il est en pleine décomposition de son poste."",""run"":""gemini""},{""id"":39372,""pun"":""Le forgeron est très poli, il ne dit jamais de fer-netetés."",""run"":""gemini""},{""id"":79447,""pun"":""Le vieux portail a arrêté de s'entraîner, il n'a plus la forme."",""run"":""gemini""},{""id"":50596,""pun"":""Le fer qui moisit, c'est de l'art-tose."",""run"":""gemini""}]"
