id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count
1101	"""Have you seen my collection of ancient Chinese artifacts?"" he asked charmingly."				charmingly	homophonic	['attractive', 'charismatic', 'polite', 'delightful', 'graceful']	['Ming', 'dynasty', 'porcelain', 'antiquity', 'pottery', 'vases']	charmant-Ming	['attrayant', 'charismatique', 'poli', 'délicieux', 'gracieux']	['Ming', 'dynastie', 'porcelaine', 'antiquité', 'poterie', 'vases']				[]	0
1102	Having a rude waiter at an Ethiopian restaurant just adds insult to injera.				injera	homophonic	['injury', 'harm', 'wound', 'trauma', 'damage', 'bruise']	['flatbread', 'sourdough', 'Ethiopian', 'teff', 'fermented', 'staple']	injera	['blessure', 'préjudice', 'plaie', 'traumatisme', 'dommage', 'contusion']	['galette', 'levain', 'éthiopienne', 'teff', 'fermentée', 'base']				"[{""left"":""dommage"",""right"":""dopage"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8324,""french_naturalness"":0.54,""semantic_surprise"":0.6378,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.6933},""export_lane"":""close_A_to_other""},{""left"":""phase"",""right"":""femme"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8269,""french_naturalness"":0.42,""semantic_surprise"":0.7251,""semantic_domain_similarity"":0.5896,""pun_pivot_usability"":0.45,""overall_score"":0.6136},""export_lane"":""detached_A2_B01_DETACHED""}]"	2
1103	Having too many axe-like tools to do a particular job only adze to the confusion.				adze	homophonic	['adds', 'increases', 'accumulates', 'augments', 'joins', 'sums']	['axe', 'tool', 'woodworking', 'blade', 'handle', 'cutting']	herminette	['ajoute', 'augmente', 'accumule', 'accroit', 'joint', 'additionne']	['hache', 'outil', 'menuiserie', 'lame', 'manche', 'tranchage']				"[{""left"":""jouai"",""right"":""joint"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8135,""french_naturalness"":0.42,""semantic_surprise"":0.6674,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6327},""export_lane"":""detached_B2_A01_DETACHED""}]"	1
1104	Having too many vowels is a consonant struggle in the game of Scrabble.				consonant	homographic	['letter', 'phonetic', 'vowel', 'alphabet', 'orthography', 'phoneme']	['constant', 'persistent', 'continuous', 'habitual', 'unending', 'chronic']	consonante	['lettre', 'phonétique', 'voyelle', 'alphabet', 'orthographe', 'phonème']	['constant', 'persistant', 'continu', 'habituel', 'perpétuel', 'chronique']				"[{""left"":""reviens"",""right"":""retient"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8253,""french_naturalness"":0.42,""semantic_surprise"":0.7078,""semantic_domain_similarity"":0.6641,""pun_pivot_usability"":0.45,""overall_score"":0.6175},""export_lane"":""detached_A2_B01_DETACHED""}]"	1
1105	"He admired my huge success in the steel industry but I told him ""Anybody can get to the top in anything if they have the desire to. There's no need to be in ore."""				ore	homophonic	['mineral', 'mining', 'metal', 'iron', 'rock', 'industrial']	['awe', 'wonder', 'admiration', 'amazement', 'reverence', 'respect']	minerai	['minéral', 'mine', 'métal', 'fer', 'roche', 'industriel']	['émerveillement', 'prodige', 'admiration', 'stupéfaction', 'révérence', 'respect']				[]	0
1106	"He always called his girlfriend his ""luck"". Until he decided to push his luck."				luck	homographic	['girlfriend', 'partner', 'affection', 'beloved', 'darling', 'companion']	['risk', 'chance', 'fortune', 'gamble', 'probability', 'fate']	chance	['petite-amie', 'partenaire', 'affection', 'bien-aimée', 'chérie', 'compagne']	['risque', 'hasard', 'fortune', 'pari', 'probabilité', 'destin']				"[{""left"":""affection"",""right"":""flexion"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":4,""scores"":{""phonetic_match"":0.8263,""french_naturalness"":0.54,""semantic_surprise"":0.6345,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.504,""overall_score"":0.6738},""export_lane"":""close_A_to_other""}]"	1
1107	"He always called his girlfriend his ""luck"". Until he decided to push his luck."				luck	homographic	['fortune', 'chance', 'blessing', 'serendipity', 'success']	['boundary', 'limit', 'risk', 'gamble', 'threshold', 'tolerance']	chance	['fortune', 'veine', 'bénédiction', 'sérendipité', 'succès']	['limite', 'borne', 'risque', 'pari', 'seuil', 'tolérance']				[]	0
1108	He and his partner made knives, and they shared a cut.				cut	homographic	['blade', 'incision', 'sharp', 'edge', 'metal', 'slice']	['profit', 'share', 'percentage', 'earnings', 'revenue', 'portion']	tranche	['lame', 'incision', 'tranchant', 'bord', 'métal', 'rondelle']	['profit', 'part', 'pourcentage', 'gains', 'revenus', 'portion']				"[{""left"":""revue"",""right"":""revenus"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.8155,""french_naturalness"":0.42,""semantic_surprise"":0.6685,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6335},""export_lane"":""detached_A2_B01_DETACHED""},{""left"":""promis"",""right"":""profit"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.805,""french_naturalness"":0.42,""semantic_surprise"":0.6627,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6295},""export_lane"":""detached_A2_B01_DETACHED""}]"	2
1109	He applied for a job to sell footwear because he figured it would be a shoe-in.				shoe-in	homophonic	['favorite', 'winner', 'guaranteed', 'candidate', 'victory', 'success']	['footwear', 'leather', 'sneaker', 'sole', 'cobbler', 'heel']	pointure	['favori', 'gagnant', 'garanti', 'candidat', 'victoire', 'succès']	['chaussure', 'cuir', 'basket', 'semelle', 'cordonnier', 'talon']				[]	0
1110	He asked his teacher if rust came from rot iron.				rot	homophonic	['decay', 'decomposition', 'mold', 'fungus', 'fester', 'spoil']	['wrought', 'metalwork', 'forged', 'iron', 'hammered', 'shaped']	pourriture	['décomposition', 'moisissure', 'fongus', 'putréfaction', 'gâté', 'altération']	['façonné', 'sidérurgie', 'forgé', 'fer', 'martelé', 'modelé']				[]	0
