id_en	text_clean	shuffled_candidates_json	discriminator_run2_borda_method	discriminator_run2_internal_weights_json	discriminator_run2_model_weights_json	discriminator_run2_borda_scores_json	discriminator_run2_borda_ranking_json	discriminator_run2_winner_id	discriminator_run2_winner_source	discriminator_run2_winner_original_id	discriminator_run2_winner_pun	discriminator_run2_winner_score	discriminator_run2_borda_error	discriminator_run2_borda_version
1	I want to be cremated as it is my last hope for a smoking hot body.	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Je veux être incinéré, c'est mon dernier espoir d'avoir un physique incendiaire."",""id"":64073},{""source"":""claude"",""original_id"":""78018"",""pun"":""Je veux être incinéré — c'est mon dernier espoir d'avoir un corps brûlant."",""id"":79083},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Je veux être incinéré : c’est ma dernière chance d’avoir un corps de braise."",""id"":99399},{""source"":""gemini"",""original_id"":""51492"",""pun"":""Je veux être incinéré parce que j'ai toujours rêvé d'avoir un corps de braise."",""id"":31057}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""99399"":400.0,""31057"":300.0,""64073"":175.0,""79083"":125.0}"	"[{""id"":99399,""source"":""gpt_single"",""original_id"":"""",""score"":400.0,""pun"":""Je veux être incinéré : c’est ma dernière chance d’avoir un corps de braise.""},{""id"":31057,""source"":""gemini"",""original_id"":""51492"",""score"":300.0,""pun"":""Je veux être incinéré parce que j'ai toujours rêvé d'avoir un corps de braise.""},{""id"":64073,""source"":""gemini_pro_single"",""original_id"":"""",""score"":175.0,""pun"":""Je veux être incinéré, c'est mon dernier espoir d'avoir un physique incendiaire.""},{""id"":79083,""source"":""claude"",""original_id"":""78018"",""score"":125.0,""pun"":""Je veux être incinéré — c'est mon dernier espoir d'avoir un corps brûlant.""}]"	99399	gpt_single		Je veux être incinéré : c’est ma dernière chance d’avoir un corps de braise.	400.0		discriminator_run2_v4
2	To the guy who invented zero, thanks for nothing.	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""J'ai remercié l'inventeur du zéro. Il m'a répondu : « De rien. »"",""id"":20147},{""source"":""gpt_single"",""original_id"":"""",""pun"":""À celui qui a inventé le zéro : merci pour rien."",""id"":67313},{""source"":""gemini"",""original_id"":""80560"",""pun"":""L'inventeur du zéro est mort pauvre : il n'a jamais rien touché."",""id"":59284},{""source"":""claude"",""original_id"":""55880"",""pun"":""À l'inventeur du zéro : merci pour rien."",""id"":18031}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""20147"":350.0,""18031"":250.0,""59284"":250.0,""67313"":150.0}"	"[{""id"":20147,""source"":""gemini_pro_single"",""original_id"":"""",""score"":350.0,""pun"":""J'ai remercié l'inventeur du zéro. Il m'a répondu : « De rien. »""},{""id"":18031,""source"":""claude"",""original_id"":""55880"",""score"":250.0,""pun"":""À l'inventeur du zéro : merci pour rien.""},{""id"":59284,""source"":""gemini"",""original_id"":""80560"",""score"":250.0,""pun"":""L'inventeur du zéro est mort pauvre : il n'a jamais rien touché.""},{""id"":67313,""source"":""gpt_single"",""original_id"":"""",""score"":150.0,""pun"":""À celui qui a inventé le zéro : merci pour rien.""}]"	20147	gemini_pro_single		J'ai remercié l'inventeur du zéro. Il m'a répondu : « De rien. »	350.0		discriminator_run2_v4
3	"""(The windbag... speechless. This has got to be a first.)"""	"[{""source"":""claude"",""original_id"":""83272"",""pun"":""Le moulin à paroles... sans voix. C'est du jamais vu — et même du jamais entendu !"",""id"":84327},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""(Le moulin à paroles... sans voix. Ça doit être une première.)"",""id"":91145},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Le moulin à paroles est resté sans voix : pour une première, il a vraiment raté sa première."",""id"":10231},{""source"":""gemini"",""original_id"":""19037"",""pun"":""C'est la première fois qu'il se tait. Il a dû confondre son débit avec son crédit."",""id"":71687}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""84327"":325.0,""10231"":275.0,""91145"":225.0,""71687"":175.0}"	"[{""id"":84327,""source"":""claude"",""original_id"":""83272"",""score"":325.0,""pun"":""Le moulin à paroles... sans voix. C'est du jamais vu — et même du jamais entendu !""},{""id"":10231,""source"":""gpt_single"",""original_id"":"""",""score"":275.0,""pun"":""Le moulin à paroles est resté sans voix : pour une première, il a vraiment raté sa première.""},{""id"":91145,""source"":""gemini_pro_single"",""original_id"":"""",""score"":225.0,""pun"":""(Le moulin à paroles... sans voix. Ça doit être une première.)""},{""id"":71687,""source"":""gemini"",""original_id"":""19037"",""score"":175.0,""pun"":""C'est la première fois qu'il se tait. Il a dû confondre son débit avec son crédit.""}]"	84327	claude	83272	Le moulin à paroles... sans voix. C'est du jamais vu — et même du jamais entendu !	325.0		discriminator_run2_v4
4	"""A good [deed] is never lost. Character is [property], it is the noblest of possession."""	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Un bon acte ne se perd jamais : s’il est authentique, il finit toujours par faire foi."",""id"":57103},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""En Bourse comme dans la vie, une bonne action n'est jamais perdue."",""id"":52410},{""source"":""claude"",""original_id"":""76453"",""pun"":""Un bon acte ne se perd jamais. Le caractère, c'est un acte notarié — la plus noble des acquisitions."",""id"":41549},{""source"":""gemini"",""original_id"":""31904"",""pun"":""Pourquoi les notaires sont-ils d'excellents acteurs ? Parce qu’ils ne vivent que pour l’acte."",""id"":80758}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""52410"":350.0,""57103"":250.0,""80758"":225.0,""41549"":175.0}"	"[{""id"":52410,""source"":""gemini_pro_single"",""original_id"":"""",""score"":350.0,""pun"":""En Bourse comme dans la vie, une bonne action n'est jamais perdue.""},{""id"":57103,""source"":""gpt_single"",""original_id"":"""",""score"":250.0,""pun"":""Un bon acte ne se perd jamais : s’il est authentique, il finit toujours par faire foi.""},{""id"":80758,""source"":""gemini"",""original_id"":""31904"",""score"":225.0,""pun"":""Pourquoi les notaires sont-ils d'excellents acteurs ? Parce qu’ils ne vivent que pour l’acte.""},{""id"":41549,""source"":""claude"",""original_id"":""76453"",""score"":175.0,""pun"":""Un bon acte ne se perd jamais. Le caractère, c'est un acte notarié — la plus noble des acquisitions.""}]"	52410	gemini_pro_single		En Bourse comme dans la vie, une bonne action n'est jamais perdue.	350.0		discriminator_run2_v4
5	"""Am I so round with you as you with me, That like a football you do spurn me thus? You spurn me hence, and he will spurn me hither. If I last in this service, you must case me in leather."""	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Prenez-vous mon ton franc pour un coup franc, que vous me bottiez ainsi comme un ballon ? Si je dois durer à votre service, il faudra m'habiller de cuir !"",""id"":29170},{""source"":""claude"",""original_id"":""24002"",""pun"":""Tu veux jouer au foot avec moi ? Je suis déjà bien rond, tu n'as pas besoin de me gonfler davantage."",""id"":32323},{""source"":""gemini"",""original_id"":""18290"",""pun"":""Ce mec est une vraie bille en maths, c'est sans doute pour ça qu'il tourne en rond."",""id"":33677},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Je te le dis tout rond : si tu continues à me shooter comme un ballon, autant me recouvrir de cuir."",""id"":68699}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""32323"":325.0,""29170"":275.0,""68699"":250.0,""33677"":150.0}"	"[{""id"":32323,""source"":""claude"",""original_id"":""24002"",""score"":325.0,""pun"":""Tu veux jouer au foot avec moi ? Je suis déjà bien rond, tu n'as pas besoin de me gonfler davantage.""},{""id"":29170,""source"":""gemini_pro_single"",""original_id"":"""",""score"":275.0,""pun"":""Prenez-vous mon ton franc pour un coup franc, que vous me bottiez ainsi comme un ballon ? Si je dois durer à votre service, il faudra m'habiller de cuir !""},{""id"":68699,""source"":""gpt_single"",""original_id"":"""",""score"":250.0,""pun"":""Je te le dis tout rond : si tu continues à me shooter comme un ballon, autant me recouvrir de cuir.""},{""id"":33677,""source"":""gemini"",""original_id"":""18290"",""score"":150.0,""pun"":""Ce mec est une vraie bille en maths, c'est sans doute pour ça qu'il tourne en rond.""}]"	32323	claude	24002	Tu veux jouer au foot avec moi ? Je suis déjà bien rond, tu n'as pas besoin de me gonfler davantage.	325.0		discriminator_run2_v4
6	"""Are you drinking again?"" ""No, it's just tea."" ""What kind of tea?"" ""Tea-quila."""	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""- Tu bois encore ? - Non, c'est juste du thé. - Quel genre de thé ? - Du thé-quila."",""id"":66733},{""source"":""claude"",""original_id"":""17195"",""pun"":""— Pourquoi Achille ne boit-il que de la tequila ? — Parce que c'est son talon d'agave."",""id"":45431},{""source"":""gemini"",""original_id"":""68212"",""pun"":""Tu bois encore ? - Non, c'est juste du thé. - Quel genre de thé ? - Le thé-quila."",""id"":30616},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Je ne rebois pas, voyons : c’est juste un petit thé-quila."",""id"":54373}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""45431"":325.0,""66733"":300.0,""54373"":225.0,""30616"":150.0}"	"[{""id"":45431,""source"":""claude"",""original_id"":""17195"",""score"":325.0,""pun"":""— Pourquoi Achille ne boit-il que de la tequila ? — Parce que c'est son talon d'agave.""},{""id"":66733,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""- Tu bois encore ? - Non, c'est juste du thé. - Quel genre de thé ? - Du thé-quila.""},{""id"":54373,""source"":""gpt_single"",""original_id"":"""",""score"":225.0,""pun"":""Je ne rebois pas, voyons : c’est juste un petit thé-quila.""},{""id"":30616,""source"":""gemini"",""original_id"":""68212"",""score"":150.0,""pun"":""Tu bois encore ? - Non, c'est juste du thé. - Quel genre de thé ? - Le thé-quila.""}]"	45431	claude	17195	— Pourquoi Achille ne boit-il que de la tequila ? — Parce que c'est son talon d'agave.	325.0		discriminator_run2_v4
7	"""Before she had this fit"" You never had fits, my dear, I think? Then the words don't fit you."	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Si tu n’as jamais fait de crise, inutile d’essayer celle-ci : elle ne te va pas."",""id"":92593},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Vous ne vous emportez jamais, ma chère, je crois ? Alors ce mot n'est pas du prêt-à-porter pour vous."",""id"":54218},{""source"":""gemini"",""original_id"":""88307"",""pun"":""Quand un tailleur s'énerve, il perd vite le fil de la conversation."",""id"":45156},{""source"":""claude"",""original_id"":""70762"",""pun"":""— Tu n'as jamais eu d'accès de colère ? — Non. — Alors tu n'as pas accès à cette blague."",""id"":85207}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""45156"":325.0,""85207"":275.0,""54218"":225.0,""92593"":175.0}"	"[{""id"":45156,""source"":""gemini"",""original_id"":""88307"",""score"":325.0,""pun"":""Quand un tailleur s'énerve, il perd vite le fil de la conversation.""},{""id"":85207,""source"":""claude"",""original_id"":""70762"",""score"":275.0,""pun"":""— Tu n'as jamais eu d'accès de colère ? — Non. — Alors tu n'as pas accès à cette blague.""},{""id"":54218,""source"":""gemini_pro_single"",""original_id"":"""",""score"":225.0,""pun"":""Vous ne vous emportez jamais, ma chère, je crois ? Alors ce mot n'est pas du prêt-à-porter pour vous.""},{""id"":92593,""source"":""gpt_single"",""original_id"":"""",""score"":175.0,""pun"":""Si tu n’as jamais fait de crise, inutile d’essayer celle-ci : elle ne te va pas.""}]"	45156	gemini	88307	Quand un tailleur s'énerve, il perd vite le fil de la conversation.	325.0		discriminator_run2_v4
8	"""Dad, I'm hungry."" Hello, Hungry. I'm Dad."	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""« Papa, je suis affamé. » — « Enchanté, Affamé, moi c’est Papa. »"",""id"":80717},{""source"":""claude"",""original_id"":""31598"",""pun"":""Papa, j'ai faim. — Bonjour Faim, moi c'est Papa."",""id"":59718},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""— Papa, je suis affamé. — Bonjour Affamé, je suis papa !"",""id"":27646},{""source"":""gemini"",""original_id"":""62766"",""pun"":""- Je suis ravi ! - Salut Ravi, moi c'est Papa."",""id"":91335}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""80717"":350.0,""91335"":300.0,""27646"":200.0,""59718"":150.0}"	"[{""id"":80717,""source"":""gpt_single"",""original_id"":"""",""score"":350.0,""pun"":""« Papa, je suis affamé. » — « Enchanté, Affamé, moi c’est Papa. »""},{""id"":91335,""source"":""gemini"",""original_id"":""62766"",""score"":300.0,""pun"":""- Je suis ravi ! - Salut Ravi, moi c'est Papa.""},{""id"":27646,""source"":""gemini_pro_single"",""original_id"":"""",""score"":200.0,""pun"":""— Papa, je suis affamé. — Bonjour Affamé, je suis papa !""},{""id"":59718,""source"":""claude"",""original_id"":""31598"",""score"":150.0,""pun"":""Papa, j'ai faim. — Bonjour Faim, moi c'est Papa.""}]"	80717	gpt_single		« Papa, je suis affamé. » — « Enchanté, Affamé, moi c’est Papa. »	350.0		discriminator_run2_v4
9	"""Dost thou hear?"" ""Your tale, sir, would cure deafness."""	"[{""source"":""gemini"",""original_id"":""95550"",""pun"":""- Est-ce que mon récit t'endort ? - Tu m'as tellement enduit d'ennui qu'on pourrait peindre un mur avec."",""id"":13098},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Ton histoire est d’un ennui assourdissant : elle rendrait l’ouïe à un sourd juste pour qu’il puisse couper le son."",""id"":62718},{""source"":""claude"",""original_id"":""50202"",""pun"":""— Ton discours était si captivant… — Que tout le monde s'est mis à faire la sourde oreille en direct."",""id"":82772},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""— M'entends-tu ? — Votre récit, monsieur, est un remède infaillible contre la sourde oreille."",""id"":84721}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""62718"":325.0,""84721"":300.0,""13098"":225.0,""82772"":150.0}"	"[{""id"":62718,""source"":""gpt_single"",""original_id"":"""",""score"":325.0,""pun"":""Ton histoire est d’un ennui assourdissant : elle rendrait l’ouïe à un sourd juste pour qu’il puisse couper le son.""},{""id"":84721,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""— M'entends-tu ? — Votre récit, monsieur, est un remède infaillible contre la sourde oreille.""},{""id"":13098,""source"":""gemini"",""original_id"":""95550"",""score"":225.0,""pun"":""- Est-ce que mon récit t'endort ? - Tu m'as tellement enduit d'ennui qu'on pourrait peindre un mur avec.""},{""id"":82772,""source"":""claude"",""original_id"":""50202"",""score"":150.0,""pun"":""— Ton discours était si captivant… — Que tout le monde s'est mis à faire la sourde oreille en direct.""}]"	62718	gpt_single		Ton histoire est d’un ennui assourdissant : elle rendrait l’ouïe à un sourd juste pour qu’il puisse couper le son.	325.0		discriminator_run2_v4
10	"""I think it be thine, indeed; for thou liest in't"" ""You lie out on't, sir, and therefore 'tis not yours. For my part, I do not 'lie' in't, and yet it is mine."" Thou dost 'lie' in't, to be in't and say it is thine. ""'Tis for the dead, not for the quick; therefore thou liest."" ""'Tis a 'quick' lie, sir; 'twill away again from me to you."""	"[{""source"":""claude"",""original_id"":""54612"",""pun"":""— Cette tombe est à moi. — Vous mentez ! — Je ne mens pas, je gis dedans. — Justement, gésir c'est mentir quand on est vivant."",""id"":47983},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Sur la tombe d’un menteur, écrivez plutôt : « Ci-gît celui qui, pour une fois, ne ment pas. »"",""id"":40331},{""source"":""gemini"",""original_id"":""73878"",""pun"":""Les fossoyeurs sont des gens très posés : ils passent leur vie à mettre les autres en bière sans jamais trinquer."",""id"":76602},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Vous m'accusez de mentir dans cette tombe, monsieur ? Difficile de vous raconter des histoires à dormir debout alors que j'y suis couché !"",""id"":21852}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""claude"":2.0,""gemini_pro"":1.0,""gpt"":2.0}"	"{""76602"":300.0,""21852"":275.0,""40331"":225.0,""47983"":200.0}"	"[{""id"":76602,""source"":""gemini"",""original_id"":""73878"",""score"":300.0,""pun"":""Les fossoyeurs sont des gens très posés : ils passent leur vie à mettre les autres en bière sans jamais trinquer.""},{""id"":21852,""source"":""gemini_pro_single"",""original_id"":"""",""score"":275.0,""pun"":""Vous m'accusez de mentir dans cette tombe, monsieur ? Difficile de vous raconter des histoires à dormir debout alors que j'y suis couché !""},{""id"":40331,""source"":""gpt_single"",""original_id"":"""",""score"":225.0,""pun"":""Sur la tombe d’un menteur, écrivez plutôt : « Ci-gît celui qui, pour une fois, ne ment pas. »""},{""id"":47983,""source"":""claude"",""original_id"":""54612"",""score"":200.0,""pun"":""— Cette tombe est à moi. — Vous mentez ! — Je ne mens pas, je gis dedans. — Justement, gésir c'est mentir quand on est vivant.""}]"	76602	gemini	73878	Les fossoyeurs sont des gens très posés : ils passent leur vie à mettre les autres en bière sans jamais trinquer.	300.0		discriminator_run2_v4
