id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count
3201	The oil well driller had a boring job.				boring	homographic	['drill', 'excavate', 'perforate', 'tunnel', 'penetrate']	['dull', 'tedious', 'monotonous', 'uninteresting', 'tiresome']	ennuyant	['forer', 'creuser', 'percer', 'tunneler', 'pénétrer']	['lassant', 'fastidieux', 'monotone', 'inintéressant', 'pénible']				"[{""left"":""georges"",""right"":""forge"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8009,""french_naturalness"":0.42,""semantic_surprise"":0.7019,""semantic_domain_similarity"":0.63,""pun_pivot_usability"":0.42,""overall_score"":0.5984},""export_lane"":""detached_B2_A01_DETACHED""}]"	1
3202	The old doctors practice of bloodletting was all in vein.				vein	homophonic	['vessel', 'blood', 'artery', 'circulation', 'anatomy', 'capillary']	['futile', 'useless', 'pointless', 'unsuccessful', 'fruitless', 'ineffective']	veine	['vaisseau', 'sang', 'artère', 'circulation', 'anatomie', 'capillaire']	['futile', 'inutile', 'vain', 'infructueux', 'stérile', 'inefficace']				[]	0
3203	The oldest way to stay young.				oldest	homographic	['ancient', 'antique', 'historic', 'aged', 'elderly', 'vintage']	['earliest', 'original', 'first', 'initial', 'primitive']	aîné	['ancien', 'antique', 'historique', 'âgé', 'vieux', 'vintage']	['premier', 'original', 'initial', 'primitif', 'précoce']				[]	0
3204	The one thing that is constant is Change especially if you are a cashier.				Change	homographic	['transformation', 'evolution', 'mutation', 'variation', 'becoming', 'alteration']	['coins', 'currency', 'cashier', 'register', 'money', 'balance']	Changement	['transformation', 'évolution', 'mutation', 'variation', 'devenir', 'altération']	['pièces', 'devise', 'caissier', 'registre', 'argent', 'solde']				[]	0
3205	The only dinosaur who loved drinking tea was the TEA-REX.				TEA-REX	homophonic	['beverage', 'leaf', 'kettle', 'brewing', 'infusion', 'cup']	['predator', 'dinosaur', 'fossil', 'cretaceous', 'reptile', 'carnivore']	THÉ-REX	['boisson', 'feuille', 'bouilloire', 'infusion', 'infusion', 'tasse']	['prédateur', 'dinosaure', 'fossile', 'crétacé', 'reptile', 'carnivore']				[]	0
3206	The only thing common between a stork and an obstetrician is the long bill.				bill	homographic	['beak', 'anatomy', 'avian', 'mouth', 'mandible', 'horn']	['invoice', 'charge', 'payment', 'fee', 'debt', 'account']	facture	['bec', 'anatomie', 'aviaire', 'bouche', 'mandibule', 'corne']	['facture', 'frais', 'paiement', 'tarif', 'dette', 'compte']				"[{""left"":""compte"",""right"":""conte"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.9,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.936,""overall_score"":0.9168},""export_lane"":""close_B_to_other""},{""left"":""compte"",""right"":""comte"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.88,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.927,""overall_score"":0.9108},""export_lane"":""close_B_to_other""},{""left"":""avignon"",""right"":""aviron"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8135,""french_naturalness"":0.42,""semantic_surprise"":0.7001,""semantic_domain_similarity"":0.6698,""pun_pivot_usability"":0.42,""overall_score"":0.6056},""export_lane"":""detached_B2_A01_DETACHED""}]"	3
3207	The only things sure for cab drivers are debt and taxis.				taxis	homophonic	['cab', 'vehicle', 'passenger', 'meter', 'transport', 'fare']	['taxes', 'revenue', 'government', 'income', 'levy', 'payment']	taxis	['chauffeur', 'véhicule', 'passager', 'compteur', 'transport', 'tarif']	['taxes', 'revenu', 'gouvernement', 'impôt', 'prélèvement', 'paiement']				"[{""left"":""compteur"",""right"":""conteur"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.54,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.62,""overall_score"":0.7698},""export_lane"":""close_A_to_other""},{""left"":""chauffeur"",""right"":""chômeur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.8209,""french_naturalness"":0.54,""semantic_surprise"":0.6315,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.6889},""export_lane"":""close_A_to_other""},{""left"":""compteur"",""right"":""quêteur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":6,""scores"":{""phonetic_match"":0.8002,""french_naturalness"":0.54,""semantic_surprise"":0.6201,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.54,""overall_score"":0.6733},""export_lane"":""close_A_to_other""},{""left"":""revue"",""right"":""revenu"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8155,""french_naturalness"":0.42,""semantic_surprise"":0.6685,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6335},""export_lane"":""detached_A2_B01_DETACHED""}]"	4
3208	The only time I have a drinking problem is when I spill it!				drinking problem	homographic	['alcoholism', 'addiction', 'intoxication', 'dependency', 'rehab', 'substance']	['spillage', 'physical', 'clumsiness', 'liquid', 'stain', 'gravity']	problème de boisson	['alcoolisme', 'addiction', 'intoxication', 'dépendance', 'rééducation', 'substance']	['renversement', 'physique', 'maladresse', 'liquide', 'tache', 'gravité']				"[{""left"":""livide"",""right"":""liquide"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8043,""french_naturalness"":0.42,""semantic_surprise"":0.6624,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6292},""export_lane"":""detached_A2_B01_DETACHED""}]"	1
3209	The optical scientist who stole his colleague's bifocals was sentenced to three years in a state prism.				prism	homophonic	['prison', 'jail', 'cell', 'inmate', 'confinement', 'incarceration']	['optics', 'glass', 'refraction', 'light', 'spectrum', 'triangle']	prisme	['prison', 'geôle', 'cellule', 'détenu', 'confinement', 'incarcération']	['optique', 'verre', 'réfraction', 'lumière', 'spectre', 'triangle']				"[{""left"":""verre"",""right"":""vert"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.94,""overall_score"":0.9106},""export_lane"":""close_B_to_other""},{""left"":""verre"",""right"":""vers"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.907,""overall_score"":0.902},""export_lane"":""close_B_to_other""}]"	2
3210	The optometrist ran for mayor because he was a visionary.				visionary	homographic	['optics', 'eyesight', 'retina', 'cornea', 'visual', 'prescription']	['ambitious', 'progressive', 'leader', 'idealist', 'strategic', 'foresight']	visionnaire	['optique', 'vue', 'rétine', 'cornée', 'visuel', 'ordonnance']	['ambitieux', 'progressiste', 'leader', 'idéaliste', 'stratégique', 'clairvoyance']				[]	0
