id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count	candidate_json	candidate_count	generation_error	generator_version
101	"""The sun is rising,"" he mourned."				rising	homophonic	['dawn', 'ascension', 'horizon', 'morning', 'orbit', 'zenith']	['son', 'child', 'heir', 'descendant', 'progeny', 'offspring']	levant	['aube', 'ascension', 'horizon', 'matin', 'orbite', 'zénith']	['fils', 'enfant', 'héritier', 'descendant', 'progéniture', 'proligère']				[]	0	"[{""french"":""\""Mon triste sort... le froid du petit m'atteint\"", pleure la veuve à l'aube."",""pun_trigger"":""matin / m'atteint"",""mechanism"":""homophone"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Le ciel est en deuil et sans avenir\"", gémit la lune, \""mon seul soleil est descendant.\"""",""pun_trigger"":""descendant"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
102	"""There's room for one more,"" he admitted."				admitted	homographic	['confess', 'acknowledge', 'declare', 'reveal', 'disclose']	['enter', 'access', 'capacity', 'reception', 'enrollment', 'allowance']	admis	['avoué', 'reconnu', 'déclaré', 'révélé', 'divulgué']	['entré', 'accès', 'capacité', 'réception', 'inscription', 'autorisation']				[]	0	"[{""french"":""\""Il reste de la place pour un de plus\"", admit-il."",""pun_trigger"":""admit"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Il y a encore de la place au port\"", aborda-t-il."",""pun_trigger"":""aborda"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
103	"""There, there,"" was his pat answer."				pat	homographic	['touch', 'stroke', 'hand', 'tap', 'physical', 'caress']	['glib', 'cliché', 'rehearsed', 'automatic', 'facile', 'trite']	pat	['tapoter', 'carresser', 'main', 'frappe', 'physique', 'caresse']	['facile', 'cliché', 'répété', 'automatique', 'superficiel', 'banal']				[]	0	"[{""french"":""Pour me réconforter, il m'a offert une PlayStation : c'est sa façon de me consoler."",""pun_trigger"":""consoler"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il m'a consolé en me caressant doucement l'épaule : il a vraiment beaucoup de tact."",""pun_trigger"":""tact"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Je cherchais du réconfort, mais il m'a donné une petite gifle. C'était sans doute une réponse frappante."",""pun_trigger"":""frappante"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""L'escrimeur m'a consolé en me piquant doucement avec son épée : j'ai été très touché."",""pun_trigger"":""touché"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le marin a essayé de me rassurer pendant l'orage, mais c'était vraiment une réponse bateau."",""pun_trigger"":""bateau"",""mechanism"":""idiom"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Pour me consoler de ma rupture, le photographe m'a tiré le portrait, même si sa démarche était un peu cliché."",""pun_trigger"":""cliché"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il m'a donné une petite tape de réconfort avec la paume, je n'avais jamais eu droit à une réponse aussi plate."",""pun_trigger"":""plate"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le tailleur a essayé de me remonter le moral avec un discours, mais ce n'était qu'une réponse toute faite."",""pun_trigger"":""toute faite"",""mechanism"":""idiom"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Dès que j'ai pleuré, il a posé très délicatement sa main sur la mienne : il a le don de répondre du tact au tact."",""pun_trigger"":""tact au tact"",""mechanism"":""paronymy"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le dermatologue m'a fait une petite caresse sur le bras pour me rassurer, mais son soutien m'a paru très superficiel."",""pun_trigger"":""superficiel"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Pour me remettre de ma tristesse, la dactylo m'a écrit un très long message de réconfort : c'était une réponse bien tapée."",""pun_trigger"":""bien tapée"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Mon coiffeur a trouvé les mots justes pour atténuer mon chagrin, il sait toujours me brosser dans le sens du poil."",""pun_trigger"":""brosser dans le sens du poil"",""mechanism"":""idiom"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	12		v15
104	"""These bit patterns will be more readable in groups of 8,"" he said bitingly."				bitingly	homographic	['sarcastic', 'sharp', 'caustic', 'hostile', 'acerbic']	['binary', 'digital', 'computing', 'data', 'units', 'octets']	mordant	['sarcastique', 'tranchant', 'caustique', 'hostile', 'acerbe']	['binaire', 'numérique', 'informatique', 'données', 'unités', 'octets']				[]	0	"[{""french"":""« Formons des groupes de huit ! » s'écria le développeur, toujours octet."",""pun_trigger"":""octet / au taquet"",""mechanism"":""near_homophone"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Cet informaticien sarcastique et snob aime juger l'apparence, il ne jure que par de beaux huit bits."",""pun_trigger"":""huit bits / habits"",""mechanism"":""near_homophone"",""strategy"":""retrieval_loose"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
105	"""This food tastes of plutonium,"" he said glowingly."				glowingly	homographic	['enthusiastic', 'praise', 'compliment', 'positive', 'approval']	['radioactive', 'luminescent', 'radiation', 'isotope', 'nuclear', 'light']	chaleureusement	['enthousiaste', 'louange', 'compliment', 'positif', 'approbation']	['radioactif', 'luminescent', 'radiation', 'isotope', 'nucléaire', 'lumière']				[]	0	"[{""french"":""\""Ce plat au plutonium est un délice,\"" s'exclama-t-il tout rayonnant."",""pun_trigger"":""rayonnant"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""L'uranium donne un goût exquis,\"" commenta le critique avec un sourire radieux."",""pun_trigger"":""radieux"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Ce gâteau à l'uranium est incroyable, c'est une véritable bombe !\"""",""pun_trigger"":""bombe"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Pour donner plus de goût à ton plutonium, tu devrais le saupoudrer d'un peu de Curie.\"""",""pun_trigger"":""Curie"",""mechanism"":""homophone"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""high"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Mélanger de l'uranium et du riz dans un même plat ? C'est le sommet de la cuisine fusion !\"""",""pun_trigger"":""cuisine fusion"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""La saveur de cette soupe nucléaire est très prononcée, le bouillon a été bien enrichi.\"""",""pun_trigger"":""enrichi"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Que penses-tu de ces spaghettis radioactifs ? — Isotopes !\"""",""pun_trigger"":""Isotopes"",""mechanism"":""near_homophone"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""high"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Déguster ce menu radioactif a ravi les invités, provoquant une vraie réaction en chaîne d'applaudissements.\"""",""pun_trigger"":""réaction en chaîne"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Le goût de ce métal lourd est fantastique !\"" dit-il en irradiant de joie."",""pun_trigger"":""irradiant"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Mettre du radium dans la sauce au beurre ? Quelle initiative de chef lumineux !\"""",""pun_trigger"":""lumineux"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Ce rôti au tritium est si tendre qu'on savoure sa totale désintégration en bouche.\"""",""pun_trigger"":""désintégration"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""Grâce à son fameux ragoût de césium tempéré, le chef a vraiment brillé au concours.\"""",""pun_trigger"":""brillé"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	12		v15
106	"""This is where I keep my arrows,"" he said quiveringly."				quiveringly	homographic	['trembling', 'shaking', 'vibrating', 'fearful', 'unsteady', 'shuddering']	['arrow', 'case', 'archery', 'container', 'fletching', 'bowman']	en tremblant	['tremblant', 'frissonnant', 'vibrant', 'peureux', 'instable', 'tressaillant']	['carquois', 'étui', 'archerie', 'récipient', 'empennage', 'archer']				[]	0	"[{""french"":""\""Je n'ai pas peur de tes flèches,\"" lui dit calmement son adversaire, le visage parfaitement impassible."",""pun_trigger"":""impassible"",""mechanism"":""near_homophone"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""\""C'est dans cet étui que tu vas ranger tes flèches ?\"" \""Oui, car... quoi d'autre ?\"" balbutia l'archer tremblant."",""pun_trigger"":""car... quoi"",""mechanism"":""near_homophone"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
107	"""This looks like the fruit of the blackthorn,"" he said slowly."				blackthorn	homographic	['sloe', 'shrub', 'berry', 'drupe', 'prunus', 'botany']	['dark', 'spike', 'spine', 'prickle', 'shadow', 'sharp']	prunellier	['prunelle', 'arbuste', 'baie', 'drupe', 'prunus', 'botanique']	['sombre', 'pointe', 'épine', 'piquant', 'ombre', 'tranchant']				[]	0	"[{""french"":""Je surveille mon jeune buisson d'épine noire comme la prunelle de mes yeux."",""pun_trigger"":""prunelle"",""mechanism"":""polysemy"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Abattre ce vieux prunellier complètement mort m’a finalement retiré une fière épine du pied."",""pun_trigger"":""épine"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
108	"""This movie will be very popular,"" he projected."				projected	homographic	['predict', 'forecast', 'estimate', 'extrapolate', 'anticipate']	['screen', 'lens', 'light', 'display', 'film', 'beam']	projeté	['prédire', 'prévoir', 'estimer', 'extrapoler', 'anticiper']	['écran', 'lentille', 'lumière', 'affichage', 'film', 'faisceau']				[]	0	"[{""french"":""Pour deviner l'avenir d'un film, il faut avant tout savoir se projeter."",""pun_trigger"":""se projeter"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Ce devin lit l'avenir des acteurs directement sur leur bobine."",""pun_trigger"":""bobine"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il a prédit avec certitude l'échec du film avant même de le réaliser."",""pun_trigger"":""réaliser"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le prophète l'avait bien dit pour ce thriller : ça allait très mal tourner."",""pun_trigger"":""tourner"",""mechanism"":""polysemy"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le projectionniste devine toujours les pannes de sa machine grâce à un voyant."",""pun_trigger"":""voyant"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""La voyante d'Hollywood ne lit pas la main, elle lit dans les lignes de la pellicule."",""pun_trigger"":""lignes de la pellicule"",""mechanism"":""compensation"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Pour anticiper sa science-fiction, ce réalisateur tire toujours des plans sur la comète."",""pun_trigger"":""plans"",""mechanism"":""polysemy"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le prophète est allé"",""pun_trigger"":"""",""mechanism"":""other"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	8		v15
109	"""This salad dressing has too much vinegar,"" he said acidly."				acidly	homographic	['vinegar', 'sour', 'chemical', 'liquid', 'pH', 'tart']	['sarcastic', 'bitter', 'harsh', 'sharp', 'caustic', 'hostile']	acidement	['vinaigre', 'aigre', 'chimique', 'liquide', 'pH', 'acide']	['sarcastique', 'amer', 'dur', 'tranchant', 'caustique', 'hostile']				"[{""left"":""livide"",""right"":""liquide"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8043,""french_naturalness"":0.42,""semantic_surprise"":0.6624,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6292},""export_lane"":""detached_B2_A01_DETACHED""}]"	1	"[{""french"":""« Il y a trop de vinaigre dans cette salade », dit-il avec acidité."",""pun_trigger"":""avec acidité"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""« Ton produit d'entretien décapant est inefficace ! », remarqua-t-elle, caustique."",""pun_trigger"":""caustique"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""L'argumentaire sur la meilleure recette de vinaigrette a très vite tourné au vinaigre."",""pun_trigger"":""tourné au vinaigre"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""En avalant du vinaigre au lieu de son eau, il n'était plus liquide, il était devenu livide !"",""pun_trigger"":""liquide / livide"",""mechanism"":""paronymy"",""strategy"":""retrieval_direct"",""used_affordance_ids"":[1],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""« Ce plat asiatique au citron ne me plaît pas », nota-t-il d'un ton aigre-doux."",""pun_trigger"":""aigre-doux"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""« Le serveur a oublié le sucre dans mon expresso », se plaignit-il amèrement."",""pun_trigger"":""amèrement"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""« Cette sauce manque cruellement de piment », lança-t-elle avec un humour piquant."",""pun_trigger"":""piquant"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Après avoir goûté ma préparation pour la salade, le chef m'a pour le moins bien assaisonné !"",""pun_trigger"":""assaisonné"",""mechanism"":""polysemy"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le chimiste n'a pas du tout apprécié ma blague sur l'acidité, sa réaction fut très basique."",""pun_trigger"":""basique / réaction"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""« Je n'ai mis que de l'huile, pas de vinaigre ! », dit-il, mais je savais qu'il racontait des salades."",""pun_trigger"":""racontait des salades"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Quand on lui a volé son pot de Dijon pour préparer la sauce, la moutarde lui est vite montée au nez."",""pun_trigger"":""la moutarde lui est montée au nez"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le pigeon qui a bu toute la bouteille de vinaigre s'est transformé en un aigre royal."",""pun_trigger"":""aigre royal"",""mechanism"":""near_homophone"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""high"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	12		v15
110	"""This steamroller is amazing,"" he said flatteringly."				flatteringly	homographic	['complimentary', 'praising', 'fawning', 'admiring', 'insincere', 'obsequious']	['leveling', 'smoothing', 'compressing', 'crushing', 'horizontal', 'planar']	flatteur	['complimenteur', 'élogieux', 'servile', 'admiratif', 'insincère', 'obséquieux']	['aplanissant', 'lissant', 'compressant', 'écrasant', 'horizontal', 'planaire']				"[{""left"":""ploc"",""right"":""planque"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8047,""french_naturalness"":0.42,""semantic_surprise"":0.6967,""semantic_domain_similarity"":0.6632,""pun_pivot_usability"":0.42,""overall_score"":0.6018},""export_lane"":""detached_A2_B01_DETACHED""}]"	1	"[{""french"":""« Ce rouleau compresseur est incroyable ! » dit-il en s'aplatissant."",""pun_trigger"":""en s'aplatissant"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il a voulu complimenter le rouleau compresseur, mais ses louanges manquaient singulièrement de relief."",""pun_trigger"":""manquaient de relief"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Pour s'attirer les bonnes grâces du chef de chantier"",""pun_trigger"":"""",""mechanism"":""other"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	3		v15
