id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
1	I want to be cremated as it is my last hope for a smoking hot body.				smoking	homographic	['burning', 'fuming', 'smoldering', 'emitting smoke']	['attractive', 'sexy', 'alluring', 'stunning']	fumant	['brûlant', 'fumant', 'couvant', 'émettant de la fumée']	['attrayant', 'sexy', 'séduisant', 'éblouissant']	smoking	['burning', 'smoking', 'smoldering', 'emitting smoke']	['attractive', 'sexy', 'seductive', 'stunning']
2	To the guy who invented zero, thanks for nothing.				nothing	homographic	['zero', 'null', 'nought', 'nil']	['no gratitude', 'uselessness', 'worthlessness', 'no effort']	rien	['zéro', 'nul', 'néant', 'aucun']	['pas de gratitude', 'inutilité', 'insignifiance', 'aucun effort']	nothing	['zero', 'null', 'nothingness', 'none']	['no gratitude', 'uselessness', 'insignificance', 'no effort']
3	"""(The windbag... speechless. This has got to be a first.)"""				windbag	homographic	['chatterbox', 'gasbag', 'blowhard', 'talkative person']	['sac of air', 'bellows', 'inflated container']	moulin à paroles	['bavard', 'moulin à vent', 'vantard', 'personne volubile']	"[""sac d'air"", 'soufflet', 'récipient gonflé']"	chatterbox	['talkative', 'windmill', 'braggart', 'voluble person']	['windbag', 'bellows', 'inflated container']
4	"""A good [deed] is never lost. Character is [property], it is the noblest of possession."""				deed	homographic	['action', 'act', 'exploit', 'feat', 'achievement']	['legal document', 'contract', 'title', 'instrument', 'conveyance']	acte	['action', 'acte', 'exploit', 'prouesse', 'réussite']	['document juridique', 'contrat', 'titre', 'instrument', 'acte de cession']	act	['action', 'act', 'exploit', 'prowess', 'achievement']	['legal document', 'contract', 'title', 'instrument', 'deed of transfer']
5	"""Am I so round with you as you with me, That like a football you do spurn me thus? You spurn me hence, and he will spurn me hither. If I last in this service, you must case me in leather."""				round	homographic	['plain-spoken', 'direct', 'blunt', 'straightforward']	['spherical', 'circular', 'curved', 'globular']	rond	['franc', 'direct', 'brusque', 'droit']	['sphérique', 'circulaire', 'courbé', 'globulaire']	round	['frank', 'direct', 'abrupt', 'straight']	['spherical', 'circular', 'curved', 'globular']
6	"""Are you drinking again?"" ""No, it's just tea."" ""What kind of tea?"" ""Tea-quila."""				Tea-quila	homophonic	['Tea', 'brew', 'infusion', 'herbal drink']	['Tequila', 'alcohol', 'agave spirit', 'liquor']	Thé-quila	['Thé', 'infusion', 'tisane', 'boisson à base de plantes']	"['Tequila', 'alcool', ""spiritueux d'agave"", 'liqueur']"	Tea-quila	['Tea', 'infusion', 'herbal tea', 'plant-based drink']	['Tequila', 'alcohol', 'agave spirit', 'liquor']
7	"""Before she had this fit"" You never had fits, my dear, I think? Then the words don't fit you."				fit	homographic	['convulsion', 'seizure', 'outburst', 'paroxysm']	['suit', 'match', 'apply', 'be appropriate']	accès	['convulsion', 'crise', 'emportement', 'paroxysme']	['convenir', 'correspondre', 'appliquer', 'être approprié']	access	['convulsion', 'seizure', 'outburst', 'paroxysm']	['suit', 'correspond', 'apply', 'be appropriate']
8	"""Dad, I'm hungry."" Hello, Hungry. I'm Dad."				Hungry	homographic	['famished', 'starving', 'peckish', 'ravenous']	['personal name', 'proper noun', 'identity', 'appellation']	Faim	['affamé', 'affamée', 'avoir la dalle', 'avoir plus que faim']	['nom personnel', 'nom propre', 'identité', 'appellation']	Hunger	['hungry', 'starving', 'famished', 'ravenous']	['personal name', 'proper name', 'identity', 'appellation']
9	"""Dost thou hear?"" ""Your tale, sir, would cure deafness."""				tale	homophonic	['story', 'narrative', 'account', 'fable', 'tale']	['tail', 'posterior', 'hindmost part', 'appendage']	conte/queue	['histoire', 'récit', 'compte rendu', 'fable', 'conte']	['queue', 'postérieur', 'partie arrière', 'appendice']	tale/tail	['story', 'narrative', 'account', 'fable', 'tale']	['tail', 'backside', 'rear part', 'appendage']
10	"""I think it be thine, indeed; for thou liest in't"" ""You lie out on't, sir, and therefore 'tis not yours. For my part, I do not 'lie' in't, and yet it is mine."" Thou dost 'lie' in't, to be in't and say it is thine. ""'Tis for the dead, not for the quick; therefore thou liest."" ""'Tis a 'quick' lie, sir; 'twill away again from me to you."""				lie	homographic	['recline', 'rest', 'be situated', 'occupy a space']	['deceive', 'fib', 'prevaricate', 'state a falsehood']	mentir	"[""s'allonger"", 'se reposer', 'être situé', 'occuper un espace']"	['tromper', 'faire un bobard', 'prévariquer', 'énoncer une fausseté']	lie	['to lie down', 'to rest', 'to be situated', 'to occupy a space']	['to deceive', 'to tell a fib', 'to prevaricate', 'to state a falsehood']
