id_en	en	fr	text_fr	text_clean
en_1007	Save the whales, spouted Tom.	"Il faut sauver les baleines", jeta Tom avant de se tasser.	"Il faut sauver les baleines", jeta Tom avant de se tasser.	"Il faut sauver les baleines", jeta Tom avant de se tasser.
en_1007	Save the whales, spouted Tom.	"Il faut sauver les baleines", interjeta Tom.	"Il faut sauver les baleines", interjeta Tom.	"Il faut sauver les baleines", interjeta Tom.
en_1007	Save the whales, spouted Tom.	Moi je sauve les baleines, Tom s’en venta.	Moi je sauve les baleines, Tom s’en venta.	Moi je sauve les baleines, Tom s’en venta.
en_1007	Save the whales, spouted Tom.	Louis évent-a le projet de sauvetage des baleines.	Louis évent-a le projet de sauvetage des baleines.	Louis évent-a le projet de sauvetage des baleines.
en_1007	Save the whales, spouted Tom.	"Sauvez les baleines", proclama Tom à tout évent.	"Sauvez les baleines", proclama Tom à tout évent.	"Sauvez les baleines", proclama Tom à tout évent.
en_1007	Save the whales, spouted Tom.	"Sauvez les baleines, cracha Toto, Cétacé!"	"Sauvez les baleines, cracha Toto, Cétacé!"	"Sauvez les baleines, cracha Toto, Cétacé!"
en_1015	If a town's people have low IQs is the population dense?	Si un citadin a un faible QI, est-ce pour autant que la population niais pas pour quelque chose ?	Si un citadin a un faible QI, est-ce pour autant que la population niais pas pour quelque chose ?	Si un citadin a un faible QI, est-ce pour autant que la population niais pas pour quelque chose ?
en_1015	If a town's people have low IQs is the population dense?	Les habitants de Douai ont-ils un QI élevé ?	Les habitants de Douai ont-ils un QI élevé ?	Les habitants de Douai ont-ils un QI élevé ?
en_1015	If a town's people have low IQs is the population dense?	Si on fait la somme des QI d'une population, est-ce que leur intelligence devient moyenne?	Si on fait la somme des QI d'une population, est-ce que leur intelligence devient moyenne?	Si on fait la somme des QI d'une population, est-ce que leur intelligence devient moyenne?
en_1015	If a town's people have low IQs is the population dense?	Si tous les habitants d’une ville sont bouchés, est-ce que ça fait plus de bouchons ?	Si tous les habitants d’une ville sont bouchés, est-ce que ça fait plus de bouchons ?	Si tous les habitants d’une ville sont bouchés, est-ce que ça fait plus de bouchons ?
en_102	A skier retired because he was going downhill.	Le skieur est parti à la retraite. Il n'arrivait pas à remonter la pente.	Le skieur est parti à la retraite. Il n'arrivait pas à remonter la pente.	Le skieur est parti à la retraite. Il n'arrivait pas à remonter la pente.
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	Ma femme écoute du hip hop quand elle cuisine des carottes ou du gruyère. Je n'aime pas ça mais elle me dit que ça l'aide à râper.	Ma femme écoute du hip hop quand elle cuisine des carottes ou du gruyère. Je n'aime pas ça mais elle me dit que ça l'aide à râper.	Ma femme écoute du hip hop quand elle cuisine des carottes ou du gruyère. Je n'aime pas ça mais elle me dit que ça l'aide à râper.
en_1031	Staying at the trendy, new hotel was the inn thing to do.	Je rêvais de dormir dans cet hôtel.	Je rêvais de dormir dans cet hôtel.	Je rêvais de dormir dans cet hôtel.
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said ''It must have been the parkay.''	En cuisinant, j'ai fait tomber un bâton de margarine sur le carrelage en bois, et quand ma voisine a glissé et est tombée, j'ai dit : "Ça doit être le parkay".	En cuisinant, j'ai fait tomber un bâton de margarine sur le carrelage en bois, et quand ma voisine a glissé et est tombée, j'ai dit : "Ça doit être le parkay".	En cuisinant, j'ai fait tomber un bâton de margarine sur le carrelage en bois, et quand ma voisine a glissé et est tombée, j'ai dit : "Ça doit être le parkay".
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said ''It must have been the parkay.''	Quand j'ai fait du pain, j'ai mis un morceau de margarine sur le plancher. Quand mon voisin est tombé, j'ai dit: "Il y a eu une parkay".	Quand j'ai fait du pain, j'ai mis un morceau de margarine sur le plancher. Quand mon voisin est tombé, j'ai dit: "Il y a eu une parkay".	Quand j'ai fait du pain, j'ai mis un morceau de margarine sur le plancher. Quand mon voisin est tombé, j'ai dit: "Il y a eu une parkay".
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	La belle attendait ses amants dans le clocher de l'église, mais le temps passait et aucun ne venait. Elle se disait qu'elle aurait dû savoir si quelque chose clochait.	La belle attendait ses amants dans le clocher de l'église, mais le temps passait et aucun ne venait. Elle se disait qu'elle aurait dû savoir si quelque chose clochait.	La belle attendait ses amants dans le clocher de l'église, mais le temps passait et aucun ne venait. Elle se disait qu'elle aurait dû savoir si quelque chose clochait.
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	Pablo et José attendaient que Pilar allume le grand Feu avant de la rejoindre à l'église, mais d'aucun ne réagit à la chaleur ne sachant à qui était destiné la femme	Pablo et José attendaient que Pilar allume le grand Feu avant de la rejoindre à l'église, mais d'aucun ne réagit à la chaleur ne sachant à qui était destiné la femme	Pablo et José attendaient que Pilar allume le grand Feu avant de la rejoindre à l'église, mais d'aucun ne réagit à la chaleur ne sachant à qui était destiné la femme
