id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count	candidate_json	candidate_count	generation_error	generator_version
1	I want to be cremated as it is my last hope for a smoking hot body.				smoking hot	homographic	['burning', 'charred', 'vapor', 'ash', 'fire', 'incinerate']	['attractive', 'beautiful', 'stunning', 'sexy', 'gorgeous', 'handsome']	fumant	['brûlant', 'carbonisé', 'vapeur', 'cendre', 'feu', 'incinérer']	['attrayant', 'beau', 'renversant', 'sexy', 'magnifique', 'séduisant']				"[{""left"":""vapeur"",""right"":""paveur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.8119,""french_naturalness"":0.54,""semantic_surprise"":0.6265,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.54,""overall_score"":0.6777},""export_lane"":""close_A_to_other""}]"	1	"[{""french"":""Je choisis l'incinération, c'est ma dernière chance d'avoir un corps vraiment craquant."",""pun_trigger"":""craquant"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Je me fais incinérer. C'est mon ultime espoir de finir avec un corps ultra chaud."",""pun_trigger"":""chaud"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
2	To the guy who invented zero, thanks for nothing.				nothing	homographic	['zero', 'cipher', 'digit', 'naught', 'null', 'void']	['useless', 'worthless', 'trivial', 'insignificant', 'empty', 'trifle']	rien	['zéro', 'chiffre', 'néant', 'nul', 'vide', 'aucun']	['inutile', 'sans-valeur', 'trivial', 'insignifiant', 'creux', 'babiole']				[]	0	"[{""french"":""Quand on a remercié l'inventeur du zéro, il a tout simplement répondu : « De rien ! »"",""pun_trigger"":""De rien"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il paraît que l'inventeur du zéro n'était pas un génie de l'innovation. En tout cas, son concept est nul."",""pun_trigger"":""nul"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Félicitations à l'inventeur du zéro, qui a magnifiquement réussi sa carrière alors qu'il est littéralement parti de rien."",""pun_trigger"":""parti de rien"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""L'entreprise qui fabriquait en série les premiers zéros a vite fait faillite, ses résultats étaient nuls."",""pun_trigger"":""nuls"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""À l'inventeur du zéro : tes détracteurs disent que tu n'as rien fait de ta vie, mais moi je dis que ça compte."",""pun_trigger"":""ça compte"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Franchement, le graphiste qui a dessiné le tout premier chiffre zéro a vraiment tourné en rond pour rien."",""pun_trigger"":""tourné en rond / pour rien"",""mechanism"":""idiom"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Les mathématiciens qui refusaient d'adopter le zéro comptaient finalement pour des prunes."",""pun_trigger"":""compter pour des prunes"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""La conférence de trois heures sur la découverte du zéro n'a intéressé personne, c'était vraiment le grand vide."",""pun_trigger"":""le grand vide"",""mechanism"":""idiom"",""strategy"":""retrieval_loose"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Au début, la communauté scientifique l'a rejeté : pour eux, l'inventeur du zéro ne comptait pas."",""pun_trigger"":""ne comptait pas"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Après la découverte des chiffres romains, l'invention du zéro a enfin réussi à remettre les compteurs à zéro."",""pun_trigger"":""remettre les compteurs à zéro"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""On a demandé à l'inventeur du zéro comment il avait eu cette idée ; il a avoué qu'il a juste pensé à faire le vide."",""pun_trigger"":""faire le vide"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Quand j'ai contredit l'inventeur du zéro dans un débat, il a eu le don de réduire tous mes arguments à néant."",""pun_trigger"":""réduire à néant"",""mechanism"":""idiom"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	12		v15
3	"""(The windbag... speechless. This has got to be a first.)"""				first	homographic	['original', 'initial', 'primary', 'earliest', 'starting']	['occurrence', 'unprecedented', 'novelty', 'milestone', 'rarity', 'event']	premier	['original', 'initial', 'primaire', 'précoce', 'départ']	['occurrence', 'inédit', 'nouveauté', 'jalon', 'rareté', 'événement']				[]	0	"[{""french"":""Ce grand bavard n'a plus rien à dire. Son dernier discours est devenu littéralement in-édit !"",""pun_trigger"":""inédit"",""mechanism"":""morphological"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""L'acteur le plus bavard de la troupe a oublié tout son texte. Pour un tel parleur, cette panne sur scène est une sacrée première !"",""pun_trigger"":""première"",""mechanism"":""polysemy"",""strategy"":""retrieval_direct"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Face au juge, l'incorrigible bavard est resté coi. Pour la première fois, il n'a pas usé nos oreilles avec ses éternels 'quoi ?'."",""pun_trigger"":"""",""mechanism"":""other"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	3		v15
4	"""A good [deed] is never lost. Character is [property], it is the noblest of possession."""				deed	homographic	['action', 'act', 'execution', 'feat', 'effort', 'performance']	['document', 'contract', 'title', 'instrument', 'record', 'conveyance']	acte	['action', 'geste', 'exécution', 'prouesse', 'effort', 'performance']	['document', 'contrat', 'titre', 'instrument', 'registre', 'cession']				"[{""left"":""action"",""right"":""axons"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":5,""scores"":{""phonetic_match"":0.8303,""french_naturalness"":0.54,""semantic_surprise"":0.6367,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.504,""overall_score"":0.6753},""export_lane"":""close_A_to_other""}]"	1	"[{""french"":""Un bon acte n'est jamais perdu, surtout s'il est paraphé devant un notaire."",""pun_trigger"":""acte"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""La gentillesse est un excellent investissement : une bonne action finit toujours par rapporter de gros dividendes."",""pun_trigger"":""action"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""L'assemblée des agents immobiliers a fait une très belle action aujourd'hui, c'était une excellente cession."",""pun_trigger"":""cession"",""mechanism"":""homophone"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Comment les neurones réussissent-ils à accomplir de si bonnes actions ? Grâce à de très bons axones."",""pun_trigger"":""axones"",""mechanism"":""near_homophone"",""strategy"":""retrieval_direct"",""used_affordance_ids"":[1],""semantic_relation"":""same_field"",""risk"":""high"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le bourreau municipal de Paris était très fier de sa bonne action quotidienne : son exécution était absolument sans faille."",""pun_trigger"":""exécution"",""mechanism"":""polysemy"",""strategy"":""retrieval_loose"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il a fait un grand geste de bravoure, mais pour être honnête avec vous, c'était davantage pour le titre qu'autre chose."",""pun_trigger"":""titre"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Avoir un très bon caractère est une merveilleuse propriété, sauf le mois où l'on vous réclame la taxe foncière."",""pun_trigger"":""propriété"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Mon oncle tueur à gages ne commet jamais de mauvaises actions ou de bavures : il honore toujours fidèlement son contrat."",""pun_trigger"":""contrat"",""mechanism"":""polysemy"",""strategy"":""retrieval_loose"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""En bourse ou en famille, le bon caractère restera toujours notre meilleure valeur, même si une bonne action se revend plus vite."",""pun_trigger"":""action"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Certains croient au karma, d'autres au livret A : quoi qu'il arrive, une bonne action finit inéluctablement sur un registre."",""pun_trigger"":""registre"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Il m'a fait une formidable promesse de vente, mais je vous avoue que le geste était purement symbolique."",""pun_trigger"":""geste"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Faire une bonne action est un véritable don de soi... et faire un acte notarié est un véritable don de toit."",""pun_trigger"":""don"",""mechanism"":""paronymy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""high"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	12		v15
5	"""Am I so round with you as you with me, That like a football you do spurn me thus? You spurn me hence, and he will spurn me hither. If I last in this service, you must case me in leather."""				round	homographic	['candid', 'blunt', 'direct', 'honest', 'plain', 'forthright']	['circular', 'spherical', 'curved', 'globular', 'rotund', 'spherical']	rond	['franc', 'direct', 'honnête', 'brusque', 'simple', 'droit']	['circulaire', 'sphérique', 'courbé', 'globulaire', 'rotond', 'sphéroïde']				[]	0	"[{""french"":""Vous me prenez pour un ballon de foot ? Franchement, c'est gonflé !"",""pun_trigger"":""gonflé"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""J'avais beau essayer d'arrondir les angles avec vous, vous finissez toujours par me traiter en ballon !"",""pun_trigger"":""arrondir les angles"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Vous me percutez sans cesse comme un ballon ? Décidément, plus rien ne tourne rond entre nous."",""pun_trigger"":""tourne rond"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	3		v15
6	"""Are you drinking again?"" ""No, it's just tea."" ""What kind of tea?"" ""Tea-quila."""				tea-quila	homophonic	['beverage', 'leaf', 'steep', 'kettle', 'herbal', 'infusion']	['alcohol', 'agave', 'spirit', 'shot', 'liquor', 'mexico']	thé-quila	['boisson', 'feuille', 'infuser', 'bouilloire', 'herbe', 'infusion']	['alcool', 'agave', 'spiritueux', 'verre', 'liqueur', 'mexique']				"[{""left"":""verre"",""right"":""vert"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.94,""overall_score"":0.9106},""export_lane"":""close_B_to_other""},{""left"":""verre"",""right"":""vers"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.907,""overall_score"":0.902},""export_lane"":""close_B_to_other""},{""left"":""achille"",""right"":""agile"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8291,""french_naturalness"":0.42,""semantic_surprise"":0.7175,""semantic_domain_similarity"":0.6296,""pun_pivot_usability"":0.45,""overall_score"":0.6169},""export_lane"":""detached_A2_B01_DETACHED""},{""left"":""asile"",""right"":""agile"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.816,""french_naturalness"":0.42,""semantic_surprise"":0.7103,""semantic_domain_similarity"":0.6296,""pun_pivot_usability"":0.42,""overall_score"":0.6041},""export_lane"":""detached_A2_B01_DETACHED""},{""left"":""ergs"",""right"":""herbe"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8063,""french_naturalness"":0.42,""semantic_surprise"":0.6635,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.63},""export_lane"":""detached_B2_A01_DETACHED""}]"	5	"[{""french"":""\""Tu bois encore ?\"" \""Non, je prends juste un thé.\"" \""Quel genre de thé ?\"" \""Un thé-quila.\"""",""pun_trigger"":""thé-quila / tequila"",""mechanism"":""homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Quel alcool frappe toujours à la porte dans le noir ? La T'es-qui-là ! (Tequila)"",""pun_trigger"":""t'es qui là / tequila"",""mechanism"":""homophone"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
7	"""Before she had this fit"" You never had fits, my dear, I think? Then the words don't fit you."				fit	homographic	['seizure', 'convulsion', 'paroxysm', 'attack', 'outbreak', 'agitation']	['suit', 'match', 'appropriate', 'adapted', 'proper', 'tailored']	crise	['convulsion', 'spasme', 'paroxysme', 'attaque', 'accès', 'agitation']	['correspondre', 'convenir', 'approprié', 'adapté', 'adéquat', 'ajusté']				[]	0	"[{""french"":""Elle est tombée dans les pommes parce que sa robe tombait mal."",""pun_trigger"":""tomber"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Piquer une crise en cabine d'essayage ? Franchement, ma chère, ce comportement ne vous va pas du tout."",""pun_trigger"":""aller"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Elle a piqué une énorme crise quand la couturière a refusé de lui prêter ses aiguilles."",""pun_trigger"":""piquer"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Faire un tel scandale parce que le pantalon est trop grand, c'est vraiment un problème de taille !"",""pun_trigger"":""de taille"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Elle a craqué nerveusement au moment exact où la couture de son pantalon a craqué."",""pun_trigger"":""craquer"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	5		v15
8	"""Dad, I'm hungry."" Hello, Hungry. I'm Dad."				Hungry	homographic	['starving', 'appetite', 'empty', 'food', 'eating', 'famished']	['name', 'proper', 'noun', 'identity', 'title', 'appellation']	Affamé	['affamé', 'appétit', 'vide', 'nourriture', 'manger', 'famine']	['nom', 'propre', 'substantif', 'identité', 'titre', 'appellation']				[]	0	"[{""french"":""- Papa, je suis affamé ! - Enchanté Affamé, moi c'est Papa."",""pun_trigger"":""affamé"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""- Papa, j'ai un petit creux... - Parfait, j'avais justement besoin d'aide pour reboucher un trou dans le mur."",""pun_trigger"":""petit creux"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
9	"""Dost thou hear?"" ""Your tale, sir, would cure deafness."""				deafness	homographic	['ear', 'auditory', 'hearing', 'sound', 'silence', 'sensory']	['boredom', 'attention', 'dullness', 'tedious', 'monotony', 'disinterest']	surdité	['oreille', 'auditif', 'ouïe', 'son', 'silence', 'sensoriel']	['ennui', 'attention', 'lourdeur', 'fastidieux', 'monotonie', 'désintérêt']				"[{""left"":""enduis"",""right"":""ennui"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8031,""french_naturalness"":0.42,""semantic_surprise"":0.6617,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6288},""export_lane"":""detached_A2_B01_DETACHED""}]"	1	"[{""french"":""— Tu m'entends ? — Ton histoire est si assommante qu'elle transforme mon oreille en oreiller."",""pun_trigger"":""oreille/oreiller"",""mechanism"":""paronymy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""— Mon histoire ne te passionne pas ? — Mais si, j'étais captivé, ton ronflement est sûrement un malentendu !"",""pun_trigger"":""malentendu"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	2		v15
10	"""I think it be thine, indeed; for thou liest in't"" ""You lie out on't, sir, and therefore 'tis not yours. For my part, I do not 'lie' in't, and yet it is mine."" Thou dost 'lie' in't, to be in't and say it is thine. ""'Tis for the dead, not for the quick; therefore thou liest."" ""'Tis a 'quick' lie, sir; 'twill away again from me to you."""				lie	homographic	['recline', 'rest', 'situate', 'occupy', 'posture', 'dwell']	['deceive', 'falsify', 'mislead', 'fib', 'untruth', 'fabricate']	mentir	['reposer', 'gésir', 'situer', 'occuper', 'posture', 'demeurer']	['tromper', 'falsifier', 'leurrer', 'affabuler', 'mensonge', 'fabriquer']				[]	0	"[{""french"":""Vous dites que cette place est vôtre ? Vos paroles sonnent fausses au bord de cette fosse !"",""pun_trigger"":""fausses / fosse"",""mechanism"":""homophone"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Ne crois pas toutes les superstitions des cimetières, ce ne sont pour la plupart que des allégations de fosse commune."",""pun_trigger"":""fosse commune / fausse commune"",""mechanism"":""homophone"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""},{""french"":""Le fossoyeur ne peut être qu'un fieffé menteur : son métier consiste littéralement à enterrer la vérité jour après jour."",""pun_trigger"":""enterrer la vérité"",""mechanism"":""other"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""medium"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15""}]"	3		v15
