id_en	shuffled_candidates_json
1	"[{""id"":26758,""pun"":""Je veux me faire incinérer, c'est mon dernier espoir d'avoir enfin un regard de braise."",""run"":""gemini_pro_single""}]"
2	"[{""id"":15068,""pun"":""L'inventeur du zéro a beaucoup de mérite : il est vraiment parti de rien."",""run"":""gemini_pro_single""}]"
3	"[{""id"":24580,""pun"":""Ce comédien, d'ordinaire vrai moulin à paroles, est resté sans voix au lever du rideau : c'était une véritable première !"",""run"":""gemini_pro_single""}]"
4	"[{""id"":60552,""pun"":""Le caractère est la plus noble des propriétés, dont le meilleur titre reste l'acte."",""run"":""gemini_pro_single""}]"
5	"[{""id"":43157,""pun"":""Suis-je si franc et rond avec vous, que vous me preniez pour un ballon de foot et me bottiez de la sorte ?"",""run"":""gemini_pro_single""}]"
6	"[{""id"":85816,""pun"":""— Tu bois encore de l'alcool ? — Mais non, c'est juste du thé. — Quel genre de thé ? — Du thé-quila."",""run"":""gemini_pro_single""}]"
7	"[{""id"":10360,""pun"":""« Avant qu'elle ne perde toute mesure... » Vous ne perdez jamais la mesure, ma chère ? Alors ces mots ne sont pas taillés sur mesure pour vous."",""run"":""gemini_pro_single""}]"
8	"[{""id"":11335,""pun"":""— Papa, je suis affamé. — Enchanté Affamé, moi c'est papa."",""run"":""gemini_pro_single""}]"
9	"[{""id"":42291,""pun"":""\""M'entendez-vous ?\"" \""La seule chose que j'entende, monsieur, c'est l'ennui qui sourd de votre récit !\"""",""run"":""gemini_pro_single""}]"
10	"[{""id"":19769,""pun"":""Tu affirmes que cette fosse est à toi ? Voilà une bien fausse déclaration, puisque tu es encore bien vivant pour y reposer !"",""run"":""gemini_pro_single""}]"
11	"[{""id"":56948,""pun"":""— Je t'appelle plus tard. — Ne m'appelle pas Plus tard, appelle-moi Papa !"",""run"":""gemini_pro_single""}]"
12	"[{""id"":71792,""pun"":""Si ma peau était du parchemin et tes coups de l'encre, ta propre écriture traduirait tous mes maux."",""run"":""gemini_pro_single""}]"
13	"[{""id"":91275,""pun"":""Mettons les choses au clair, vieille peau ! Euh... Madame Vieille-Peau !"",""run"":""gemini_pro_single""}]"
14	"[{""id"":55584,""pun"":""Le corps est avec le roi, mais le roi n'est pas avec le corps. Le roi est une chose... de rien du tout."",""run"":""gemini_pro_single""}]"
15	"[{""id"":28549,""pun"":""Où est Polonius ? À souper. Non pas là où il lève le verre, mais là où il nourrit les vers."",""run"":""gemini_pro_single""}]"
16	"[{""id"":21382,""pun"":""\""Orphée et Eurydice\"", c'est un spectacle d'enfer !"",""run"":""gemini_pro_single""}]"
17	"[{""id"":53758,""pun"":""— Alors, tu fais quoi dans la vie ? — Rien d'extraordinaire, je prends juste les commandes. — D'accord, mais c'est quoi ton métier ? — Serveur."",""run"":""gemini_pro_single""}]"
18	"[{""id"":95763,""pun"":""J'ai dix-« neuf » ans. Tu vois bien que je suis encore tout neuf !"",""run"":""gemini_pro_single""}]"
19	"[{""id"":28062,""pun"":""« Attends ! Je suis un arbre qui parle ! » « Épargne-moi ta langue de bois. »"",""run"":""gemini_pro_single""}]"
20	"[{""id"":65731,""pun"":""— Vous faites quoi aujourd'hui ? — Un pote et moi, on va s'acheter des lunettes. — Et après ? — Après, on verra."",""run"":""gemini_pro_single""}]"
21	"[{""id"":72717,""pun"":""Quelle est la différence entre un piano, un thon et de la glu ? Pour le piano et le thon je n'en sais rien, mais la glu, c'est une vraie colle !"",""run"":""gemini_pro_single""}]"
22	"[{""id"":36719,""pun"":""Vous me réclamez vos mille marks ? Je n'ai sur le crâne que les marques de vos coups !"",""run"":""gemini_pro_single""}]"
23	"[{""id"":15277,""pun"":""Elle m'a vu et a fui le nid comme l'oiseau coupable qu'elle est : un véritable délit de vol."",""run"":""gemini_pro_single""}]"
24	"[{""id"":72193,""pun"":""« », dit-il en laissant un blanc."",""run"":""gemini_pro_single""}]"
25	"[{""id"":75939,""pun"":""« 3,14159265 », murmura-t-il pieusement."",""run"":""gemini_pro_single""}]"
26	"[{""id"":16756,""pun"":""« Un chien m'a mordu », dit-il rageusement."",""run"":""gemini_pro_single""}]"
27	"[{""id"":97372,""pun"":""« De la poudre d'ange ? Moi ? Je n'y touche jamais ! » renifla-t-il."",""run"":""gemini_pro_single""}]"
28	"[{""id"":19389,""pun"":""« Êtes-vous homosexuel ? » demanda-t-il gaiement."",""run"":""gemini_pro_single""}]"
29	"[{""id"":80451,""pun"":""Le trouvant aussi majestueux que le roi des forêts, elle sentit son cœur s'emballer et murmura : « Viens, cerf-moi fort dans tes bras. »"",""run"":""gemini_pro_single""}]"
