id_en	text_clean	manual_location	manual_type	manual_alternative
en_1007	Save the whales, he spouted.	spouted	homographic	spouted
en_1015	If a town's people have low IQs is the population dense?	dense	homographic	dense
en_102	A skier retired because he was going downhill.	downhill	homographic	downhill
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	greater
en_1031	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	in
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	parquet
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	bell
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	flatly
en_1059	The whistling fisherman was always out of tuna.	tuna	homophonic	tune
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	missing
en_108	Old bakers never die, they just stop making lots of dough.	dough	homographic	dough
en_1084	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	flu
en_1085	After he bought a mirror he became very reflective.	reflective	homographic	reflective
en_110	This food tastes of plutonium, he said glowingly.	glowingly	homographic	glowingly
en_1106	Old typists never die, they just lose their touch.	touch	homographic	touch
en_1107	This salad dressing has too much vinegar, he said acidly.	acidly	homophonic	acid
en_111	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	hourly
en_1120	Old politicians never die, they just harangue in there.	harangue	homophonic	hang
en_1121	Some people find fire drills quite Alarming.	alarming	homophonic	alarm
en_114	Old florists never die, they just make alternative arrangements.	arrangements	homographic	arrangements
en_1144	Get the stick, Rover! he called fetchingly.	fetchingly	homophonic	fetch
en_1146	The fire chief was always asked burning questions.	burning	homographic	burning
en_1157	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	sweat
en_116	The astronomer made a claim about a well-known star, but it wasn't sirius.	sirius	homophonic	serious
en_1160	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.	beaux	homophonic	bow
en_1169	Old professors never die, they just lose their class.	class	homographic	class
en_1171	Pasteur was boiling about not being invited.	boiling	homographic	boiling
en_1176	Sometimes a pencil sharpener is needed in order to make a good point.	point	homographic	point
en_1178	Cooks have a lot of spice in their lives.	spice	homographic	spice
en_1181	Old tree surgeons never die, they are just uprooted.	uprooted	homographic	uprooted
en_1184	The trucker explained that he was early because he had had no breaks.	breaks	homophonic	brakes
en_1195	Old plumbers never die, they just pipe down.	pipe	homographic	pipe
en_1204	The cat in northern Scandinavia always had a lapp to sit on.	lapp	homophonic	lap
en_1210	The groundskeeper at a large cemetery was important because he had 5000 people under him.	under	homographic	under
en_1211	A little boy called his father who made balloons 'pop'.	pop	homographic	pop
en_1223	Neuter your dog-an ounce of prevention is better than a pound of curs.	curs	homophonic	cures
en_1227	He recommended the restaurant to me, and said he had no reservations.	reservations	homographic	reservations
en_1231	The mortician was late for dinner because he was buried in his work.	buried	homographic	buried
en_1232	Old enumerators never die, they just lose their census	census	homophonic	senses
en_1233	The class took a field trip to a meat processing plant, but what they saw was just offal.	offal	homophonic	awful
en_1248	Old pilots never die, they just get more turbulent.	turbulent	homographic	turbulent
en_1249	Use your own toothbrush! he bristled.	bristled	homographic	bristled
en_1252	My wife really likes to make pottery, but to me it's just kiln time.	kiln	homophonic	killing
en_1254	I won't tell you anything about my salivary glands, he said secretively.	secretively	homophonic	secrete
en_1256	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	degree	homographic	degree
en_1262	People have a happy time vacationing in Ireland because they are walking on Eire.	eire	homophonic	air
en_1269	Who's your favorite operatic tenor? he asked placidly.	placidly	homophonic	placido
en_1270	The salt said 'hi' to the pepper. It was seasonings greetings.	seasonings	homophonic	seasons
en_1271	The book about Teflon contained no frictional characters.	frictional	homophonic	fictional
en_1273	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	opposed	homographic	opposed
en_1279	If you spend too much time in the coffee shop you'll be latte for work.	latte	homophonic	late
