id_en	pun_word	pun_word_translated	alternative_word	alternative_translated	target_lang	polygon_level	translation_error	meaning1_used	meaning2_used	translation_strategy
en_6789	catch	confiscation	catch	prise	fr	4		catch | see | gimmick | haul | match | stop	catch | gimmick | haul | match | stop | see	low_polygon_4
en_3677	pin	pin	pin	broche	fr	4		pin | brooch | couldn't | fall | peg | personalidentificationnumber | pinnumber | stick	pin | fall | peg | personalidentificationnumber | pinnumber | stick | brooch | couldn't	low_polygon_4
en_4418	presence	mien	presence	présence	fr	4		presence | interested | front | bearing | comportment | mien	presence | front | bearing | comportment | mien | interested	low_polygon_4
en_4428	hopefully	espérons	hopeful	Espérons	fr	4		hopefully | big | diamond | said	hopeful | aspirant | aspirer | wannabe | wannabee | bright | big | diamond | said	low_polygon_4
en_6161	cougher	tousseur	cougher	tousseurs	fr	4		cougher | made | couldn't | refuse	cougher | made | couldn't | refuse	low_polygon_4
en_2829	deadwood	bois mort	deadwood	bois mort	fr	4		deadwood | got | rid | fifthwheel	deadwood | fifthwheel | got | rid	low_polygon_4
en_7208	soaked	trempé	soaked	trempé	fr	4		soaked | display | really | soak | overcharge | surcharge | gazump | fleece	soaked | soak | overcharge | surcharge | gazump | fleece | display | really	low_polygon_4
en_1494	heartless	sans cœur	hartless	sans lard	fr	4		heartless | some | cardiologists | hardhearted	hartless | some | cardiologists | heartless	low_polygon_4
en_1370	reacting	refuse	rocketing	fusées	fr	4		reacting | die | stop | react | respond | oppose	rocketing | rocket | skyrocket | old | chemists | never | die	low_polygon_4
en_4921	too	as	two	deux	fr	4		too | noun | possessive | excessively | overly | toafault | besides | also	two | deuce | noun | verb | dating | broke	low_polygon_4
en_2630	surprise	surprises	surprise	surprise	fr	4		surprise | discovered | element | surprisal | storm	surprise | surprisal | storm | discovered | element	low_polygon_4
en_4113	fowl	de volailles	foul	faute	fr	4		fowl | chicken | can | produce | mouth | domesticfowl | poultry | bird	foul | pollute | contaminate | clog | chokeoff | clogup | uncle | developed | strange | vulgar	low_polygon_4
en_1282	galleon	galléon	galyean	gallien	fr	4		galleon | miles	galyean | ancient | times | seagoing | vessels	low_polygon_4
en_5205	madman	loco	madmen	les fous	fr	4		madman | poe | raven | lunatic | maniac	madmen | lunatic | madman | maniac | edgar | allan | poe | raven	low_polygon_4
en_3799	summarily	contents	simerly	simultanément	fr	4		summarily | mathematician | added	simerly | i'm | mathematician | added | summarily	low_polygon_4
en_4025	sail	voyage	sale	vente	fr	4		sail | boats | often | canvas | canvass | sheet | cruise | sweep	sale | cut-ratesale | salesevent | salesagreement | pleasure | boats | often | sail	low_polygon_4
en_5620	leek	poireau	leak	fuite	fr	4		leek | couldn't | get | without | getting | scallion | alliumporrum	leak | wetting | makingwater | passingwater | escape | leakage | garden | hose | damaged | yesterday	low_polygon_4
en_156	nation	nation	nation	pays	fr	4		nation | sweeping | state | country | land | commonwealth | respublica	nation | state | country | land | commonwealth | respublica | sweeping	low_polygon_4
en_3291	rapidly	rapidement	raptly	raptly	fr	4		rapidly | whitewater | rafting | asked | quickly | speedily | chop-chop | apace	raptly | ever | whitewater | rafting | asked	low_polygon_4
en_8296	whey	lactosérum	waye	Voie	fr	4		whey | lose | milkwhey	waye | old | cheese | makers | never	low_polygon_4
en_4010	steal	change	steel	acier	fr	4		steal | never | die | away | bargain | buy | slip	steel | sword | blade | brand | nerve | old | plagiarists | never | die	low_polygon_4
en_7125	marooned	marbrée	mourned	deuil	fr	4		marooned | lagoon | left | survivors | maroon | strand | isolated | stranded	mourned | mourn | boating | accident | between | yacht	low_polygon_4
en_7031	guts	intestin	cuts	coupes	fr	4		guts | didn't | backbone | grit | moxie | sand | gumption	cuts | cut | gash | slash | slice | cutofmeat | doctor | couldn't | transfer | organs	low_polygon_4
en_5633	toast	toasts	toast	toast	fr	4		toast | now | business | goner | pledge | crispen | crisp | drink	toast | goner | pledge | crispen | crisp | drink | now | business	low_polygon_4
en_425	packeting	paquetages	pocketing	Poche	fr	4		packeting | parents | sent	pocketing | pocket | bag | data | got | much | trouble	low_polygon_4
en_4991	cost	portage	kost	kost	fr	4		cost | cushion | high | living | monetaryvalue | price | toll	kost | workers | upholstery | business | demanded	low_polygon_4
en_3613	fortitude	violence	fortitude	force	fr	4		fortitude | left | said	fortitude | left | said	low_polygon_4
en_1360	shocking	clash	shocking	choc	fr	4		shocking | out | failure | shock | floor | ballover | blowoutofthewater | takeaback	shocking | shock | floor | ballover | blowoutofthewater | takeaback | out | failure	low_polygon_4
en_2212	tearable	déchirants	terrible	terrible	fr	4		tearable | don't | like | they're	terrible | awful | dire | direful | dread | dreaded | bought | some	low_polygon_4
en_6441	whirled	fouetter	whirled	fouettée	fr	4		whirled | set | new | record | twirl | swirl | twiddle | whirl | birl	whirled | twirl | swirl | twiddle | whirl | birl | set | new | record	low_polygon_4
en_6365	pressed	pressé	pressed	pressé	fr	4		pressed | dry | cleaners | often | time | press | urge | urgeon | exhort | weigh	pressed | press | urge | urgeon | exhort | weigh | dry | cleaners | often | time	low_polygon_4
en_1386	piously	pieusement	pasley	Pasil	fr	4		piously | said | devoutly	pasley | said | piously	low_polygon_4
en_1273	opposed	oppositions	opposed	opposition	fr	4		opposed | thumb | forefinger | oppose | fight | fightback | fightdown | defend	opposed | oppose | fight | fightback | fightdown | defend | thumb | forefinger	low_polygon_4
en_6722	engels	engels	engels	engels	fr	4		engels | all | sorts | friedrichengels	engels | friedrichengels | all | sorts	low_polygon_4
