id_en	text_fr	id	location
en_1007	['"Il faut sauver les baleines", jeta Tom avant de se tasser.', '"Il faut sauver les baleines", interjeta Tom.', 'Moi je sauve les baleines, Tom s’en venta.', 'Louis évent-a le projet de sauvetage des baleines.', '"Sauvez les baleines", proclama Tom à tout évent.', '"Sauvez les baleines, cracha Toto, Cétacé!"']	['fr_1148', 'fr_6487']	['se tasser', "cétacé | c'est assez"]
en_1015	['Si un citadin a un faible QI, est-ce pour autant que la population niais pas pour quelque chose ?', 'Les habitants de Douai ont-ils un QI élevé ?', "Si on fait la somme des QI d'une population, est-ce que leur intelligence devient moyenne?", 'Si tous les habitants d’une ville sont bouchés, est-ce que ça fait plus de bouchons ?']	[]	[]
en_102	["Le skieur est parti à la retraite. Il n'arrivait pas à remonter la pente."]	[]	[]
en_103	["Ma femme écoute du hip hop quand elle cuisine des carottes ou du gruyère. Je n'aime pas ça mais elle me dit que ça l'aide à râper."]	[]	[]
en_1031	['Je rêvais de dormir dans cet hôtel.']	[]	[]
en_1033	['En cuisinant, j\\'ai fait tomber un bâton de margarine sur le carrelage en bois, et quand ma voisine a glissé et est tombée, j\\'ai dit : "Ça doit être le parkay".', 'Quand j\\'ai fait du pain, j\\'ai mis un morceau de margarine sur le plancher. Quand mon voisin est tombé, j\\'ai dit: "Il y a eu une parkay".']	[]	[]
en_1047	["La belle attendait ses amants dans le clocher de l'église, mais le temps passait et aucun ne venait. Elle se disait qu'elle aurait dû savoir si quelque chose clochait.", "Pablo et José attendaient que Pilar allume le grand Feu avant de la rejoindre à l'église, mais d'aucun ne réagit à la chaleur ne sachant à qui était destiné la femme", 'Firmin et Henri attendaient tous les deux que Gladys arrive dans leur collocation. Elle appuie sur la sonnette mais personne ne lui ouvre, car aucun des deux ne sait pour qui sonne Gladys.', "Plabo et José ont attendu un signal de la part de Pilar pour la rejoindre dans la tour de l'église, mais aucun des deux n'a répondu au carillon, car ils ne savaient pas lequel des deux cette cloche sonnait.", "Pablo et José ont attendu que Pilar leur dise de la rejoindre à dans le clochet de l'église. Ils ont cherché le clochet mais ne l'ont jamais trouvé. Pilar ne dit que des sonnettes.", "Pablo et Jose attendirent un signal de Pilar pour la rejoindre dans la tour de l'Église, mais ils ne répondirent pas au chant parce qu'ils ne savaient pas pour qui la belle se balançait."]	['fr_1807', 'fr_7049', 'fr_10913', 'fr_8940']	['Gladys', 'cloche', 'sonnettes', 'Guorrilla']
en_1051	["Un jour, quelqu'un m'a accusé d'avoir volé un timbre de valeur, rare et ancien. Je lui ai dit que, pour porter de telles accusations, il devait être complètement timbré.", "Quelqu'un m'a accusé d'avoir contrefait les pièces de collections vendues au club de philatélistes. J'ai nié en ajoutant qu'il était timbré.", "On m'a accusé de voler un vieux timbre de grande valeur, mais je me suis affranchi de ce soupçon.", 'Une fois j’ai été accusé d’avoir volé un vieux timbre rare et précieux, j’ai évidemment nié comme un timbré.', 'Un jour quelqu’un m’a accusée d’avoir volé un œuf de Fabergé très rare, et je n’ai pas pu rester pondéré.', "Un philatéliste m'a accusé d'avoir volé toute sa collection... Quel timbré, celui-là !", "On m'a un jour accusé d'avoir volé des vieux timbres rares qui valaient très cher, ce que j'ai nié en bloc."]	['fr_12022', 'fr_6331', 'fr_2600']	['timbré', 'pondéré', 'legendes']
en_1059	['Le pêcheur sifflant était toujours hors de thon.']	[]	[]
en_1072	['Si vous portez un bandeau aux yeux, vous ne saurez pas ce que vous manquez.', 'Si vous portez un bandeau sur les yeux au stand de tir, vous ne saurez pas ce que vous manquez.', 'Si tu portes un bandeau sur tes yeux au stand de tir, tu ne sauras pas ce que tu rates.', 'Si tu portes des yeux au champ de tir, tu ne sais pas ce que tu manques.']	['fr_7187']	['rates']
en_108	['Les vieux boulangers ne meurent jamais, ils ne gagnent juste plus aussi bien leur pain.', 'Les anciens boulangers ne meurent jamais, ils arrêtent juste de se faire du blé.', 'Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croûte.', "Un boulanger qui a fait faillite n'a plus de blé.", 'Les vieux boulangers ne meurent pas, ils ont juste de moins en moins de blé.', 'Les vieux boulangers ne meurent pas, ils arrêtent seulement de gagner leur croûte.', 'Les vieux boulangers ne meurent pas, ils arrêtent juste de se faire du blé', 'Les vieux meuniers ne meurent jamais, ils arrêtent juste de se faire du blé.', 'Les vieux pâtissier ne meurent pas, ils arrêtent de mettre la main à la pâte.', 'Une boulangère ne meurt jamais, seulement, ses problèmes vont croissant.', 'Les vieux boulangers ne meurent jamais, ils cessent seulement de mettre la main à la pâte.', 'Un boulanger ne meurt pas, il est dans le pétrin.', 'À force de se faire mener à la baguette, le boulanger s’est retrouvé dans le pétrin.', 'Les vieux boulangers ne meurent pas, ils ne mettent juste plus la main à la pâte.']	['fr_1910', 'fr_9726', 'fr_14555']	['gagner leur croûte', 'blé', 'pétrin']
en_1084	['Je trouve que dans un intérieur rustique, un poêle à bois, ça a vraiment du chien']	[]	[]
en_1085	["Il réfléchit mieux maintenant qu'il a un miroir.", 'Après avoir acheté un miroir, il est devenu très réfléchi.']	[]	[]
en_110	['"La nourriture a goût de plutonium", dit Tom, rayonnant.', '"Ce plat a un goût de plutonium", dit Tom rayonnant.', '"Ah, ce plat a un goût de plutonium!", fit Tom, rayonnant.', 'Ce plat à un goût de plutonium, dit Tom brillamment.', '"Ça a un goût de plutonium", conclut Toto, brillament', '" Ça a un peu le goût d\\'uranium non ?\\xa0", demanda Tom, rayonnant.', '"Ça a le goût du plutonium", dit Tom radieux.', 'Ce plat a goût de plutonium", dit Tom, radieux', 'Cette nourriture a le goût de plutonium, à dit Tom brillamment.', '" Ce plat a goût de plutonium " dit Tom d\\'un air radieux.', 'Cette nourriture à un goût de plutonium, dit Tom si brillamment.', 'Ce plat a un goût de plutonium, dit Tom, irradiant la joie.', '"Ce plat a le goût de plutonium", dit Tom, les yeux brillants et la mine radieuse.', '"Cette nourriture a un goût de plutonium", dit Tom, les yeux brillants.', '"Ce repas a le goût de plutonium", dit Tom avec un sourire irradieux.']	['fr_620', 'fr_15433', 'fr_13554', 'fr_9178', 'fr_16351', 'fr_9060']	['brillamment', 'rayonnat', 'Barbe à ras', 'radieux', 'radieux', 'irradiant']
en_1106	['Les vieux dactylographes ne meurent jamais, ils perdent juste leur touche spéciale.']	[]	[]
en_1107	["Cette sauce salade contient trop de vinaigre, dit Tom d'un ton acide.", '"Ce dressing de salade a trop de vinaigre", dit Tom acidement.', '« Cette vinaigrette à salade contient trop de vinaigre, a dit Tom acidulément.', "Quel est le comble pour un étudiant en cuisine qui n'arrive pas à faire de sauce salade au vinaigre ? D'être assidu"]	['fr_16077']	['assidu']
en_111	['Tu sais que le boulanger du coin paye ses employés au blé noir ?', 'On ne peut pas dire que le boulanger du coin paie bien ses employés, il les roule dans la farine.', "Le boulanger du quartier payait à peine ses employés alors qu'il est plein de blé.", "Le boulanger local payait son personnel sur la base d'un taux faramineux.", 'Le primeur du quartier paye ses employés selon le salade horaire moyen.']	['fr_13575', 'fr_15198']	['blé noir', 'roule dans la farine']
en_1120	['Les vieux politiciens ne meurent jamais, ils ne sont juste plus trop dans leur état normal.']	[]	[]
en_1121	['Certaines personnes pensent que les exercices d’incendie peuvent amener les gens à se blesser dans le feu de l’action.', 'Certaines personnes trouvent les exercices incendie très alarmant', "Pour certains, les exercices d'incendie sont alarmants.", 'Certaines personnes trouvent les exercices d’incendie plutôt alarmant.', 'Certains trouvent que les sirènes incendies ont un effet alarmant.', 'Certains trouvent les exercices incendie très alarmants.', "Certaines personnes trouvent les exercices d'incendie alarmants.", "Certains trouvent les exercices d'évacuation incendie assez alarmants.", "Certaines personnes trouvent que les exercices d'évacuation incendie très alarmants.", "Les simulations d'incendie, certains trouvent ça alarmant."]	['fr_373', 'fr_9256', 'fr_11716', 'fr_14294', 'fr_477']	['alarmant', 'alarmants', 'alarmant', 'alarmants', 'alarmants']
en_114	['Un fleuriste ne meurt jamais, seulement, il perd de sa fraîcheur.', 'Un fleuriste ne meurt jamais : il est juste surbooké.', 'Les vieux fleuristes ne meurent jamais parce qu’ils sont de bonne composition.', 'Les vieux fleuristes ne meurent jamais, car ils continuent à voir la vie en rose.', 'Les vieux fleuristes ne meurent jamais, il se composent juste différemment.']	[]	[]
en_1144	['Va chercher Guevara ! cria Toto en havanant', '"Allez! Va chercher mon chien!", lança Toto.']	[]	[]
en_1146	['Le responsable anti-incendie était toujours mis sur le gril.', 'Le directeur de cabinet posait toujours des questions pressantes.', "Le chef des pompiers brûlait toujours d'envie de poser des questions importantes", 'Le capitaine des pompiers se charge toujours des question les plus brûlantes.', "On laissait toujours le capitaine des pompiers s'occuper des sujets brûlants.", 'On demandait toujours au chef des pompiers des questions brûlantes', 'C’est toujours au chef des pompiers qu’étaient posées les questions brûlantes.', 'Une question brûlait les lèvres du chef des pompiers.', "On interrogeait souvent le chef des pompiers sur l'actualité brûlante.", "Le chef des pompiers avait l'habitude de poser des questions brûlantes.", 'Le chef des pompiers se voyait toujours poser les questions les plus brûlantes.', 'Ça nous brûle les lèvres de poser ces questions au chef des pompiers.', 'Le chef des pompiers traitait toujours de sujets brûlants.', 'Le capitaine des sapeur-pompiers posait toujours des questions à chaud.', 'Le capitaine des pompiers devait toujours répondre à des questions brûlantes.', 'Le capitaine des pompiers devait sans cesse répondre à des questions, il était sur des charbons ardents.', 'On posait toujours toujours d’ardentes questions au chef des pompiers.', 'Le pompier devait toujours répondre à des questions brûlantes.', 'Le chef de la caserne était assailli de journalistes enflammés.', 'Le pompier en chef était constamment arrosé de questions brûlantes', 'Le chef des pompiers était souvent pris entre deux feux par les questions explosives.', 'On posait toujours des questions brûlantes au chef des pompiers.', 'Les questions les plus brûlantes étaient toujours réservées au chef des pompiers.', 'Le chef des pompiers avait toujours droit aux questions brûlantes.', 'Le chef des pompiers se voyait toujours poser des questions brûlantes.']	['fr_4104', 'fr_12854', 'fr_8856', 'fr_16348']	['brûlait les lèvres', 'brûlante', 'brûlantes', 'enflammés']
en_1157	['Ils ont sué sang et eau avant d’atteindre le sauna et échapper au tueur.', 'Pour échapper au bandit armé, ils se sont cachés dans un sauna, même si ça les faisait suer (d’attendre là).', 'Ils ont échappé au tireur et se sont cachés dans un sauna où ils ont pu s’armer de patience en suant.', 'Leur poursuite jusque dans un sauna par un tueur à gages leur donna des sueurs froides.', 'Ils se sont réfugiés dans le sauna pour échapper au tireur, qui leur a donné des sueurs froides.', 'Ils se cachèrent du tireur dans un sauna où ils pouvaient laisser couler.', "Ils n'avaient pas froid aux yeux, mais la vue du tireur isolé leur glaça le sang ; blessés, ils suèrent sang et eau pour aller se réfugier dans le sauna, seul abri à proximité.", "Les passants ont trouvé refuge dans un sauna lors d'une fusillade. On peut dire qu'ils ont eu chaud.", 'Ils se sont cacher du tireur dans un sauna où ils pouvaient évacuer', 'Ils se sont cachés du tireur dans une chambre frigorifique, où ils ont pu garder leur sang froid.', "Ils s'étaient cachés dans un sauna pour faire croire à leur poursuivant qu'ils s'étaient évaporés", "Ils échappèrent au tireur en se cachant dans un sauna, où ils attendirent la fin de l'échauffourée", 'Ils se sont cachés dans le sauna en attendant que le tireur s’évapore.', 'Ils se sont cachés du tireur dans un champ pour le semer.', 'Pour échapper au tireur, ils se cachèrent dans le sauna. Ils ont eu chaud.', 'Ils se cachèrent du bandit armé, se faufilant dans le sauna si discrètement que rien ne le laissait transpirer.', 'Ils se cachèrent du tireur en se réfugiant dans un sauna, où ils purent transpirer un coup.', 'Poursuivis par un tueur, ils se cachèrent dans un sauna en attendant de trouver un moyen de renverser la vapeur.', 'Cachés dans le sauna pour échapper au tireur, ils ont eu leurs vapeurs.', 'Ils se sont cachés du tireur dans un sauna; ça commençait à devenir chaud !', "Ils se sont mis à l'abri du tireur dans un sauna afin de prendre la température de la situation."]	['fr_1688', 'fr_13524', 'fr_370', 'fr_222', 'fr_13884', 'fr_8917']	['sué sang et eau', 'suer', 'sueurs froides', 'sueurs froides', "n'avaient pas froid aux yeux | glaça le sang | suèrent sang et eau", 'évaporés']
