id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
1601	I went to the store to buy some soup but they were out of stock.				stock	homographic	['inventory', 'supply', 'merchandise']	['broth', 'bouillon', 'soup base']
1602	I went to the theatre, it looked a bit suspicious. I reckon the whole thing was staged.				staged	homographic	['performed on a stage', 'theatrically produced', 'dramatized']	['fabricated', 'faked', 'contrived', 'orchestrated']
1603	I will blaze a trail.				blaze	homographic	['burn', 'flame', 'ignite', 'fire']	['mark', 'pioneer', 'lead', 'create a path']
1604	I wish I'd said that, Oscar, he said wildly.				wildly	homophonic	['frantically', 'crazily', 'uncontrollably', 'viciously']	['Oscar Wilde', 'Wilde-ly', 'in the manner of Oscar Wilde', 'wittily']
1605	"""I won't tell you anything about my salivary glands,"" he said secretively."				secretively	homographic	['covertly', 'stealthily', 'clandestinely', 'privately']	['secreting', 'discharging', 'releasing fluid', 'excreting']
1606	I wonder how much an anagram weighs?				anagram	homographic	['wordplay', 'rearrangement', 'permutation']	['a gram', 'metric weight unit', '0.001 kilograms']
1607	I wonder how much an anagram weighs?				anagram	homographic	['wordplay', 'rearrangement of letters', 'cipher']	['a gram', 'metric weight', 'unit of mass']
1608	I wonder if I shall fall right through the earth! How funny it'll seem to come out among the people that walk with their heads downward! The Antipathies, I think.				Antipathies	homophonic	['Antipodes', 'opposites', 'reverse', 'contrary']	['hostility', 'dislike', 'aversion', 'animosity']
1609	I wondered why my geometry class was always tired. They were all out of shape.				out of shape	homographic	['unfit', 'unhealthy', 'exhausted', 'weak']	['non-geometric', 'deformed', 'irregular', 'lacking form']
1610	I wondered why the baseball was getting bigger. Then it hit me.				hit	homographic	['struck', 'collided', 'impacted', 'smacked']	['realized', 'occurred to', 'dawned on', 'understood']
1611	I would strongly advise you, Mr. Worthing, to try and acquire some relations as soon as possible, and to make a definite effort to produce at any rate one parent, of either sex, before the season is quite over.				produce	homographic	['bring forth', 'show', 'present', 'identify']	['procreate', 'reproduce', 'beget', 'generate']
1612	I wouldn't marry you if you were the only woman on earth, he said evenly.				evenly	homographic	['calmly', 'composedly', 'steadily', 'unemotionally']	['equally', 'proportionately', 'uniformly']
1613	I wrote a novel about a fellow who had a small garden. It didn't have much of a plot.				plot	homographic	['storyline', 'narrative', 'scenario', 'action']	['patch', 'tract', 'lot', 'allotment']
1614	I yam always very happy to eat sweet potatoes.				yam	homophonic	"['I am', ""I'm"", 'self-reference']"	['sweet potato', 'tuber', 'root vegetable']
1615	I'd like some Chinese food, he said wantonly.				wantonly	homophonic	['recklessly', 'maliciously', 'unrestrainedly', 'shamelessly']	['wontonly', 'wonton-like', 'dumpling-related', 'appertaining to wontons']
1616	I'd like to be a Chinese laborer, he said coolly.				coolly	homophonic	['calmly', 'unemotionally', 'indifferently']	['coolie', 'laborer', 'unskilled worker', 'drudge']
1617	I'd really be tempted to take these trousers out back and set them on fire, but I've never been one for burning my britches.				britches	homophonic	['trousers', 'pants', 'slacks', 'breeches']	['bridges', 'overpasses', 'burning bridges', 'severing ties']
1618	I'd really like to know whether her collapse was due to a serious illness or whether it was one of her usual feints.				feints	homophonic	['faints', 'passing out', 'blacking out', 'loss of consciousness']	['shams', 'ruses', 'bluffs', 'deceptive movements']
