id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
en_1007	Save the whales, he spouted.	spouted	homographic	spouted	spouted	homographic	['uttered', 'said', 'declaimed', 'recited', 'shouted']	['sprayed', 'jetted', 'gushed', 'squirted', 'emitted water']	jailli	['prononcé', 'dit', 'déclamé', 'récité', 'crié']	['pulvérisé', 'projeté', 'jailli', 'giclé', "émis de l'eau"]	sprung	['pronounced', 'said', 'declared', 'recited', 'shouted']	['sprayed', 'projected', 'sprung', 'splashed', 'emitted water']
en_1015	If a town's people have low IQs is the population dense?	dense	homographic	dense	dense	homographic	['crowded', 'compact', 'thick', 'highly populated']	['stupid', 'dim-witted', 'thick-headed', 'slow-witted']	dense	['bondé', 'compact', 'épais', 'très peuplé']	['stupide', 'obtus', 'borné', "lent d'esprit"]	dense	['crowded', 'compact', 'thick', 'very populated']	['stupid', 'obtuse', 'narrow-minded', 'slow-witted']
en_102	A skier retired because he was going downhill.	downhill	homographic	downhill	downhill	homographic	['descending', 'sloping', 'declivous', 'downward']	['deteriorating', 'declining', 'worsening', 'failing']	en descente	['descendant', 'en pente', 'déclive', 'vers le bas']	['se détériorant', 'en déclin', 'empirant', 'échouant']	going downhill	['descending', 'sloping', 'declivitous', 'downward']	['deteriorating', 'in decline', 'worsening', 'failing']
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	greater	grater	homophonic	['shredder', 'rasper', 'kitchen tool', 'zester']	['greater', 'larger', 'superior', 'more significant']	râpe	['déchiqueteuse', 'rapeuse', 'ustensile de cuisine', 'zesteur']	['plus grand', 'plus large', 'supérieur', 'plus significatif']	grater	['shredder', 'grater', 'kitchen utensil', 'zester']	['bigger', 'wider', 'superior', 'more significant']
en_1031	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	in	inn	homophonic	['inn', 'hotel', 'lodge', 'tavern', 'hostel']	['in', 'stylish', 'fashionable', 'popular', 'trendy']	auberge	['auberge', 'hôtel', 'gîte', 'taverne', 'hostel']	['à la mode', 'élégant', 'branché', 'populaire', 'tendance']	inn	['inn', 'hotel', 'lodging', 'tavern', 'hostel']	['fashionable', 'elegant', 'trendy', 'popular', 'in vogue']
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	parquet	parkay	homophonic	['margarine', 'butter substitute', 'Parkay brand']	['parquet', 'oaken flooring', 'wood-block flooring', 'tiled wood']	parkay	['margarine', 'substitut de beurre', 'marque Parkay']	['parquet', 'plancher en chêne', 'plancher en bois', 'bois en dalles']	parkay	['margarine', 'butter substitute', 'Parkay brand']	['parquet', 'oak floor', 'wooden floor', 'wooden tiles']
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	bell	belle	homophonic	['Pilar', 'woman', 'beauty', 'lady']	['bell', 'chime', 'gong', 'clapper']	belle	['Pilar', 'femme', 'beauté', 'dame']	['cloche', 'carillon', 'gong', 'battant']	beautiful	['Pilar', 'woman', 'beauty', 'lady']	['bell', 'chime', 'gong', 'clapper']
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	flatly	philately	homophonic	['flatly', 'directly', 'completely', 'categorically']	['philately', 'stamp collecting', 'postal study', 'philatelic']	philatélie	['catégoriquement', 'directement', 'complètement', 'sans équivoque']	['philatélie', 'collection de timbres', 'étude postale', 'philatélique']	philately	['categorically', 'directly', 'completely', 'unequivocally']	['philately', 'stamp collecting', 'postal study', 'philatelic']
en_1059	The whistling fisherman was always out of tuna.	tuna	homophonic	tune	tuna	homophonic	['fish', 'albacore', 'skipjack', 'seafood']	['tune', 'melody', 'song', 'pitch']	thon	['poisson', 'germon', 'bonite', 'fruits de mer']	['air', 'mélodie', 'chanson', 'intonation']	tuna	['fish', 'albacore', 'bonito', 'seafood']	['tune', 'melody', 'song', 'intonation']
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	missing	missing	homographic	['failing to hit', 'failing to strike', 'shooting wide']	['lacking', 'failing to experience', 'omitting', 'neglecting']	manquant	['ne pas toucher', 'ne pas frapper', 'tirer à côté']	['manquer de', 'ne pas éprouver', 'omettre', 'négliger']	missing	['not hit', 'not strike', 'shoot beside']	['lack', 'not feel', 'omit', 'neglect']
en_108	Old bakers never die, they just stop making lots of dough.	dough	homographic	dough	dough	homographic	['bread mix', 'batter', 'paste', 'unbaked bread']	['money', 'cash', 'currency', 'moolah', 'wealth']	pâte	['mélange à pain', 'pâte à frire', 'pâte', 'pain non cuit']	['argent', 'liquide', 'monnaie', 'pognon', 'richesse']	dough	['bread mix', 'batter', 'dough', 'uncooked bread']	['money', 'cash', 'currency', 'dough', 'wealth']
en_1084	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	flu	flue	homophonic	['chimney', 'duct', 'vent', 'passage']	['flu', 'influenza', 'grippe', 'sickness', 'virus']	conduit	['cheminée', 'conduit', 'aération', 'passage']	['grippe', 'influenza', 'grippe', 'maladie', 'virus']	duct	['chimney', 'duct', 'ventilation', 'passage']	['flu', 'influenza', 'flu', 'illness', 'virus']
en_1085	After he bought a mirror he became very reflective.	reflective	homographic	reflective	reflective	homographic	['shiny', 'mirrored', 'shining', 'polished']	['thoughtful', 'pensive', 'contemplative', 'meditative']	réfléchissant	['brillant', 'miroité', 'étincelant', 'poli']	['réfléchi', 'pensif', 'contemplatif', 'méditatif']	reflecting	['brilliant', 'mirrored', 'sparkling', 'polished']	['thoughtful', 'pensive', 'contemplative', 'meditative']
en_110	This food tastes of plutonium, he said glowingly.	glowingly	homographic	glowingly	glowingly	homographic	['enthusiastically', 'approvingly', 'highly', 'favorably']	['luminescently', 'radiantly', 'phosphorescently', 'emitting light']	de façon éclatante	['avec enthousiasme', 'approbativement', 'hautement', 'favorablement']	['luminescent', 'radieusement', 'phosphorescent', 'émettant de la lumière']	brilliantly	['with enthusiasm', 'approvingly', 'highly', 'favorably']	['luminescent', 'radiantly', 'phosphorescent', 'emitting light']
en_1106	Old typists never die, they just lose their touch.	touch	homographic	touch	touch	homographic	['tactile sensation', 'physical contact', 'dexterity', 'fingertip sensitivity']	['skill', 'ability', 'talent', 'finesse', 'capability']	toucher	['sensation tactile', 'contact physique', 'dextérité', 'sensibilité du bout des doigts']	['compétence', 'aptitude', 'talent', 'finesse', 'capacité']	touch	['tactile sensation', 'physical contact', 'dexterity', 'sensitivity of the fingertips']	['skill', 'aptitude', 'talent', 'finesse', 'ability']
en_1107	This salad dressing has too much vinegar, he said acidly.	acidly	homophonic	acid	acidly	homographic	['sourly', 'tartly', 'acidic', 'vinegary']	['sharply', 'bitingly', 'caustically', 'sarcastically']	acidement	['aigrement', 'âprement', 'acide', 'vinaigré']	['brusquement', 'mordamment', 'caustiquement', 'sarcastiquement']	acidemically	['sourly', 'harshly', 'acidic', 'vinegary']	['brusquely', 'bitingly', 'caustically', 'sarcastically']
en_111	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	hourly	flourly	homophonic	['flour', 'powdered grain', 'starch', 'milled wheat']	['hourly', 'per hour', 'sixty-minute intervals', 'time-based']	farinheure	['farine', 'grain en poudre', 'amidon', 'blé moulu']	['horaire', 'par heure', 'intervalles de soixante minutes', 'basé sur le temps']	flourometer	['flour', 'powdered grain', 'starch', 'ground wheat']	['hourly', 'per hour', 'sixty-minute intervals', 'time-based']
en_1120	Old politicians never die, they just harangue in there.	harangue	homophonic	hang	harangue	homophonic	['hang', 'persist', 'remain', 'stay']	['harangue', 'lecture', 'rant', 'declaim', 'sermonize']	harangue	['pendre', 'persister', 'rester', 'demeurer']	['harangue', 'discours', 'diatribe', 'déclamer', 'sermonner']	harangue	['hang', 'persist', 'remain', 'stay']	['harangue', 'speech', 'diatribe', 'declaim', 'sermonize']
en_1121	Some people find fire drills quite Alarming.	alarming	homophonic	alarm	Alarming	homographic	['frightening', 'disturbing', 'scary', 'shocking']	['sounding a siren', 'ringing', 'alerting', 'activating an alarm']	Alarmant	['effrayant', 'dérangeant', 'terrifiant', 'choquant']	['faisant retentir une sirène', 'sonnant', 'alertant', 'déclenchant une alarme']	Alarming	['frightening', 'disturbing', 'terrifying', 'shocking']	['setting off a siren', 'ringing', 'alerting', 'triggering an alarm']
en_114	Old florists never die, they just make alternative arrangements.	arrangements	homographic	arrangements	arrangements	homographic	['bouquets', 'floral displays', 'compositions', 'flower clusters']	['plans', 'preparations', 'provisions', 'legal settlements']	arrangements	['bouquets', 'présentations florales', 'compositions', 'groupes de fleurs']	['plans', 'préparatifs', 'dispositions', 'accords juridiques']	arrangements	['bouquets', 'floral presentations', 'compositions', 'groups of flowers']	['plans', 'preparations', 'arrangements', 'legal agreements']
en_1144	Get the stick, Rover! he called fetchingly.	fetchingly	homophonic	fetch	fetchingly	homographic	['attractive', 'alluring', 'charming', 'captivating']	['retrieving', 'bringing back', 'fetching', 'carrying']	fetchingly	['attrayant', 'séduisant', 'charmant', 'captivant']	['récupérant', 'ramenant', 'allant chercher', 'portant']	fetchingly	['attractive', 'seductive', 'charming', 'captivating']	['retrieving', 'bringing back', 'fetching', 'carrying']
en_1146	The fire chief was always asked burning questions.	burning	homographic	burning	burning	homographic	['on fire', 'blazing', 'flaming', 'ignited']	['urgent', 'pressing', 'critical', 'crucial']	brûlant	['en feu', 'flamboyant', 'enflammé', 'allumé']	['urgent', 'pressant', 'critique', 'crucial']	burning	['on fire', 'flaming', 'inflamed', 'lit']	['urgent', 'pressing', 'critical', 'crucial']
en_1157	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	sweat	sweat	homographic	['perspire', 'exude moisture', 'transpire']	['endure a difficult situation', 'wait anxiously', 'suffer through']	sueur	['transpirer', "exsuder de l'humidité", 'transpirer']	['endurer une situation difficile', 'attendre avec anxiété', 'souffrir']	sweat	['to perspire', 'to exude moisture', 'to sweat']	['to endure a difficult situation', 'to wait anxiously', 'to suffer']
en_116	The astronomer made a claim about a well-known star, but it wasn't sirius.	sirius	homophonic	serious	sirius	homophonic	['Sirius', 'Dog Star', 'Alpha Canis Majoris', 'brightest star']	['serious', 'grave', 'solemn', 'earnest', 'sincere']	sirius	['Sirius', 'Étoile du Chien', 'Alpha Canis Majoris', 'étoile la plus brillante']	['sérieux', 'grave', 'solennel', 'sincère', 'honnête']	sirius	['Sirius', 'Dog Star', 'Alpha Canis Majoris', 'brightest star']	['serious', 'grave', 'solemn', 'sincere', 'honest']
en_1160	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.	beaux	homophonic	bow	beaux	homophonic	['bows', 'ribbons', 'knots', 'decorations']	['suitors', 'admirers', 'boyfriends', 'beaux']	beaux	['arcs', 'rubans', 'nœuds', 'décorations']	['prétendants', 'admirateurs', 'petits amis', 'beaux']	handsome	['bows', 'ribbons', 'knots', 'decorations']	['suitors', 'admirers', 'boyfriends', 'handsome men']
