id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count	candidate_json	candidate_count	generation_error	generator_version
2801	Some doting parents are son worshipers.				son	homophonic	['boy', 'child', 'offspring', 'heir', 'descendant', 'male']	['sun', 'star', 'solar', 'light', 'warmth', 'orbit']	fils	['garçon', 'enfant', 'progéniture', 'héritier', 'descendant', 'mâle']	['soleil', 'étoile', 'solaire', 'lumière', 'chaleur', 'orbite']				"[{""left"":""chaleur"",""right"":""râleur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":4,""scores"":{""phonetic_match"":0.8279,""french_naturalness"":0.54,""semantic_surprise"":0.6353,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.6916},""export_lane"":""close_B_to_other""}]"	1	"[{""french"":""Les parents qui idolâtrent leur garçon ne sont pas héliophiles : ils sont hélio-fils."",""pun_trigger"":""héliophiles / hélio-fils"",""mechanism"":""near_homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2802	Some food for thought is only baloney				baloney	homographic	['meat', 'sausage', 'processed', 'cold-cut', 'deli']	['nonsense', 'foolishness', 'deception', 'absurdity', 'falsehood']	baliverne	['viande', 'saucisson', 'charcuterie', 'tranche', 'salaison']	['absurdité', 'sottise', 'tromperie', 'fadaise', 'mensonge']				"[{""left"":""sottise"",""right"":""cotise"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":3,""scores"":{""phonetic_match"":0.8059,""french_naturalness"":0.54,""semantic_surprise"":0.6233,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.54,""overall_score"":0.6754},""export_lane"":""close_B_to_other""},{""left"":""affadis"",""right"":""aphasie"",""relation"":""similar_sound"",""retrieval_bucket"":""A2_B01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.831,""french_naturalness"":0.42,""semantic_surprise"":0.731,""semantic_domain_similarity"":0.5731,""pun_pivot_usability"":0.45,""overall_score"":0.6142},""export_lane"":""detached_A2_B01_DETACHED""}]"	2	"[{""french"":""Sa nourriture pour l’esprit ? Des salades : ça se mâche, mais ça ne s’avale pas."",""pun_trigger"":""salades / avale"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2803	Some foolish people gain by experience many perils of wisdom.				perils	homophonic	['danger', 'risk', 'hazard', 'misfortune', 'threat', 'jeopardy']	['pearls', 'gemstone', 'jewelry', 'oyster', 'nacre', 'ornament']	périls	['danger', 'risque', 'hasard', 'malheur', 'menace', 'péril']	['perles', 'gemme', 'bijouterie', 'huître', 'nacre', 'ornement']				[]	0	"[{""french"":""À force d’apprendre à leurs dépens, les imbéciles ne récoltent pas des perles de sagesse, mais des périls de sagesse."",""pun_trigger"":""perles / périls"",""mechanism"":""near_homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2804	Some gas station owners are very self-serving.				self-serving	homographic	['selfish', 'ego', 'profit', 'ambition', 'greedy', 'narcissism']	['gasoline', 'pump', 'nozzle', 'fuel', 'station', 'automobile']	libre-service	['égoïste', 'ego', 'profit', 'ambition', 'avide', 'narcissisme']	['essence', 'pompe', 'pistolet', 'carburant', 'station', 'automobile']				"[{""left"":""essence"",""right"":""élance"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":5,""scores"":{""phonetic_match"":0.8242,""french_naturalness"":0.54,""semantic_surprise"":0.6333,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.6902},""export_lane"":""close_B_to_other""},{""left"":""essence"",""right"":""séance"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":6,""scores"":{""phonetic_match"":0.8228,""french_naturalness"":0.54,""semantic_surprise"":0.6325,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.6896},""export_lane"":""close_B_to_other""},{""left"":""promis"",""right"":""profit"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.805,""french_naturalness"":0.42,""semantic_surprise"":0.6627,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.6295},""export_lane"":""detached_B2_A01_DETACHED""}]"	3	"[{""french"":""Certains patrons de station sont tellement égoïstes qu’ils appellent ça du libre-service : ils ne servent qu’eux-mêmes."",""pun_trigger"":""libre-service / ne servent qu’eux-mêmes"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2805	Some horses cause their owners a lot of woe.				woe	homophonic	['misery', 'sorrow', 'distress', 'grief', 'hardship', 'sadness']	['whoa', 'stop', 'halt', 'command', 'rein', 'stall']	malheur	['misère', 'chagrin', 'détresse', 'douleur', 'épreuve', 'tristesse']	['holà', 'stop', 'halte', 'ordre', 'bride', 'arrêt']				"[{""left"":""douleur"",""right"":""douteur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8421,""french_naturalness"":0.54,""semantic_surprise"":0.6432,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.697},""export_lane"":""close_A_to_other""},{""left"":""douleur"",""right"":""douceur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":3,""scores"":{""phonetic_match"":0.8165,""french_naturalness"":0.54,""semantic_surprise"":0.6291,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.54,""overall_score"":0.6794},""export_lane"":""close_A_to_other""}]"	2	"[{""french"":""Certains chevaux, c’est « oh là là » : quand leur maître crie « holà ! », ils filent."",""pun_trigger"":""oh là là / holà"",""mechanism"":""near_homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2806	Some jokes get dated, other jokes get married.				dated	homographic	['old', 'obsolete', 'antique', 'outmoded', 'historical', 'period']	['romance', 'courtship', 'partnership', 'couple', 'relationship', 'suitor']	daté	['vieux', 'obsolète', 'antique', 'démodé', 'historique', 'ancien']	['romance', 'fréquentation', 'partenariat', 'couple', 'relation', 'prétendant']				[]	0	"[{""french"":""Certaines blagues sont datées ; d’autres ont rendez-vous à la mairie."",""pun_trigger"":""datées / rendez-vous"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2807	Some mathematicians are reluctant to cosine a loan.				cosine	homophonic	['trigonometry', 'angle', 'function', 'geometry', 'math', 'ratio']	['signature', 'guarantor', 'contract', 'credit', 'agreement', 'debt']	cosinus	['trigonométrie', 'angle', 'fonction', 'géométrie', 'mathématiques', 'rapport']	['signature', 'garant', 'contrat', 'crédit', 'accord', 'dette']				[]	0	"[{""french"":""Mon prof de maths refuse de co-signer un prêt : lui, il ne fait que des cosinus."",""pun_trigger"":""co-signer / cosinus"",""mechanism"":""near_homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2808	Some moss took a lichen to a tree.				lichen	homophonic	['fungus', 'algae', 'symbiosis', 'crustose', 'thallus', 'growth']	['liking', 'affection', 'preference', 'fondness', 'attraction', 'affinity']	lichen	['champignon', 'algue', 'symbiose', 'crustacé', 'thalle', 'croissance']	['goût', 'affection', 'préférence', 'tendresse', 'attirance', 'affinité']				"[{""left"":""croissance"",""right"":""croyance"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.9288,""french_naturalness"":0.54,""semantic_surprise"":0.6908,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.7298},""export_lane"":""close_A_to_other""},{""left"":""affection"",""right"":""flexion"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":0.8263,""french_naturalness"":0.54,""semantic_surprise"":0.6345,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.504,""overall_score"":0.6738},""export_lane"":""close_B_to_other""},{""left"":""tai-chi"",""right"":""taillis"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8174,""french_naturalness"":0.42,""semantic_surprise"":0.7181,""semantic_domain_similarity"":0.5976,""pun_pivot_usability"":0.42,""overall_score"":0.6027},""export_lane"":""detached_B2_A01_DETACHED""}]"	3	"[{""french"":""Le lichen aime tellement le chêne qu’on devrait l’appeler le « l’y-chêne »."",""pun_trigger"":""lichen / l’y-chêne"",""mechanism"":""homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2809	Some music stores are in a CD part of town.				CD	homophonic	['disc', 'audio', 'album', 'recording', 'compact', 'playback']	['seedy', 'shabby', 'dilapidated', 'sordid', 'disreputable', 'run-down']	CD	['disque', 'audio', 'album', 'enregistrement', 'compact', 'lecture']	['miteux', 'minable', 'dilapidé', 'sordide', 'louche', 'délabré']				[]	0	"[{""french"":""Le disquaire du coin est dans un quartier très CD : des disques en vitrine, et dehors c’est D comme délabré."",""pun_trigger"":""CD / c’est D"",""mechanism"":""homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""medium"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
2810	Some orchestra conductors make their mark in the world of opera. They were in the right aria at the right time.				aria	homophonic	['soprano', 'solo', 'opera', 'melodic', 'libretto', 'performance']	['location', 'region', 'zone', 'territory', 'space', 'vicinity']	aria	['soprano', 'solo', 'opéra', 'mélodique', 'livret', 'représentation']	['lieu', 'région', 'zone', 'territoire', 'espace', 'environs']				"[{""left"":""vivrai"",""right"":""livret"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.809,""french_naturalness"":0.42,""semantic_surprise"":0.665,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.42,""overall_score"":0.631},""export_lane"":""detached_B2_A01_DETACHED""}]"	1	"[{""french"":""Ce chef a triomphé à l’opéra : il était dans le bon air au bon moment."",""pun_trigger"":""air / aire"",""mechanism"":""homophone"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gpt"",""generator_model_id"":""openai/gpt-5.5"",""generator_version"":""v15_single""}]"	1		v15_single
