id_en	text_clean	pun_word	pun_type	first_meaning	second_meaning	first_context	second_context	manual_location	manual_type	manual_alternative	pun_word_fr	first_meaning_fr	second_meaning_fr	first_context_fr	second_context_fr
en_1	Save the whales, he spouted.	spouted	homographic	['uttered', 'declaimed', 'proclaimed', 'ranted', 'vocalized']	['sprayed', 'gushed', 'squirted', 'jetted', 'ejected']	['Save', 'the', 'whales']	['whales']	spouted	homographic	spouted	jailli	['prononcé', 'déclamé', 'proclamé', 'débité', 'exprimé']	['pulvérisé', 'jailli', 'giclé', 'propulsé', 'éjecté']	['Sauvez', 'les', 'baleines']	['baleines']
en_2	If a town's people have low IQs is the population dense?	dense	homographic	['thick', 'crowded', 'compact', 'concentrated', 'packed', 'crammed']	['stupid', 'dim-witted', 'unintelligent', 'slow', 'thick-headed', 'dull']	["town's", 'population']	['low IQs']	dense	homographic	dense	dense	['épais', 'peuplé', 'compact', 'concentré', 'bondé', 'entassé']	['stupide', "simple d'esprit", 'inintelligent', 'lent', 'borné', 'obtus']	['de la ville', 'population']	['QI faibles']
en_3	A skier retired because he was going downhill.	downhill	homographic	['descending', 'downward', 'sloping', 'declivitous']	['deteriorating', 'declining', 'worsening', 'failing']	['skier']	['retired']	downhill	homographic	downhill	la descente	['descendant', 'vers le bas', 'en pente', 'déclive']	['se détériorer', 'décliner', 'empirer', 'défaillir']	['skieur']	['retraité']
en_4	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	['shredder', 'zester', 'rasp', 'kitchen tool', 'grater']	['greater', 'bigger', 'larger', 'more significant', 'superior']	['kitchen implement', 'shred', 'garlic', 'parmesan cheese']	['two evils']	grater	homophonic	greater	râpe	['déchiqueteur', 'zesteur', 'râpe', 'ustensile de cuisine', 'râpe']	['plus grand', 'plus gros', 'plus vaste', 'plus important', 'supérieur']	['ustensile de cuisine', 'râper', 'ail', 'parmesan']	['deux maux']
en_5	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	['inn', 'hotel', 'lodging', 'tavern', 'hostel', 'lodge']	['in', 'fashionable', 'trendy', 'popular', 'stylish', 'chic', 'hip']	['Staying', 'hotel']	['trendy', 'new']	inn	homophonic	in	auberge	['auberge', 'hôtel', 'hébergement', 'taverne', 'auberge de jeunesse', 'gîte']	['à la mode', 'tendance', 'populaire', 'élégant', 'chic', 'branché']	['Séjourner', 'hôtel']	['tendance', 'nouveau']
en_6	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	['Parkay', 'margarine', 'spread', 'oleo', 'butter substitute']	['parquet', 'wood flooring', 'hardwood', 'inlay', 'wooden tiles']	['baking', 'stick of margarine']	['wooden tile floor', 'slipped', 'fell']	parkay	homophonic	parquet	parkay	['Parkay', 'margarine', 'pâte à tartiner', 'oléo', 'substitut de beurre']	['parquet', 'plancher en bois', 'bois dur', 'marqueterie', 'dalles de bois']	['pâtisserie', 'bâton de margarine']	['sol en dalles de bois', 'a glissé', 'est tombé']
en_7	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	['belle', 'beauty', 'maiden', 'lady', 'woman']	['bell', 'chime', 'ringer', 'gong', 'knell']	['Pilar', 'her']	['Church Tower', 'chiming', 'tolling']	belle	homophonic	bell	belle	['belle', 'beauté', 'demoiselle', 'dame', 'femme']	['cloche', 'carillon', 'sonneur', 'gong', 'glas']	['Pilar', 'elle']	['clocher', 'sonnerie', 'tintement']
en_8	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	['stamp-collecting', 'philatelic', 'stamp study', 'philately']	['flatly', 'categorically', 'absolutely', 'completely', 'bluntly']	['stamp', 'old', 'rare', 'valuable']	['denied']	philately	homophonic	flatly	philatélie	['collection de timbres', 'philatélique', 'étude des timbres', 'philatélie']	['catégoriquement', 'formellement', 'absolument', 'complètement', 'de façon abrupte']	['timbre', 'ancien', 'rare', 'précieux']	['nié']
en_9	The whistling fisherman was always out of tuna.	tuna	homophonic	['tuna', 'fish', 'albacore', 'seafood']	['tune', 'melody', 'pitch', 'song']	['fisherman']	['whistling']	tuna	homophonic	tune	thon	['thon', 'poisson', 'albacore', 'fruits de mer']	['air', 'mélodie', 'tonalité', 'chanson']	['pêcheur']	['sifflement']
en_10	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	['failing to hit', 'overshooting', 'undershooting', 'skipping']	['lacking', 'not experiencing', 'overlooking', 'unaware of']	['shooting range']	['blindfold', "won't know"]	missing	homographic	missing	manquer	['rater la cible', 'dépasser la cible', 'ne pas atteindre la cible', 'sauter']	['manquer de', 'ne pas éprouver', 'négliger', 'ignorer']	['stand de tir']	['yeux bandés', 'ne saura pas']
en_11	Old bakers never die, they just stop making lots of dough.	dough	homographic	['mixture', 'batter', 'paste', 'flour', 'leaven']	['money', 'cash', 'currency', 'funds', 'bread']	['bakers']	['making', 'lots of']	dough	homographic	dough	pâte	['mélange', 'pâte', 'pâte', 'farine', 'levain']	['argent', 'espèces', 'monnaie', 'fonds', 'pain']	['boulangers']	['gagner', 'beaucoup de']
en_12	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	['flue', 'chimney', 'vent', 'duct', 'pipe', 'exhaust']	['flu', 'influenza', 'grippe', 'virus', 'illness', 'sickness']	['fireplaces']	['doctors', 'Asian']	flue	homophonic	flu	conduit	['conduit', 'cheminée', 'évent', 'gaine', 'tuyau', 'échappement']	['grippe', 'influenza', 'grippe', 'virus', 'maladie', 'affection']	['cheminées']	['médecins', 'asiatique']
en_13	After he bought a mirror he became very reflective.	reflective	homographic	['mirroring', 'shiny', 'polished', 'gleaming', 'glinting']	['thoughtful', 'pensive', 'contemplative', 'meditative', 'introspective']	['mirror']	['became']	reflective	homographic	reflective	réfléchi	['reflétant', 'brillant', 'poli', 'luisant', 'scintillant']	['pensif', 'songeur', 'contemplatif', 'méditatif', 'introspectif']	['miroir']	['devenu']
en_14	This food tastes of plutonium, he said glowingly.	glowingly	homographic	['enthusiastically', 'warmly', 'admiringly', 'praisingly', 'favorably']	['radiantly', 'luminously', 'phosphorescently', 'brightly', 'brilliantly']	['said']	['plutonium']	glowingly	homographic	glowingly	chaleureusement	['avec enthousiasme', 'chaleureusement', 'avec admiration', 'avec éloges', 'favorablement']	['radieusement', 'lumineusement', 'de manière phosphorescente', 'avec éclat', 'brillamment']	['dit']	['plutonium']
en_15	Old typists never die, they just lose their touch.	touch	homographic	['keystroke', 'tactile sensation', 'contact', 'pressing', 'feel']	['skill', 'knack', 'talent', 'proficiency', 'mastery']	['typists']	['Old', 'die']	touch	homographic	touch	touche	['frappe', 'sensation tactile', 'contact', 'pression', 'toucher']	['compétence', 'doigté', 'talent', 'aptitude', 'maîtrise']	['dactylographes']	['vieux', 'mourir']
en_16	This salad dressing has too much vinegar, he said acidly.	acidly	homographic	['sourly', 'tartly', 'acidically', 'sharp-tasting']	['sharply', 'bitterly', 'caustically', 'acerbicly', 'sarcastically']	['salad dressing', 'vinegar']	['said']	acidly	homophonic	acid	acidement	['acidement', 'aigrement', 'de façon acide', 'au goût piquant']	['vivement', 'amèrement', 'caustiquement', 'avec acerbité', 'sarcastiquement']	['vinaigrette', 'vinaigre']	['dit']
en_17	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	['flour', 'powdery', 'mealy', 'milled', 'grain-based']	['hourly', 'time-based', 'per-hour', 'periodic', 'chronological']	['baker']	['paying', 'staff', 'rate']	flourly	homophonic	hourly	farineux	['farine', 'poudreux', 'farineux', 'moulu', 'à base de céréales']	['horaire', 'basé sur le temps', "à l'heure", 'périodique', 'chronologique']	['boulanger']	['paiement', 'personnel', 'tarif']
en_18	Old politicians never die, they just harangue in there.	harangue	homophonic	['lecture', 'rant', 'declaim', 'sermonize', 'orate', 'address']	['hang', 'persist', 'endure', 'persevere', 'remain', 'hold on']	['politicians']	['die', 'in there']	harangue	homophonic	hang	harangue	['sermon', 'diatribe', 'déclamer', 'sermonner', 'pérore', 'allocution']	['pendre', 'persister', 'endurer', 'persévérer', 'rester', 'tenir le coup']	['politiciens']	['mourir', 'tiens bon']
en_19	Some people find fire drills quite Alarming.	Alarming	homographic	['frightening', 'scary', 'startling', 'disturbing', 'shocking']	['ringing', 'signaling', 'alerting', 'sounding', 'warning']	['people']	['fire drills']	alarming	homophonic	alarm	Alarmant	['effrayant', 'inquiétant', 'saisissant', 'perturbant', 'choquant']	['sonnant', 'signalant', 'alertant', 'retentissant', 'avertissant']	['personnes']	["exercices d'incendie"]
en_20	Old florists never die, they just make alternative arrangements.	arrangements	homographic	['bouquets', 'floral displays', 'compositions', 'centerpieces', 'wreaths']	['plans', 'preparations', 'provisions', 'settlements', 'agreements']	['florists']	['die']	arrangements	homographic	arrangements	arrangements	['bouquets', 'compositions florales', 'compositions', 'centres de table', 'couronnes']	['plans', 'préparatifs', 'dispositions', 'règlements', 'accords']	['fleuristes']	['mourir']
en_21	Get the stick, Rover! he called fetchingly.	fetchingly	homographic	['retrieving', 'collecting', 'bringing', 'recovering']	['attractively', 'charmingly', 'alluringly', 'pleasingly', 'winningly']	['Get', 'stick', 'Rover']	['called']	fetchingly	homophonic	fetch	séduisante	['rapporter', 'collecter', 'apporter', 'récupérer']	['de manière attrayante', 'charmamment', 'de façon séduisante', 'agréablement', 'de manière engageante']	['Va chercher', 'bâton', 'Rover']	['appelé']
en_22	The fire chief was always asked burning questions.	burning	homographic	['blazing', 'fiery', 'flaming', 'aflame', 'on fire']	['urgent', 'pressing', 'crucial', 'vital', 'intense']	['fire', 'chief']	['asked', 'questions']	burning	homographic	burning	brûlant	['flamboyant', 'ardent', 'en flammes', 'embrasé', 'en feu']	['urgent', 'pressant', 'crucial', 'vital', 'intense']	['feu', 'chef']	['posé', 'questions']
en_23	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	['perspire', 'swelter', 'exude moisture', 'glow', 'transpire']	['endure', 'wait anxiously', 'worry', 'fret', 'persevere']	['sauna']	['hid', 'gunman']	sweat	homographic	sweat	transpirer	['transpirer', 'étouffer de chaleur', "exuder de l'humidité", 'luire', 'transpirer']	['endurer', 'attendre avec anxiété', "s'inquiéter", 'se tourmenter', 'persévérer']	['sauna']	['caché', 'tireur']
en_24	The astronomer made a claim about a well-known star, but it wasn't sirius.	sirius	homophonic	['Sirius', 'Dog Star', 'Alpha Canis Majoris', 'brightest star']	['serious', 'grave', 'earnest', 'solemn', 'sober']	['astronomer', 'star']	['claim']	sirius	homophonic	serious	sirius	['Sirius', "l'Étoile du Chien", 'Alpha Canis Majoris', "l'étoile la plus brillante"]	['sérieux', 'grave', 'sérieux', 'solennel', 'sobre']	['astronome', 'étoile']	['affirmation']
en_25	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.	beaux	homophonic	['beaux', 'suitors', 'admirers', 'escorts', 'boyfriends', 'sweethearts']	['bows', 'ribbons', 'knots', 'loops', 'ties', 'decorations']	['debutante', 'charming']	['satin', 'gown']	beaux	homophonic	bow	beaux	['beaux', 'prétendants', 'admirateurs', 'cavaliers', 'petits amis', 'amoureux']	['nœuds', 'rubans', 'nœuds', 'boucles', 'attaches', 'décorations']	['débutante', 'charmant']	['satin', 'robe']
en_26	Old professors never die, they just lose their class.	class	homographic	['course', 'lecture', 'students', 'lesson', 'seminar']	['elegance', 'dignity', 'style', 'sophistication', 'rank']	['professors']	['die']	class	homographic	class	classe	['cours', 'conférence', 'étudiants', 'leçon', 'séminaire']	['élégance', 'dignité', 'style', 'sophistication', 'rang']	['professeurs']	['mourir']
en_27	Pasteur was boiling about not being invited.	boiling	homographic	['fuming', 'angry', 'seething', 'enraged', 'furious', 'irate']	['heating', 'bubbling', 'scalding', 'steaming', 'simmering']	['not', 'being', 'invited']	['Pasteur']	boiling	homographic	boiling	bouillant	['fumant', 'en colère', 'bouillonnant', 'enragé', 'furieux', 'courroucé']	['chauffant', 'bouillonnant', 'ébouillantant', 'fumant', 'frémissant']	['ne pas', 'être', 'invité']	['Pasteur']
en_28	Sometimes a pencil sharpener is needed in order to make a good point.	point	homographic	['tip', 'nib', 'sharp end', 'spike', 'tapered end']	['argument', 'idea', 'reason', 'thesis', 'gist']	['pencil sharpener']	['make', 'good']	point	homographic	point	point	['pointe', 'plume', 'bout pointu', 'pointe', 'extrémité effilée']	['argument', 'idée', 'raison', 'thèse', "l'essentiel"]	['taille-crayon']	['marquer', 'bon']
en_29	Cooks have a lot of spice in their lives.	spice	homographic	['seasoning', 'flavoring', 'condiment', 'herb', 'aromatic']	['excitement', 'variety', 'zest', 'interest', 'vitality']	['Cooks']	['lives']	spice	homographic	spice	épice	['assaisonnement', 'arôme', 'condiment', 'herbe', 'aromate']	['excitation', 'variété', 'piquant', 'intérêt', 'vitalité']	['Cuisiniers']	['vies']
