id_en	shuffled_candidates_json	text_clean	discriminator_run1_json	discriminator_run1_error	discriminator_run1_model	discriminator_run1_model_id	discriminator_run1_version
201	"[{""id"":91280,""pun"":""J'ai dit au plombier que je voulais plus de pression. Il m'a augmenté. Je parlais de la douche, mais bon."",""run"":""claude""},{""id"":40755,""pun"":""Mon patron dit que je travaille bien sous pression. C'est gentil. Moi je croyais juste que la climatisation était cassée."",""run"":""claude""},{""id"":78438,""pun"":""Mon cardiologue m'a dit de réduire ma pression. J'ai licencié mon chef. Deux problèmes réglés d'un coup."",""run"":""claude""},{""id"":33560,""pun"":""Le voleur avoue tout sous pression. Logique — le commissaire avait commandé deux bières pression avant l'interrogatoire."",""run"":""claude""},{""id"":85773,""pun"":""Mon prof de yoga dit : 'Libérez-vous de la pression.' J'ai déboutonné ma chemise. Pas tout à fait ce qu'il voulait dire."",""run"":""claude""},{""id"":60894,""pun"":""J'ai voulu mettre la pression sur le voleur en me montrant à visage découvert. Il n'a pas bougé. En revanche, le pigeon sur ma tête a pris peur et s'est soulagé. Ça, c'était de la pression."",""run"":""claude""},{""id"":98852,""pun"":""On dit qu'il ne faut pas mettre les gens sous pression. Sauf les raisins — ceux-là méritent ce qui leur arrive."",""run"":""claude""},{""id"":92893,""pun"":""Le voleur m'a dit qu'il travaillait sous pression. Moi je pensais que c'était une métaphore, mais non — il faisait de la plongée."",""run"":""claude""},{""id"":35625,""pun"":""Le syndicat a décidé de mettre la pression sur le patron. Résultat : il est sorti tout plat. C'était un patron de couture."",""run"":""claude""},{""id"":29126,""pun"":""Le voleur était calme, sans pression. Moi aussi — j'avais oublié de recharger mon pistolet à eau."",""run"":""claude""},{""id"":22598,""pun"":""J'ai demandé à mon boulanger s'il était stressé. Il m'a dit : 'Je vis sous pression depuis toujours.' Normal, il fait des éclairs."",""run"":""claude""},{""id"":80608,""pun"":""Le cambrioleur voulait éviter toute pression. Il a choisi le mauvais métier — et le mauvais immeuble : c'était un cabinet de cardiologie."",""run"":""claude""}]"	A: I knew that by not concealing myself, I would be putting pressure on the thief. B: (Looks like the thief was the one applying pressure... On your pidgeony head, that is.)	"{""comedian"":[35625,22598,98852,78438,33560],""pun_expert"":[35625,33560,22598,92893,98852],""editor"":[98852,22598,35625,78438,33560],""translator"":[60894,29126,92893,33560,85773]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
202	"[{""id"":65611,""pun"":""A: Votre témoin, Maître — elle se nomme ? B: Mme Peau-Ridée, Votre Honneur. A: La cour va donc lisser les détails de cette Peau-Ridée avant de poursuivre !"",""run"":""claude""},{""id"":51229,""pun"":""A: Le nom du témoin ? B: Mme Vieillecoque, Votre Honneur. A: Parfait — la cour va ouvrir cette vieille coque et voir ce qu'elle cache !"",""run"":""claude""},{""id"":41542,""pun"":""A: Maître, votre témoin… elle s'appelle comment ? B: Mme Mégère, Votre Honneur. A: Parfait. La cour va dompter cette mégère avant d'aller plus loin !"",""run"":""claude""},{""id"":75419,""pun"":""A: Maître, renseignez-vous sur votre témoin, Mme… comment s'appelle-t-elle déjà ? B: Quelque chose comme 'Vieillecroûte', Votre Honneur. A: Alors le parquet va examiner cette vieille croûte de plus près !"",""run"":""claude""},{""id"":17469,""pun"":""A: Le nom du témoin, Maître ? B: Vieillenbourg, je pense. A: Alors on va vider ce vieux bourg de ses secrets avant de continuer !"",""run"":""claude""},{""id"":23943,""pun"":""A: Maître, votre témoin… son patronyme ? B: Mme Sorcière, je crois. A: Alors la cour va jeter un œil sur cette sorcière — et peut-être un sort aussi !"",""run"":""claude""},{""id"":96333,""pun"":""A: Le nom du témoin, s'il vous plaît. B: Mme Ridubac, Votre Honneur. A: Alors le parquet va se mettre au dos de cette Ridubac pour en savoir plus !"",""run"":""claude""},{""id"":95883,""pun"":""A: Maître, votre témoin ? B: Mme Grabataire, Votre Honneur. A: Bien, la cour va se pencher sur cette grabataire — prudemment, bien sûr !"",""run"":""claude""},{""id"":33479,""pun"":""A: Maître, ce témoin… son nom ? B: Quelque chose comme 'Cacochyme', Votre Honneur. A: Alors le parquet va examiner ce cacochyme de fond en comble !"",""run"":""claude""},{""id"":86639,""pun"":""A: Maître, le nom de votre témoin ? B: Mme Vieillarde, je crois. A: Bien, nous allons nous occuper de cette vieillarde avant de continuer !"",""run"":""claude""},{""id"":77843,""pun"":""A: Le nom de ce témoin ? B: Quelque chose comme 'Sachobag', Votre Honneur. A: Alors le tribunal va fouiller dans ce sac-à-main avant de poursuivre !"",""run"":""claude""},{""id"":94225,""pun"":""A: Comment s'appelle ce témoin ? B: Mme Harpieau, Votre Honneur. A: Alors la cour va plumer cette Harpieau avant de reprendre !"",""run"":""claude""}]"	"A: Mr. Edgeworth, please find out more about your witness, Ms. Windy... what was her name? B: Something ""Oldbag,"" Your Honor. A: Then the prosecution will look further into this Oldbag before we continue!"	"{""comedian"":[23943,95883,41542,86639,33479],""pun_expert"":[77843,75419,51229,96333,94225],""editor"":[95883,86639,41542,33479,23943],""translator"":[77843,75419,51229,17469,96333]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
203	"[{""id"":47686,""pun"":""— Prenez un supplément de fromage ! — Je n'en ai pas eu. — Alors un supplément par rapport à rien, c'est tout ce que vous voulez !"",""run"":""claude""},{""id"":32693,""pun"":""— Il faut cultiver davantage votre jardin. — Je n'ai pas de jardin. — Alors un pot de basilic, c'est déjà davantage !"",""run"":""claude""},{""id"":71644,""pun"":""Mon médecin m'a dit de prendre plus de repos. J'ai répondu : 'Mais je n'en prends aucun !' Il a dit : 'Exactement, vous ne pouvez pas en prendre moins.'"",""run"":""claude""},{""id"":67418,""pun"":""— Mets-en plus ! — Mais j'en ai mis zéro. — Bien, alors 'plus que zéro' c'est une quantité négligeable mais mathématiquement supérieure !"",""run"":""claude""},{""id"":98984,""pun"":""— Tu veux davantage de café ? — Je n'en ai pas eu du tout ! — Justement, zéro c'est le minimum, tu ne peux qu'avoir davantage !"",""run"":""claude""},{""id"":38615,""pun"":""— Vous avez un excédent de bagages. — Je n'ai qu'un sac. — Justement, par rapport à rien, c'est un excédent considérable."",""run"":""claude""},{""id"":92487,""pun"":""— Je veux en savoir plus sur rien. — Ah, alors vous savez déjà l'essentiel !"",""run"":""claude""},{""id"":20153,""pun"":""— Prenez donc encore du thé. — Je n'en ai pas encore eu, donc je ne peux pas en prendre encore. — Vous voulez dire que vous ne pouvez pas en prendre MOINS : il est très facile d'en prendre plus que rien."",""run"":""claude""},{""id"":14507,""pun"":""— Prenez encore un peu de patience. — Je n'en ai aucune. — Alors la bonne nouvelle, c'est que vous ne pouvez qu'en avoir davantage !"",""run"":""claude""},{""id"":72858,""pun"":""Le prof : 'Ajoutez encore un effort !' L'élève : 'Je n'ai fait aucun effort.' Le prof : 'Parfait, n'importe quel effort sera déjà de trop !'"",""run"":""claude""},{""id"":70540,""pun"":""— Tu pourrais faire preuve d'un surcroît de gentillesse. — Je n'en montre aucune. — Exactement, le moindre sourire sera un surcroît spectaculaire."",""run"":""claude""},{""id"":31271,""pun"":""— J'ai besoin de plus d'amour dans ma vie. — Tu n'en as pas du tout ? — Non. — Alors tu es déjà au plus bas, tu ne peux qu'aller vers plus !"",""run"":""claude""}]"	A: Take some more tea. B: I've had nothing yet, so I can't take more. A: You mean you can't take LESS: it's very easy to take MORE than nothing.	"{""comedian"":[20153,98984,38615,14507,32693],""pun_expert"":[20153,98984,67418,14507,32693],""editor"":[20153,14507,98984,32693,70540],""translator"":[20153,98984,14507,67418,32693]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
204	"[{""id"":18764,""pun"":""A: Je vais découvrir la vérité, je creuse jusqu'en bas ! B: Tu creuses, tu creuses… t'inquiète, on te mettra une pierre dessus."",""run"":""claude""},{""id"":27286,""pun"":""A: Il y a anguille sous roche, je vais en avoir le cœur net ! B: À force de chercher le cœur des choses, tu vas finir cardiaque."",""run"":""claude""},{""id"":89296,""pun"":""A: Il y a quelque chose de suspect, je vais plonger dans le dossier ! B: Tu plonges tellement que tu vas finir maître-nageur."",""run"":""claude""},{""id"":95259,""pun"":""A: Il y a quelque chose de louche ici, je vais aller au fond des choses ! B: Je crois que tu t'es déjà assez enfoncé comme ça."",""run"":""claude""},{""id"":26085,""pun"":""A: Je vais lever le voile sur cette affaire ! B: Vu comme tu danses, lever le voile c'est surtout dangereux pour les spectateurs."",""run"":""claude""},{""id"":11362,""pun"":""A: Cette histoire a un dessous que je vais trouver ! B: Les dessous que tu trouves, c'est généralement dans la machine à laver."",""run"":""claude""},{""id"":78168,""pun"":""A: Cette affaire est trouble, je vais en trouver le dessous ! B: Les dessous de cette affaire, tu les portes déjà sur la tête."",""run"":""claude""},{""id"":96467,""pun"":""A: Je sens qu'il y a quelque chose de caché ici, je vais creuser ! B: Tu creuses tellement que tu vas finir par te retrouver en dessous de tout."",""run"":""claude""},{""id"":95698,""pun"":""A: Il se passe des trucs louches, je vais mettre les pieds dans le plat ! B: Tes pieds dans le plat, c'est déjà ce qu'on remarque en premier."",""run"":""claude""},{""id"":18266,""pun"":""A: Il y a quelque chose de planqué ici, je vais aller au fond ! B: Au fond, tu ressembles vraiment à un plongeur sans bouteille."",""run"":""claude""},{""id"":50849,""pun"":""A: Cette histoire a un fond suspect, je vais tout mettre à plat ! B: Tu l'as déjà mis à plat, toi."",""run"":""claude""},{""id"":66502,""pun"":""A: Cette affaire sent mauvais, je vais en trouver le fin fond ! B: Le fin fond, c'est toi qui le représentes le mieux en ce moment."",""run"":""claude""}]"	A: There's something suspicious here, and I'm going to get to the bottom of it! B: I think you've sunken quite low enough already.	"{""comedian"":[95259,50849,95698,11362,78168],""pun_expert"":[95259,96467,50849,78168,11362],""editor"":[95259,50849,95698,89296,26085],""translator"":[95259,96467,18266,50849,66502]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
205	"[{""id"":28685,""pun"":""— Ce que tu viens de dire était assez... explicite. — Explicite ? Oh là là, Maître, on ne vous apprend rien dans cette école de droit !"",""run"":""claude""},{""id"":26813,""pun"":""— Ce témoignage était assez... déshabillé de toute preuve. — Déshabillé ? Coquin, va !"",""run"":""claude""},{""id"":79984,""pun"":""— Ce que tu as dit était très... dévoilant. — Dévoilant ? Eh bien, pour un mariage, ça commence bien !"",""run"":""claude""},{""id"":16214,""pun"":""Ce que tu viens de dire est assez... révélateur. — Révélateur ? Oh, tu aimerais ça, toi... Petit coquin d'avocat... (et dans une chambre noire, en plus !)"",""run"":""claude""},{""id"":51315,""pun"":""— Votre déclaration était très... dénudée de sens. — Dénudée ? Maître, vous me faites rougir !"",""run"":""claude""},{""id"":62951,""pun"":""— Votre plaidoirie était très... topless. — Pardon ? — Je veux dire, sans dessus. Sans arguments dessus. Enfin bref."",""run"":""claude""},{""id"":37147,""pun"":""— Ta déposition était assez... légère. — Légère ? Oooh, vous aimeriez, hein, Maître Coquin..."",""run"":""claude""},{""id"":39084,""pun"":""— Ta confession était des plus... découvertes. — Des plus découvertes ? Maître, vous êtes un vrai libertin du barreau !"",""run"":""claude""},{""id"":75868,""pun"":""— Ce que vous avez dit là était très... nu. — Nu ? Maître, en voilà une plaidoirie d'avocat !"",""run"":""claude""},{""id"":28313,""pun"":""— Ce que tu viens de dire est assez... mis à nu. — Mis à nu ? Oooh, petit coquin en robe d'avocat..."",""run"":""claude""},{""id"":24261,""pun"":""— Votre argumentation est... transparente. — Transparente ? Oh, vous aimeriez voir à travers, n'est-ce pas, petit avocat coquin..."",""run"":""claude""},{""id"":51387,""pun"":""— Vos propos étaient vraiment... à fleur de peau. — À fleur de peau ? Maître, vous pensez à quoi, exactement ?"",""run"":""claude""}]"	A: What you said just right now was quite... revealing. B: Revealing? Oooh, you'd like that, wouldn't you. Naughty Mr. Lawyer...	"{""comedian"":[16214,28313,24261,51387,39084],""pun_expert"":[16214,28313,51315,75868,24261],""editor"":[16214,51387,24261,28313,39084],""translator"":[16214,28313,24261,51387,75868]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
206	"[{""id"":23777,""pun"":""Le cuisinier cajun regrettait d'avoir tout fait en une seule fois. Il avait raté la sauce — et sa vie."",""run"":""claude""},{""id"":30932,""pun"":""Le chef cajun regrettait ses choix culinaires. On dit qu'il portait une lourde roux."",""run"":""claude""},{""id"":84062,""pun"":""Le chef cajun faisait tout cuire le lundi. Le mardi, il ruminait — et le mercredi, il brûlait encore de l'intérieur. Cuirait-il toujours?"",""run"":""claude""},{""id"":48734,""pun"":""Il préparait son roux en une journée. Le reste du temps, il mijotait dans ses regrets — à feu doux."",""run"":""claude""},{""id"":43213,""pun"":""Le cuisinier faisait sa sauce base un seul jour. Les autres jours, il était dans la douleur — mais jamais dans la douceur."",""run"":""claude""},{""id"":45482,""pun"":""Il faisait son roux une fois par semaine. Ses collègues disaient qu'il était un homme à sauce unique — et à remords quotidiens."",""run"":""claude""},{""id"":92603,""pun"":""Le chef cajun préparait toujours son roux le lundi. Il ruminait le jour."",""run"":""claude""},{""id"":96613,""pun"":""Le cuisinier cajun ne faisait son roux qu'une fois par semaine. Les autres jours, il broyait du noir... et du beurre."",""run"":""claude""},{""id"":53025,""pun"":""Il cuisait tout son roux d'un coup. Ses apprentis doutaient — lui souffrait. C'est la différence entre un douteur et un douleur."",""run"":""claude""},{""id"":18458,""pun"":""Le cuisinier cajun faisait son roux le dimanche soir. C'était son mea culpa — et son fond de sauce."",""run"":""claude""},{""id"":52081,""pun"":""Le chef préparait tout son roux d'un coup. Il disait : 'Je ne regrette rien — sauf peut-être la farine.'"",""run"":""claude""},{""id"":64439,""pun"":""Il préparait tout son roux le vendredi. Le reste de la semaine, il s'en voulait — c'était sa croix."",""run"":""claude""}]"	A Cajun restaurant made all their sauce on one day for the week. The cook roux'ed the day.	"{""comedian"":[96613,30932,64439,52081,48734],""pun_expert"":[30932,64439,96613,48734,18458],""editor"":[52081,96613,48734,30932,18458],""translator"":[30932,96613,64439,48734,18458]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
207	"[{""id"":60460,""pun"":""Le maître d'hôtel n'est pas qu'une belle sonnette d'alarme — il sonne toujours juste."",""run"":""claude""},{""id"":89087,""pun"":""La réceptionniste était si belle que tous les clients sonnaient deux fois."",""run"":""claude""},{""id"":73906,""pun"":""Mon chef de salle se prend pour le battant du restaurant. Pourtant, côté service, ça sonne faux."",""run"":""claude""},{""id"":35487,""pun"":""Elle travaille à l'accueil et tout le monde la trouve belle. Normal, elle sonne toujours creux."",""run"":""claude""},{""id"":86415,""pun"":""Le maître d'hôtel dit qu'il est indispensable. Moi, je dis qu'il n'est que la belle cloche de service."",""run"":""claude""},{""id"":86835,""pun"":""À l'entrée du palace, la belle hôtesse accueille les clients. Franchement, rien que pour elle, ça vaut le coup de sonner."",""run"":""claude""},{""id"":36365,""pun"":""J'ai demandé au maître d'hôtel s'il était marié. Il m'a répondu : 'Non, je suis juste beau parleur.' Belle cloche, va !"",""run"":""claude""},{""id"":27125,""pun"":""La serveuse est si attrayante qu'elle n'a même pas besoin de sonner les clients — ils rappli­quent d'eux-mêmes."",""run"":""claude""},{""id"":87833,""pun"":""Mon maître d'hôtel est vraiment belle — enfin, je veux dire, il a une belle cloche."",""run"":""claude""},{""id"":19007,""pun"":""Elle est tellement belle que quand elle entre dans la salle, tout le monde retient son souffle — et le chef fait sonner sa cloche."",""run"":""claude""},{""id"":52672,""pun"":""Au restaurant, la belle hôtesse accueille tout le monde — c'est elle qui donne le la."",""run"":""claude""},{""id"":94060,""pun"":""Le maître d'hôtel prétend qu'il est le plus beau de la salle. Quel sonneur de cloches !"",""run"":""claude""}]"	A Maitre'D is more than just a door belle.	"{""comedian"":[36365,94060,87833,52672,86835],""pun_expert"":[87833,94060,36365,52672,86415],""editor"":[52672,86835,19007,27125,86415],""translator"":[87833,86415,94060,36365,52672]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
208	"[{""id"":67727,""pun"":""Le barman demande au Romain : « Vous voulez combien de bières ? » Il répond en levant deux doigts : « Cinq. » — « Ah, vous parlez chiffres romains. » — « Non, j'ai juste un doigt en moins. »"",""run"":""claude""},{""id"":38548,""pun"":""Le prof de latin dit à ses élèves : « Qui peut me donner deux exemples de chiffres romains ? » Un élève lève la main : « V et X. » — « Exact, c'est cinq et dix. » — « Ah non, moi je pensais à deux marques de voitures. »"",""run"":""claude""},{""id"":36607,""pun"":""Un Romain entre dans un bar, lève deux doigts en V et dit : « Cinq bières. » Le barman répond : « Victoire ou sobriété ? »"",""run"":""claude""},{""id"":58199,""pun"":""Un Romain entre dans un bar, pose deux doigts sur le comptoir. Le barman dit : « Ah, vous voulez un compte ? » — « Non, un conte. » — « Un conte de quoi ? » — « De cinq bières. »"",""run"":""claude""},{""id"":54492,""pun"":""Mon ami romain lève deux doigts pour saluer et repart avec cinq bières. Moi je lève cinq doigts et je repars avec une addition. C'est ça, la décimalisation."",""run"":""claude""},{""id"":63182,""pun"":""Un Romain entre dans un bar, lève 2 doigts et dit au barman : « Cinq bières, s'il vous plaît. »"",""run"":""claude""},{""id"":95232,""pun"":""Un Romain entre dans un bar et lève deux doigts. Le barman dit : « II bières ? » — « Non, V. » — « Monsieur confond ses chiffres. » — « Non, je suis juste bilingue en numéral. »"",""run"":""claude""},{""id"":94586,""pun"":""Un Romain entre dans un bar et dit : « Je voudrais un quinaire, s'il vous plaît. » Le barman lui sert cinq bières. — « Parfait, ça fait deux de trop. » — « Mais cinq moins deux font trois ! » — « En romain, II + III = V. »"",""run"":""claude""},{""id"":15928,""pun"":""Je fais un duo avec les chiffres romains : je montre deux doigts et on me donne cinq. C'est le seul duo où deux font cinq."",""run"":""claude""},{""id"":26366,""pun"":""Un comptable entre dans un bar et commande deux bières. Le barman lui dit : « Ça fait un compte rond. » Il répond : « Non, c'est un conte de fées — il n'y a jamais assez. »"",""run"":""claude""},{""id"":25777,""pun"":""Le comte leva deux doigts et dit : « Cinq bières. » Le barman répondit : « Vous comptez en romain ou en noble, Monsieur le Comte ? »"",""run"":""claude""},{""id"":50275,""pun"":""Un Romain lève deux doigts au barman. Celui-ci dit : « Deux bières ? » — « Non, cinq. » — « Ah, vous comptez pas comme tout le monde. » — « Je compte en latin, c'est classique. »"",""run"":""claude""}]"	"A Roman walks into a bar and raises 2 fingers and says to the bartender... ""Five beers, please."""	"{""comedian"":[63182,54492,25777,15928,95232],""pun_expert"":[63182,95232,15928,25777,50275],""editor"":[63182,54492,25777,50275,15928],""translator"":[63182,95232,50275,25777,54492]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
209	"[{""id"":41035,""pun"":""Les Incas construisaient des temples sans plans d'architecte. C'est Machu-Picchu-leux !"",""run"":""claude""},{""id"":31326,""pun"":""Les Incas avaient de l'or partout. C'était une civilisation im-Pérou-vable !"",""run"":""claude""},{""id"":82277,""pun"":""Pourquoi les Incas ne mentent jamais ? Parce que c'est in-Inca-cevable pour eux !"",""run"":""claude""},{""id"":95838,""pun"":""Vous connaissez la capitale du Pérou ? Lima ? C'est in-Lima-ginable que vous sachiez ça !"",""run"":""claude""},{""id"":52601,""pun"":""La Nouvelle-Calédonie dans un film d'action ? Ca-naque-ssitait vraiment un grand budget !"",""run"":""claude""},{""id"":34302,""pun"":""Un linguiste étudie le quechua et dit : 'Cette langue est tout à fait Quechua-ractéristique !'"",""run"":""claude""},{""id"":74496,""pun"":""Un élément sud-américain dans 'Le Seigneur des Anneaux' ? In-Andes-criptible !"",""run"":""claude""},{""id"":88020,""pun"":""Un conquistador arrive au Pérou et dit : 'Cette civilisation est tout sim-Pérou-ment extraordinaire !'"",""run"":""claude""},{""id"":23837,""pun"":""On m'a demandé si je croyais aux civilisations précolombiennes. Bien sûr ! C'est pas in-Inca-cevable !"",""run"":""claude""},{""id"":53634,""pun"":""Vous avez vu ce documentaire sur les Andes ? C'était Andes-criptible tellement c'était beau !"",""run"":""claude""},{""id"":74942,""pun"":""Les Incas avaient inventé un empire sans roue. In-Cuzco-ntestablement géniaux !"",""run"":""claude""},{""id"":19695,""pun"":""Un archéologue découvre le Machu Picchu et s'écrie : 'C'est in-Inca-royable !'"",""run"":""claude""}]"	"A South American element in ""The Princess Bride""? Incan-ceivable!"	"{""comedian"":[19695,74942,95838,41035,53634],""pun_expert"":[19695,74942,82277,23837,41035],""editor"":[19695,53634,88020,95838,74942],""translator"":[74496,23837,82277,19695,74942]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
210	"[{""id"":35717,""pun"":""L'empereureux hasard : quand un tsar naît sous une bonne étoile"",""run"":""claude""},{""id"":89030,""pun"":""L'encreur de l'empire : l'imprimeur officiel qui tamponnait les oukases avec ampleur"",""run"":""claude""},{""id"":13781,""pun"":""L'encreur impérial tamponnait chaque décret avec ampleur — c'était l'emperor's new groove"",""run"":""claude""},{""id"":41954,""pun"":""Un tsar est né — les astrologues ont vu une étoile, les économistes ont vu une note de frais"",""run"":""claude""},{""id"":12872,""pun"":""L'ampleur de l'empereur : quand le tsar prend trop de place sur la scène mondiale"",""run"":""claude""},{""id"":34487,""pun"":""Un tsar est né : enfin une star avec le pouvoir absolu !"",""run"":""claude""},{""id"":20391,""pun"":""Un tsar est né — et maintenant il veut tout régner"",""run"":""claude""},{""id"":90832,""pun"":""Il voulait être tsar, il est devenu star — la différence ? Le budget costumes."",""run"":""claude""},{""id"":40639,""pun"":""Naître tsar, c'est bien. Naître star, c'est mieux. Naître les deux ? C'est Poutine."",""run"":""claude""},{""id"":42457,""pun"":""Être tsar ou être star ? En Russie, on règle ça par oukase."",""run"":""claude""},{""id"":98738,""pun"":""Le nouveau tsar est stellaire — il gouverne depuis son étoile et ne descend jamais sur Terre"",""run"":""claude""},{""id"":14411,""pun"":""Un tsar est né — les autres autocrates ont aussitôt signé une pétition contre le vedettariat"",""run"":""claude""}]"	A Tsar is born-The Economist-26/10/17	"{""comedian"":[40639,90832,41954,14411,42457],""pun_expert"":[34487,20391,42457,40639,90832],""editor"":[90832,42457,40639,34487,14411],""translator"":[41954,14411,34487,90832,40639]}"		claude	anthropic/claude-sonnet-4.6	discriminator_run1_v3
