id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
en_1007	Save the whales, he spouted.	spouted	homographic	spouted	spouted	homographic	['uttered', 'said', 'declaimed', 'recited', 'shouted']	['sprayed', 'jetted', 'gushed', 'squirted', 'emitted water']	ERROR	[]	[]	ERROR	[]	[]
en_1015	If a town's people have low IQs is the population dense?	dense	homographic	dense	dense	homographic	['crowded', 'compact', 'thick', 'highly populated']	['stupid', 'dim-witted', 'thick-headed', 'slow-witted']	ERROR	[]	[]	ERROR	[]	[]
en_102	A skier retired because he was going downhill.	downhill	homographic	downhill	downhill	homographic	['descending', 'sloping', 'declivous', 'downward']	['deteriorating', 'declining', 'worsening', 'failing']	ERROR	[]	[]	ERROR	[]	[]
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	greater	grater	homophonic	['shredder', 'rasper', 'kitchen tool', 'zester']	['greater', 'larger', 'superior', 'more significant']	ERROR	[]	[]	ERROR	[]	[]
en_1031	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	in	inn	homophonic	['inn', 'hotel', 'lodge', 'tavern', 'hostel']	['in', 'stylish', 'fashionable', 'popular', 'trendy']	ERROR	[]	[]	ERROR	[]	[]
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	parquet	parkay	homophonic	['margarine', 'butter substitute', 'Parkay brand']	['parquet', 'oaken flooring', 'wood-block flooring', 'tiled wood']	ERROR	[]	[]	ERROR	[]	[]
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	bell	belle	homophonic	['Pilar', 'woman', 'beauty', 'lady']	['bell', 'chime', 'gong', 'clapper']	ERROR	[]	[]	ERROR	[]	[]
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	flatly	philately	homophonic	['flatly', 'directly', 'completely', 'categorically']	['philately', 'stamp collecting', 'postal study', 'philatelic']	ERROR	[]	[]	ERROR	[]	[]
en_1059	The whistling fisherman was always out of tuna.	tuna	homophonic	tune	tuna	homophonic	['fish', 'albacore', 'skipjack', 'seafood']	['tune', 'melody', 'song', 'pitch']	ERROR	[]	[]	ERROR	[]	[]
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	missing	missing	homographic	['failing to hit', 'failing to strike', 'shooting wide']	['lacking', 'failing to experience', 'omitting', 'neglecting']	ERROR	[]	[]	ERROR	[]	[]
