id_en	shuffled_candidates_json	text_clean	discriminator_run1_json	discriminator_run1_error	discriminator_run1_model	discriminator_run1_model_id	discriminator_run1_version
2801	"[{""id"":75968,""pun"":""Les mères protectrices sont souvent dans la lune, mais pour leur fils, elles sont prêtes à tout faire pour qu'il soit un garçon solaire."",""run"":""gemini""},{""id"":76825,""pun"":""Quand mon fils est né, j'ai eu un coup au cœur... et un énorme coup de soleil."",""run"":""gemini""},{""id"":75023,""pun"":""Ces parents gâtent leur fils au point d'en faire un centre héliocentrique : ils tournent tous autour du rejeton."",""run"":""gemini""},{""id"":41634,""pun"":""On dit que le fils est l'astre de la famille, mais quand il fait une crise, c'est surtout une éclipse totale du bon sens."",""run"":""gemini""},{""id"":24044,""pun"":""Adorer son fils, c'est bien, mais attention à l'insolation parentale : ça finit par taper sur le système."",""run"":""gemini""},{""id"":71139,""pun"":""Pourquoi les parents de jumeaux sont-ils bronzés ? Parce qu'ils ont deux fils qui rayonnent."",""run"":""gemini""},{""id"":66796,""pun"":""Ses parents pensent que leur fils est le centre de l'univers : c'est un culte du solstice de l'héritier."",""run"":""gemini""},{""id"":46044,""pun"":""Un père qui adore son fils au point d'étouffer tout le monde est une véritable source de chaleur humaine... ou juste un râleur qui brûle d'envie de s'en vanter."",""run"":""gemini""},{""id"":92751,""pun"":""Certains parents pratiquent l'héliophilie : ils ne voient que par leur fils, même quand il est à l'ombre de la bêtise."",""run"":""gemini""},{""id"":73298,""pun"":""Ma mère dit que je suis son rayon de soleil, c'est pour ça qu'elle m'envoie toujours balader dehors."",""run"":""gemini""},{""id"":99818,""pun"":""Mon fils est tellement brillant que je dois porter des lunettes de soleil pour lui changer ses couches."",""run"":""gemini""},{""id"":63152,""pun"":""Le fils de l'astronome est tellement gâté qu'il se prend pour la Grande Ourse : il mène tout le monde par le bout du nez."",""run"":""gemini""}]"	Some doting parents are son worshipers.	"{""comedian"":[99818,73298,71139,41634,76825],""pun_expert"":[71139,75023,24044,92751,75968],""editor"":[71139,76825,73298,75023,41634],""translator"":[75023,92751,66796,24044,71139]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2802	"[{""id"":87782,""pun"":""Son argument était tellement vide qu'il l'a appelé un 'blanc de poulet'."",""run"":""gemini""},{""id"":90591,""pun"":""Pour un intellectuel, manger du salami, c'est vraiment de la faim d'esprit."",""run"":""gemini""},{""id"":10215,""pun"":""Un mensonge en tranches, c'est juste un saucisson d'idées reçues."",""run"":""gemini""},{""id"":90507,""pun"":""Celui qui raconte des sottises devrait faire attention, on finit toujours par payer ses cotises."",""run"":""gemini""},{""id"":62705,""pun"":""Le boucher a fait une erreur, c'est une grosse méprise de tête."",""run"":""gemini""},{""id"":94272,""pun"":""Il m'a raconté sa vie, mais c'était du lard ou du cochon ?"",""run"":""gemini""},{""id"":12549,""pun"":""Donner son avis, c'est comme le saucisson : plus il y a de gras, moins il y a d'idées."",""run"":""gemini""},{""id"":77207,""pun"":""J'ai une théorie sur la charcuterie, mais elle est trop dure à avaler."",""run"":""gemini""},{""id"":49052,""pun"":""Les politiciens adorent les discours à la noix : ça finit toujours en jambon."",""run"":""gemini""},{""id"":23421,""pun"":""Il n'est pas bête, il est juste un peu trop saucissonné par ses préjugés."",""run"":""gemini""},{""id"":19730,""pun"":""Vendre de la charcuterie à un philosophe, c'est lui donner de la moelle à réflexion."",""run"":""gemini""},{""id"":39461,""pun"":""Quand la rumeur enfle, c'est souvent qu'on y a mis du boudin."",""run"":""gemini""}]"	Some food for thought is only baloney	"{""comedian"":[90591,19730,94272,87782,62705],""pun_expert"":[90591,62705,19730,90507,87782],""editor"":[94272,19730,77207,90591,87782],""translator"":[90591,19730,10215,12549,23421]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2803	"[{""id"":25847,""pun"":""L'aventurier cherchait des perles rares, il n'a récolté que des périls rares."",""run"":""gemini""},{""id"":52467,""pun"":""Les fous transforment leurs pires périls en leurs plus belles perles de mémoire."",""run"":""gemini""},{""id"":67734,""pun"":""À force de nager avec les huîtres, il a découvert que la sagesse est un péril de culture."",""run"":""gemini""},{""id"":92791,""pun"":""Mieux vaut une perle au collier qu'un péril au palier."",""run"":""gemini""},{""id"":66269,""pun"":""On a frôlé le péril de culture dans ce cours de joaillerie."",""run"":""gemini""},{""id"":88576,""pun"":""Dans l'océan de l'imprudence, on ne pêche pas de perles, on s'y péril."",""run"":""gemini""},{""id"":42158,""pun"":""L'huître de la Destinée nous donne parfois la perle, mais souvent le péril."",""run"":""gemini""},{""id"":73356,""pun"":""Sa vie est un collier de bêtises : chaque perle est un péril pour sa réputation."",""run"":""gemini""},{""id"":30175,""pun"":""Le bijoutier imprudent a fini par perdre toutes ses perles en s'exposant à de grands périls."",""run"":""gemini""},{""id"":67298,""pun"":""Certains ne tirent de leurs erreurs que des perles de sagesse, les autres n'y trouvent que des périls de sagesse."",""run"":""gemini""},{""id"":98724,""pun"":""Son CV est une vraie perle : on y risque sa vie à chaque ligne."",""run"":""gemini""},{""id"":73939,""pun"":""Il ne faut pas jeter ses périls aux pourceaux, ils risqueraient de les mordre."",""run"":""gemini""}]"	Some foolish people gain by experience many perils of wisdom.	"{""comedian"":[73939,98724,25847,73356,66269],""pun_expert"":[25847,92791,67298,66269,73356],""editor"":[92791,25847,73356,42158,30175],""translator"":[67298,52467,67734,42158,66269]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2804	"[{""id"":53613,""pun"":""J'ai croisé un pompiste très spirituel, il m'a dit que sa voiture était l'élance de son âme."",""run"":""gemini""},{""id"":78686,""pun"":""Le pompiste a été viré après sa première séance, car il n'avait aucune essence du service."",""run"":""gemini""},{""id"":53541,""pun"":""Le pompiste narcissique ne vend pas de carburant, il contemple son essence."",""run"":""gemini""},{""id"":16450,""pun"":""Certains patrons de stations sont si avares qu'ils comptent chaque goutte : c'est l'essence du profit."",""run"":""gemini""},{""id"":78579,""pun"":""On a demandé au pompiste s'il aimait son métier, il a répondu : C'est ma raison d'essence."",""run"":""gemini""},{""id"":96015,""pun"":""Un gérant de station qui réussit, c'est quelqu'un qui a de l'essence dans les idées."",""run"":""gemini""},{""id"":30954,""pun"":""À la pompe, les égoïstes ne partagent jamais : ils préfèrent garder le pistolet sur la tempe du profit."",""run"":""gemini""},{""id"":31116,""pun"":""La station-service du village a fermé : le gérant a pris la pompe de l'air."",""run"":""gemini""},{""id"":68663,""pun"":""Les propriétaires de stations sont égoïstes : pour eux, le client n'est qu'un pistolet pour faire du chiffre."",""run"":""gemini""},{""id"":36086,""pun"":""Un pompiste qui ne pense qu'à l'argent est un homme qui a le sens du profit, mais surtout le plein d'ambition."",""run"":""gemini""},{""id"":74790,""pun"":""Les pétroliers sont des gens formidables : ils ont l'essence de l'accueil."",""run"":""gemini""},{""id"":30596,""pun"":""Les gérants de stations-service n'ont pas d'amis, ils ne pensent qu'à leur propre essence."",""run"":""gemini""}]"	Some gas station owners are very self-serving.	"{""comedian"":[78579,78686,53541,74790,96015],""pun_expert"":[78579,78686,53541,74790,96015],""editor"":[78579,53541,96015,74790,16450],""translator"":[30596,53541,68663,30954,16450]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2805	"[{""id"":73816,""pun"":""Certains chevaux sont de vrais poètes : ils passent de la douleur à la douceur en un coup d'étrille."",""run"":""gemini""},{""id"":14782,""pun"":""Un cheval qui a des problèmes d'argent finit souvent sur la paille."",""run"":""gemini""},{""id"":36755,""pun"":""Les chevaux dépressifs aiment la musique, surtout quand c'est du poney-blues."",""run"":""gemini""},{""id"":51000,""pun"":""Quand un étalon est malheureux, il n'a plus de s'selle."",""run"":""gemini""},{""id"":83394,""pun"":""Le cavalier qui n'arrive pas à arrêter sa monture est un grand douteur."",""run"":""gemini""},{""id"":47684,""pun"":""Un cheval qui pleure, c'est un canasson en détresse."",""run"":""gemini""},{""id"":31483,""pun"":""On a demandé au cheval s'il voulait s'arrêter, il a répondu : 'Holà, doucement !'"",""run"":""gemini""},{""id"":29503,""pun"":""Pourquoi les chevaux de trait sont-ils sérieux ? Parce qu'ils n'ont pas d'humour au galop."",""run"":""gemini""},{""id"":25728,""pun"":""Pourquoi les chevaux sont-ils si tristes ? Parce qu'ils finissent toujours par avoir un coup de bride."",""run"":""gemini""},{""id"":39743,""pun"":""Il n'y a pas d'espoir pour ce cheval : il est au bout du rouleau de foin."",""run"":""gemini""},{""id"":40906,""pun"":""Le cheval fâché a dit à son cavalier : 'Tu me brides les côtes !'"",""run"":""gemini""},{""id"":38570,""pun"":""Pourquoi les chevaux ne votent-ils pas ? Parce qu'ils ont peur du scrutin de bride."",""run"":""gemini""}]"	Some horses cause their owners a lot of woe.	"{""comedian"":[14782,36755,51000,38570,31483],""pun_expert"":[51000,36755,38570,14782,40906],""editor"":[14782,29503,31483,36755,39743],""translator"":[51000,25728,47684,14782,39743]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2806	"[{""id"":57455,""pun"":""Les blagues de vieux garçons finissent toujours par être périmées, alors ils cherchent une nouvelle date."",""run"":""gemini""},{""id"":23368,""pun"":""Il a voulu se marier avec une montre pour ne jamais rater ses rendez-vous, c'était une histoire de temps."",""run"":""gemini""},{""id"":15892,""pun"":""Un historien ne reste jamais célibataire : il finit toujours par sortir avec une antiquité."",""run"":""gemini""},{""id"":31954,""pun"":""Elle pensait que son mariage était un conte de fées, mais c'était juste un compte à rebours."",""run"":""gemini""},{""id"":92967,""pun"":""Il y a des histoires qui sont dépassées, et d'autres qui finissent au lit parce qu'elles sont de mèche."",""run"":""gemini""},{""id"":37593,""pun"":""Certaines blagues deviennent vieilles, d'autres se marient car elles ont trouvé leur date d'expiration."",""run"":""gemini""},{""id"":53725,""pun"":""Pourquoi les archéologues sont-ils de bons maris ? Parce que plus leurs femmes vieillissent, plus ils s'intéressent à elles."",""run"":""gemini""},{""id"":81167,""pun"":""Pourquoi les vieux calendriers ne se sentent-ils jamais seuls ? Parce qu'ils finissent toujours par trouver une date."",""run"":""gemini""},{""id"":55899,""pun"":""Les vieux couples sont comme les antiquités : ils ont beaucoup d'histoire, mais ils craquent de partout."",""run"":""gemini""},{""id"":24383,""pun"":""Le mariage, c'est comme les vieilles chansons : une fois qu'on a fait le tour, on change de disque."",""run"":""gemini""},{""id"":24828,""pun"":""On dit que l'amour n'a pas d'âge, mais certains mariages ont sérieusement besoin d'un ravalement de façade."",""run"":""gemini""},{""id"":47626,""pun"":""Certains rapports sont obsolètes, d'autres sont charnels car ils ont de la bouteille."",""run"":""gemini""}]"	Some jokes get dated, other jokes get married.	"{""comedian"":[53725,81167,15892,57455,31954],""pun_expert"":[81167,57455,15892,53725,37593],""editor"":[53725,15892,81167,31954,55899],""translator"":[37593,57455,81167,31954,24383]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2807	"[{""id"":21195,""pun"":""Le professeur de géométrie a fait faillite car il n'avait aucune règle."",""run"":""gemini""},{""id"":80900,""pun"":""Les géomètres font toujours de bons garants car ils connaissent tous les angles."",""run"":""gemini""},{""id"":52058,""pun"":""On m'a proposé un crédit à taux variable, j'ai répondu que je n'aimais pas les inconnues."",""run"":""gemini""},{""id"":99278,""pun"":""Pour obtenir un prêt, il faut être au sommet de sa forme, sinon c'est le triangle des Bermudes."",""run"":""gemini""},{""id"":86366,""pun"":""Un comptable qui fait de la géométrie finit toujours par arrondir les angles."",""run"":""gemini""},{""id"":48378,""pun"":""Quand un mathématicien achète une maison, il vérifie surtout les tangentes."",""run"":""gemini""},{""id"":79441,""pun"":""Le prêt immobilier était complexe, les intérêts étaient devenus imaginaires."",""run"":""gemini""},{""id"":88294,""pun"":""Les profs de maths n'aiment pas signer les contrats : ils ont trop peur de cosinus."",""run"":""gemini""},{""id"":48795,""pun"":""Le banquier mathématicien a refusé mon prêt : il a trouvé que ma situation manquait de sinus."",""run"":""gemini""},{""id"":32903,""pun"":""Il ne faut jamais prêter d'argent à un triangle rectangle, il finit toujours par faire une hypoténuse."",""run"":""gemini""},{""id"":71566,""pun"":""Ne demandez pas de crédit à un compas, il ne tourne jamais rond."",""run"":""gemini""},{""id"":88607,""pun"":""Pourquoi les matheux ne signent-ils rien ? Car ils ne veulent pas être co-sinusataires."",""run"":""gemini""}]"	Some mathematicians are reluctant to cosine a loan.	"{""comedian"":[21195,88607,86366,52058,88294],""pun_expert"":[88607,21195,88294,86366,52058],""editor"":[21195,86366,52058,88607,80900],""translator"":[88607,88294,48795,79441,52058]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2808	"[{""id"":45701,""pun"":""Pourquoi le lichen ne sort-il jamais ? Parce qu'il est déjà très attaché."",""run"":""gemini""},{""id"":71499,""pun"":""Comment appelle-t-on un lichen qui a beaucoup de succès ? Une célébri-thalle."",""run"":""gemini""},{""id"":96499,""pun"":""Quand une algue tombe amoureuse d'un champignon, c'est une sacrée lichen d'amitié."",""run"":""gemini""},{""id"":37790,""pun"":""Deux lichens discutent : 'Tu trouves pas que c'est lent ?' 'Non, c'est juste notre rythme de croisière.'"",""run"":""gemini""},{""id"":90876,""pun"":""Un lichen qui ne sait pas où il habite est un lichen-perdu."",""run"":""gemini""},{""id"":44694,""pun"":""Le lichen est un grand sportif : il pratique le tai-chi dans les taillis."",""run"":""gemini""},{""id"":16311,""pun"":""L'algue a dit au champignon : 'Entre nous, c'est du solide, on fait symbiose à part.'"",""run"":""gemini""},{""id"":30562,""pun"":""Le lichen est un vrai parasite de l'amour : il a le béguin pour l'écorce."",""run"":""gemini""},{""id"":20740,""pun"":""On a demandé au lichen s'il aimait l'arbre, il a répondu : 'J'ai un penchant pour lui.'"",""run"":""gemini""},{""id"":97714,""pun"":""L'arbre a demandé au lichen : 'Tu m'aimes ?' Le lichen a répondu : 'Je m'accroche !'"",""run"":""gemini""},{""id"":24571,""pun"":""Le lichen est très pieux : il a une croissance sans limites."",""run"":""gemini""},{""id"":89772,""pun"":""Qu'est-ce qui est vert, qui colle aux arbres et qui fait de la gym ? Un lichen en pleine flexion."",""run"":""gemini""}]"	Some moss took a lichen to a tree.	"{""comedian"":[71499,16311,97714,45701,96499],""pun_expert"":[71499,96499,16311,90876,89772],""editor"":[45701,97714,16311,20740,37790],""translator"":[97714,20740,45701,96499,30562]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2809	"[{""id"":79093,""pun"":""Les vendeurs de disques vivent souvent dans des quartiers CD."",""run"":""gemini""},{""id"":36399,""pun"":""Pourquoi les DJ ne vont-ils jamais en prison ? Parce qu'ils ont toujours des platines pour s'évader."",""run"":""gemini""},{""id"":41029,""pun"":""Ma chaîne hi-fi est tombée en panne, j'ai les boules de cristal."",""run"":""gemini""},{""id"":95956,""pun"":""Un ténor qui se perd en mer, c'est un homme à la Fa."",""run"":""gemini""},{""id"":72629,""pun"":""Pour vendre des albums de rap, il faut avoir beaucoup de caisse claire."",""run"":""gemini""},{""id"":47331,""pun"":""Les musiciens adorent les frites car elles sont toujours en plein dans le sel."",""run"":""gemini""},{""id"":11292,""pun"":""Comment appelle-t-on un CD qui fait de la musculation ? Un disque de fonte."",""run"":""gemini""},{""id"":22173,""pun"":""Les musiciens classiques sont très pieux : ils passent leur temps à l'autel de la musique."",""run"":""gemini""},{""id"":98373,""pun"":""Un piano qui tombe dans un escalier, ça donne des bémols partout."",""run"":""gemini""},{""id"":54027,""pun"":""Le groupe de rock s'est séparé car ils n'avaient plus d'atomes crochus, juste des atomes de croche."",""run"":""gemini""},{""id"":89817,""pun"":""Un CD qui ne tourne pas rond, c'est forcément un disque dur."",""run"":""gemini""},{""id"":75661,""pun"":""Les musiciens n'aiment pas la corruption, ils préfèrent les pots-de-vinyle."",""run"":""gemini""}]"	Some music stores are in a CD part of town.	"{""comedian"":[75661,79093,95956,54027,11292],""pun_expert"":[79093,75661,95956,54027,11292],""editor"":[79093,75661,95956,11292,54027],""translator"":[79093,75661,89817,11292,72629]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
2810	"[{""id"":72575,""pun"":""Pourquoi les chefs d'orchestre ne se perdent jamais en chantant ? Parce qu'ils connaissent toujours l'air de rien."",""run"":""gemini""},{""id"":41745,""pun"":""Un compositeur de livrets qui gagne au loto s'écrie : 'Enfin je livret une vie de château !'"",""run"":""gemini""},{""id"":60803,""pun"":""Les chanteurs baroques sont très zen : ils ne se font jamais de bile, ils se font des bémols."",""run"":""gemini""},{""id"":64877,""pun"":""Quand un chanteur d'opéra fait une erreur, il n'en fait pas tout un plat, juste un canard laqué."",""run"":""gemini""},{""id"":20165,""pun"":""À l'opéra, quand le rideau tarde à monter, les spectateurs commencent à avoir un coup de barre de mesure."",""run"":""gemini""},{""id"":76982,""pun"":""On a demandé à la diva si elle aimait sa loge. Elle a répondu : 'C'est mon aria de prédilection !'"",""run"":""gemini""},{""id"":24422,""pun"":""Quel est l'instrument préféré des jardiniers ? La trompette de la mort."",""run"":""gemini""},{""id"":56826,""pun"":""La cantatrice n'avait plus de voix, elle a dû porter plainte contre X pour vol-au-vent."",""run"":""gemini""},{""id"":22646,""pun"":""Pourquoi l'opéra est-il si propre ? Parce qu'il y a toujours un bon coup de balai."",""run"":""gemini""},{""id"":23871,""pun"":""Les ténors refusent de déménager en banlieue car ils préfèrent rester dans les beaux quartiers de l'opéra."",""run"":""gemini""},{""id"":11234,""pun"":""Le soprano a été arrêté par la police : il poussait trop loin la chansonnette."",""run"":""gemini""},{""id"":65658,""pun"":""Le chef d'orchestre est tombé dans la fosse, mais il s'en est bien tiré : il a gardé la mesure."",""run"":""gemini""}]"	Some orchestra conductors make their mark in the world of opera. They were in the right aria at the right time.	"{""comedian"":[72575,64877,60803,76982,65658],""pun_expert"":[76982,60803,72575,41745,64877],""editor"":[72575,76982,65658,64877,23871],""translator"":[76982,72575,65658,64877,60803]}"		gemini	google/gemini-3-flash-preview	discriminator_run1_v3
