id_en	text_clean	shuffled_candidates_json	discriminator_run2_borda_method	discriminator_run2_internal_weights_json	discriminator_run2_model_weights_json	discriminator_run2_borda_scores_json	discriminator_run2_borda_ranking_json	discriminator_run2_winner_id	discriminator_run2_winner_source	discriminator_run2_winner_original_id	discriminator_run2_winner_pun	discriminator_run2_winner_score	discriminator_run2_borda_error	discriminator_run2_borda_version
301	A fisherman tried boxing, but he only threw hooks.	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Le pêcheur est monté sur le ring : il n’envoyait que des crochets."",""id"":97172},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un passionné de tricot a essayé la boxe, mais il ne distribuait que des crochets."",""id"":18704},{""source"":""claude"",""original_id"":""55616"",""pun"":""Il a arrêté la boxe après une semaine. Il n'arrivait pas à faire la différence entre un crochet du droit et un hameçon du gauche."",""id"":93683},{""source"":""gemini"",""original_id"":""38211"",""pun"":""Un boxeur est allé à la pêche, mais il n'a rien pris car il ne donnait que des crochets."",""id"":55792}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""97172"":375.0,""18704"":300.0,""93683"":225.0,""55792"":100.0}"	"[{""id"":97172,""source"":""gpt_single"",""original_id"":"""",""score"":375.0,""pun"":""Le pêcheur est monté sur le ring : il n’envoyait que des crochets.""},{""id"":18704,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""Un passionné de tricot a essayé la boxe, mais il ne distribuait que des crochets.""},{""id"":93683,""source"":""claude"",""original_id"":""55616"",""score"":225.0,""pun"":""Il a arrêté la boxe après une semaine. Il n'arrivait pas à faire la différence entre un crochet du droit et un hameçon du gauche.""},{""id"":55792,""source"":""gemini"",""original_id"":""38211"",""score"":100.0,""pun"":""Un boxeur est allé à la pêche, mais il n'a rien pris car il ne donnait que des crochets.""}]"	97172	gpt_single		Le pêcheur est monté sur le ring : il n’envoyait que des crochets.	375.0		discriminator_run2_v3
302	A fisherman who was also a pianist was an expert with scales.	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Pêcheur le matin, pianiste le soir, il faisait ses gammes sans jamais perdre une écaille."",""id"":87303},{""source"":""gemini"",""original_id"":""10876"",""pun"":""Un saumon qui joue Mozart, c'est un poisson qui remonte la portée."",""id"":65631},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un pêcheur qui était aussi pianiste ne manquait jamais de touches."",""id"":54097},{""source"":""claude"",""original_id"":""43178"",""pun"":""Le pêcheur-pianiste aimait les gammes : il en montait, il en descendait, et parfois il en attrapait."",""id"":36596}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""54097"":375.0,""65631"":275.0,""87303"":225.0,""36596"":125.0}"	"[{""id"":54097,""source"":""gemini_pro_single"",""original_id"":"""",""score"":375.0,""pun"":""Un pêcheur qui était aussi pianiste ne manquait jamais de touches.""},{""id"":65631,""source"":""gemini"",""original_id"":""10876"",""score"":275.0,""pun"":""Un saumon qui joue Mozart, c'est un poisson qui remonte la portée.""},{""id"":87303,""source"":""gpt_single"",""original_id"":"""",""score"":225.0,""pun"":""Pêcheur le matin, pianiste le soir, il faisait ses gammes sans jamais perdre une écaille.""},{""id"":36596,""source"":""claude"",""original_id"":""43178"",""score"":125.0,""pun"":""Le pêcheur-pianiste aimait les gammes : il en montait, il en descendait, et parfois il en attrapait.""}]"	54097	gemini_pro_single		Un pêcheur qui était aussi pianiste ne manquait jamais de touches.	375.0		discriminator_run2_v3
303	A flat rate is the monthly rent for an apartment.	"[{""source"":""claude"",""original_id"":""93511"",""pun"":""Forfait mensuel pour un appartement : c'est ce qu'on appelle loger à plat tarif."",""id"":83244},{""source"":""gemini"",""original_id"":""26463"",""pun"":""Pourquoi le loyer est-il si bas ? Parce que c'est un logement de base."",""id"":19205},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Le loyer de mon appart, c’est un tarif tout plat : il ne monte jamais."",""id"":84964},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""En toute logique, le loyer d'un studio devrait pouvoir se régler avec une seule pièce."",""id"":80390}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""80390"":325.0,""19205"":275.0,""84964"":250.0,""83244"":150.0}"	"[{""id"":80390,""source"":""gemini_pro_single"",""original_id"":"""",""score"":325.0,""pun"":""En toute logique, le loyer d'un studio devrait pouvoir se régler avec une seule pièce.""},{""id"":19205,""source"":""gemini"",""original_id"":""26463"",""score"":275.0,""pun"":""Pourquoi le loyer est-il si bas ? Parce que c'est un logement de base.""},{""id"":84964,""source"":""gpt_single"",""original_id"":"""",""score"":250.0,""pun"":""Le loyer de mon appart, c’est un tarif tout plat : il ne monte jamais.""},{""id"":83244,""source"":""claude"",""original_id"":""93511"",""score"":150.0,""pun"":""Forfait mensuel pour un appartement : c'est ce qu'on appelle loger à plat tarif.""}]"	80390	gemini_pro_single		En toute logique, le loyer d'un studio devrait pouvoir se régler avec une seule pièce.	325.0		discriminator_run2_v3
304	A flute teacher is a tutor.	"[{""source"":""claude"",""original_id"":""46924"",""pun"":""Un professeur de flûte traversière, c'est un tuteur transversal."",""id"":65195},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Mon prof de flûte, c’est le meilleur tuteur : il donne toujours les bons tuyaux."",""id"":96503},{""source"":""gemini"",""original_id"":""69378"",""pun"":""Pourquoi le prof de flûte a-t-il été arrêté ? Parce qu'il faisait du 'trafic d'influence'."",""id"":75220},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un professeur de flûte est un vrai tuteur."",""id"":91102}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""96503"":400.0,""65195"":250.0,""75220"":200.0,""91102"":150.0}"	"[{""id"":96503,""source"":""gpt_single"",""original_id"":"""",""score"":400.0,""pun"":""Mon prof de flûte, c’est le meilleur tuteur : il donne toujours les bons tuyaux.""},{""id"":65195,""source"":""claude"",""original_id"":""46924"",""score"":250.0,""pun"":""Un professeur de flûte traversière, c'est un tuteur transversal.""},{""id"":75220,""source"":""gemini"",""original_id"":""69378"",""score"":200.0,""pun"":""Pourquoi le prof de flûte a-t-il été arrêté ? Parce qu'il faisait du 'trafic d'influence'.""},{""id"":91102,""source"":""gemini_pro_single"",""original_id"":"""",""score"":150.0,""pun"":""Un professeur de flûte est un vrai tuteur.""}]"	96503	gpt_single		Mon prof de flûte, c’est le meilleur tuteur : il donne toujours les bons tuyaux.	400.0		discriminator_run2_v3
305	A fool and his head are easily parted!	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Un sot perd vite la tête : c’était pourtant tout son capital."",""id"":20739},{""source"":""gemini"",""original_id"":""63290"",""pun"":""Le riche héritier s'est fait décapiter ; c'est ce qu'on appelle perdre la tête et le capital."",""id"":68696},{""source"":""claude"",""original_id"":""67886"",""pun"":""Un idiot et sa pensée sont rarement ensemble — heureusement, au moins l'un des deux est bien pansé !"",""id"":99432},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Se faire guillotiner, ça coûte littéralement les yeux de la tête !"",""id"":99457}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""20739"":325.0,""68696"":300.0,""99457"":275.0,""99432"":100.0}"	"[{""id"":20739,""source"":""gpt_single"",""original_id"":"""",""score"":325.0,""pun"":""Un sot perd vite la tête : c’était pourtant tout son capital.""},{""id"":68696,""source"":""gemini"",""original_id"":""63290"",""score"":300.0,""pun"":""Le riche héritier s'est fait décapiter ; c'est ce qu'on appelle perdre la tête et le capital.""},{""id"":99457,""source"":""gemini_pro_single"",""original_id"":"""",""score"":275.0,""pun"":""Se faire guillotiner, ça coûte littéralement les yeux de la tête !""},{""id"":99432,""source"":""claude"",""original_id"":""67886"",""score"":100.0,""pun"":""Un idiot et sa pensée sont rarement ensemble — heureusement, au moins l'un des deux est bien pansé !""}]"	20739	gpt_single		Un sot perd vite la tête : c’était pourtant tout son capital.	325.0		discriminator_run2_v3
306	A former doctor, while auditioning for a play, broke his leg. But luckily, he could still make the cast.	"[{""source"":""gemini"",""original_id"":""77079"",""pun"":""Le comédien malchanceux a fini aux urgences, mais il reste optimiste : il fait partie de la distribution des soins."",""id"":47879},{""source"":""gpt_single"",""original_id"":"""",""pun"":""À l’audition, l’ancien médecin visait le théâtre ; il a surtout décroché le plâtre."",""id"":27456},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un médecin devenu acteur s'est fracturé la jambe dès sa première audition : pour le coup, c'est lui qui a dû essuyer les plâtres !"",""id"":35698},{""source"":""claude"",""original_id"":""73312"",""pun"":""Un ancien médecin a auditionné pour une pièce et s'est cassé la jambe. Heureusement, il connaissait bien le plâtre du rôle."",""id"":14460}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""35698"":400.0,""47879"":250.0,""27456"":225.0,""14460"":125.0}"	"[{""id"":35698,""source"":""gemini_pro_single"",""original_id"":"""",""score"":400.0,""pun"":""Un médecin devenu acteur s'est fracturé la jambe dès sa première audition : pour le coup, c'est lui qui a dû essuyer les plâtres !""},{""id"":47879,""source"":""gemini"",""original_id"":""77079"",""score"":250.0,""pun"":""Le comédien malchanceux a fini aux urgences, mais il reste optimiste : il fait partie de la distribution des soins.""},{""id"":27456,""source"":""gpt_single"",""original_id"":"""",""score"":225.0,""pun"":""À l’audition, l’ancien médecin visait le théâtre ; il a surtout décroché le plâtre.""},{""id"":14460,""source"":""claude"",""original_id"":""73312"",""score"":125.0,""pun"":""Un ancien médecin a auditionné pour une pièce et s'est cassé la jambe. Heureusement, il connaissait bien le plâtre du rôle.""}]"	35698	gemini_pro_single		Un médecin devenu acteur s'est fracturé la jambe dès sa première audition : pour le coup, c'est lui qui a dû essuyer les plâtres !	400.0		discriminator_run2_v3
307	A friend told me he dug a hole in my backyard and filled it with water. I thought he meant well.	"[{""source"":""gemini"",""original_id"":""37265"",""pun"":""Mon ami a creusé un trou profond dans mon jardin pour trouver de l'eau. Au fond, c'était un beau geste."",""id"":30484},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Mon ami m'a dit qu'il avait creusé un énorme trou dans mon jardin pour le remplir d'eau. Je me suis dit qu'il avait sûrement un bon fond !"",""id"":58699},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Mon pote a creusé un trou plein d’eau dans mon jardin : je le croyais bien intentionné, il était juste puits intentionné."",""id"":27689},{""source"":""claude"",""original_id"":""67805"",""pun"":""Un ami m'a creusé un puits dans le jardin. J'ai d'abord cru qu'il me voulait du bien. Puis j'ai compris qu'il me voulait du puits."",""id"":54413}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""58699"":375.0,""54413"":275.0,""30484"":200.0,""27689"":150.0}"	"[{""id"":58699,""source"":""gemini_pro_single"",""original_id"":"""",""score"":375.0,""pun"":""Mon ami m'a dit qu'il avait creusé un énorme trou dans mon jardin pour le remplir d'eau. Je me suis dit qu'il avait sûrement un bon fond !""},{""id"":54413,""source"":""claude"",""original_id"":""67805"",""score"":275.0,""pun"":""Un ami m'a creusé un puits dans le jardin. J'ai d'abord cru qu'il me voulait du bien. Puis j'ai compris qu'il me voulait du puits.""},{""id"":30484,""source"":""gemini"",""original_id"":""37265"",""score"":200.0,""pun"":""Mon ami a creusé un trou profond dans mon jardin pour trouver de l'eau. Au fond, c'était un beau geste.""},{""id"":27689,""source"":""gpt_single"",""original_id"":"""",""score"":150.0,""pun"":""Mon pote a creusé un trou plein d’eau dans mon jardin : je le croyais bien intentionné, il était juste puits intentionné.""}]"	58699	gemini_pro_single		Mon ami m'a dit qu'il avait creusé un énorme trou dans mon jardin pour le remplir d'eau. Je me suis dit qu'il avait sûrement un bon fond !	375.0		discriminator_run2_v3
308	A friend tried to make me say animal puns today but I thought they were boaring.	"[{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un ami a voulu me faire faire des jeux de mots sur les animaux aujourd'hui, mais j'ai trouvé ça so-porc-ifique."",""id"":22497},{""source"":""gemini"",""original_id"":""15227"",""pun"":""Le cerf qui ne voulait pas sortir était vraiment un animal des-bois-sé."",""id"":25065},{""source"":""claude"",""original_id"":""32595"",""pun"":""Mon ami voulait me faire des blagues sur les cochons. Je lui ai dit : 'Je t'en prie, c'est suidé d'avance.'"",""id"":57355},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Un pote m’a réclamé des calembours animaliers ; ceux sur les sangliers étaient sanglièrement barbants."",""id"":54630}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""54630"":400.0,""22497"":300.0,""57355"":175.0,""25065"":125.0}"	"[{""id"":54630,""source"":""gpt_single"",""original_id"":"""",""score"":400.0,""pun"":""Un pote m’a réclamé des calembours animaliers ; ceux sur les sangliers étaient sanglièrement barbants.""},{""id"":22497,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""Un ami a voulu me faire faire des jeux de mots sur les animaux aujourd'hui, mais j'ai trouvé ça so-porc-ifique.""},{""id"":57355,""source"":""claude"",""original_id"":""32595"",""score"":175.0,""pun"":""Mon ami voulait me faire des blagues sur les cochons. Je lui ai dit : 'Je t'en prie, c'est suidé d'avance.'""},{""id"":25065,""source"":""gemini"",""original_id"":""15227"",""score"":125.0,""pun"":""Le cerf qui ne voulait pas sortir était vraiment un animal des-bois-sé.""}]"	54630	gpt_single		Un pote m’a réclamé des calembours animaliers ; ceux sur les sangliers étaient sanglièrement barbants.	400.0		discriminator_run2_v3
309	A frightened bird dog that runs from everything is known as the Golden Retreater.	"[{""source"":""gpt_single"",""original_id"":"""",""pun"":""Il devait être Golden Retriever, mais dès qu’il voit un canard il bat en retraite : un vrai Golden Retraiteur."",""id"":62152},{""source"":""claude"",""original_id"":""53683"",""pun"":""Notre Golden a peur de tout et dort toute la journée. C'est officiellement un Golden Retrayé."",""id"":63178},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un chien peureux qui bat en retraite au moindre bruit, on appelle ça un Golden Retraiteur."",""id"":34090},{""source"":""gemini"",""original_id"":""24611"",""pun"":""Comment appelle-t-on un chien qui fuit toujours ? Un Golden Retraité."",""id"":99877}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""62152"":350.0,""34090"":300.0,""99877"":250.0,""63178"":100.0}"	"[{""id"":62152,""source"":""gpt_single"",""original_id"":"""",""score"":350.0,""pun"":""Il devait être Golden Retriever, mais dès qu’il voit un canard il bat en retraite : un vrai Golden Retraiteur.""},{""id"":34090,""source"":""gemini_pro_single"",""original_id"":"""",""score"":300.0,""pun"":""Un chien peureux qui bat en retraite au moindre bruit, on appelle ça un Golden Retraiteur.""},{""id"":99877,""source"":""gemini"",""original_id"":""24611"",""score"":250.0,""pun"":""Comment appelle-t-on un chien qui fuit toujours ? Un Golden Retraité.""},{""id"":63178,""source"":""claude"",""original_id"":""53683"",""score"":100.0,""pun"":""Notre Golden a peur de tout et dort toute la journée. C'est officiellement un Golden Retrayé.""}]"	62152	gpt_single		Il devait être Golden Retriever, mais dès qu’il voit un canard il bat en retraite : un vrai Golden Retraiteur.	350.0		discriminator_run2_v3
310	A gambling gardener usually hedges his bets.	"[{""source"":""gemini"",""original_id"":""21471"",""pun"":""Pourquoi le jardinier a-t-il été ruiné au poker ? Parce qu'il a fait tapis."",""id"":73809},{""source"":""claude"",""original_id"":""22632"",""pun"":""Au casino, le jardinier mise toujours sur le vert."",""id"":88445},{""source"":""gemini_pro_single"",""original_id"":"""",""pun"":""Un jardinier joueur prévoit toujours une bonne couverture pour éviter de se planter."",""id"":14423},{""source"":""gpt_single"",""original_id"":"""",""pun"":""Pour couvrir ses paris, le jardinier flambeur a souscrit une assurance-haie-vie."",""id"":65151}]"	models_then_judges	"{""comedian"":25.0,""pun_expert"":25.0,""editor"":25.0,""translator"":25.0}"	"{""gpt"":100.0}"	"{""65151"":325.0,""88445"":275.0,""14423"":225.0,""73809"":175.0}"	"[{""id"":65151,""source"":""gpt_single"",""original_id"":"""",""score"":325.0,""pun"":""Pour couvrir ses paris, le jardinier flambeur a souscrit une assurance-haie-vie.""},{""id"":88445,""source"":""claude"",""original_id"":""22632"",""score"":275.0,""pun"":""Au casino, le jardinier mise toujours sur le vert.""},{""id"":14423,""source"":""gemini_pro_single"",""original_id"":"""",""score"":225.0,""pun"":""Un jardinier joueur prévoit toujours une bonne couverture pour éviter de se planter.""},{""id"":73809,""source"":""gemini"",""original_id"":""21471"",""score"":175.0,""pun"":""Pourquoi le jardinier a-t-il été ruiné au poker ? Parce qu'il a fait tapis.""}]"	65151	gpt_single		Pour couvrir ses paris, le jardinier flambeur a souscrit une assurance-haie-vie.	325.0		discriminator_run2_v3
