id_en	text_clean	manual_alternative	predicted_alternative	predicted_location	predicted_type
en_6789	There was a sale at the fish market today. I went to see what was the catch.	catch	catch	catch	homographic
en_3677	She was suspected of stealing a brooch but they couldn't pin it on her.	pin	pin	pin	homographic
en_4418	"When asked by her co-workers whether they should bring a gift to her birthday party, Mary replied,"" You should know that all I'm interested in is your presence."""	presents	presence	presence	homographic
en_4428	I want to buy that big diamond, he said hopefully.	hopefully	hopeful	hopefully	homophonic
en_6161	Camille relocated to Little Italy: They made her a cougher; she couldn't refuse	offer	cougher	cougher	homophonic
en_2829	The lumber company downsized. They got rid of the deadwood.	deadwood	deadwood	deadwood	homographic
en_7208	It was the first time she'd seen a live sponge on display, and she really soaked it in.	soaked	soaked	soaked	homographic
en_1494	Some cardiologists are heartless.	heartless	hartless	heartless	homophonic
en_1370	Old chemists never die, they just stop reacting.	reacting	rocketing	reacting	homophonic
en_4921	A noun and a verb were dating but they broke up because the noun was too possessive.	possesive	two	too	homophonic
en_2630	Early nuclear experimenters discovered an element of surprise.	element	surprise	surprise	homographic
en_4113	My uncle developed a strange vulgar habit. He would only cuss when he'd eat chicken. The doctor said he has seen this happen in some cases. Too much chicken can produce a fowl mouth.	foul	foul	fowl	homophonic
en_1282	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	gallon	galyean	galleon	homophonic
en_5205	Many people think that Edgar Allan Poe was a raven madman.	raving	madmen	madman	homophonic
en_3799	I'm a mathematician, he added summarily.	sum	simerly	summarily	homophonic
en_4025	Businesses selling pleasure boats often have a sail.	sale	sale	sail	homophonic
en_5620	Our garden hose was damaged yesterday, and I couldn't get to the leek without getting wet.	leak	leak	leek	homophonic
en_156	A new type of broom came out, it is sweeping the nation.	sweeping	nation	nation	homographic
en_3291	Have you ever been whitewater rafting? he asked rapidly.	rapidly	raptly	rapidly	homophonic
en_8296	Old cheese makers never die, they just lose their whey	way	waye	whey	homophonic
en_4010	Old plagiarists never die, they just steal away.	steal	steel	steal	homophonic
en_7125	A boating accident between the yacht, Red Dawn, and the schooner, Blue Lagoon, left the survivors marooned.	maroon	mourned	marooned	homophonic
en_7031	The doctor couldn't transfer the organs because he didn't have the guts to do it.	guts	cuts	guts	homophonic
en_5633	My friend's bakery burned down last night. Now his business is toast.	toast	toast	toast	homographic
en_425	Data got into so much trouble, her parents sent her packeting.	packing	pocketing	packeting	homophonic
