id_en	text_clean	manual_type	predicted_type
en_6789	There was a sale at the fish market today. I went to see what was the catch.	homographic	homographic
en_3677	She was suspected of stealing a brooch but they couldn't pin it on her.	homographic	homographic
en_4418	"When asked by her co-workers whether they should bring a gift to her birthday party, Mary replied,"" You should know that all I'm interested in is your presence."""	homophonic	homographic
en_4428	I want to buy that big diamond, he said hopefully.	homographic	homophonic
en_6161	Camille relocated to Little Italy: They made her a cougher; she couldn't refuse	homophonic	homophonic
en_2829	The lumber company downsized. They got rid of the deadwood.	homographic	homographic
en_7208	It was the first time she'd seen a live sponge on display, and she really soaked it in.	homographic	homographic
en_1494	Some cardiologists are heartless.	homographic	homophonic
en_1370	Old chemists never die, they just stop reacting.	homographic	homophonic
en_4921	A noun and a verb were dating but they broke up because the noun was too possessive.	homographic	homophonic
en_2630	Early nuclear experimenters discovered an element of surprise.	homographic	homographic
en_4113	My uncle developed a strange vulgar habit. He would only cuss when he'd eat chicken. The doctor said he has seen this happen in some cases. Too much chicken can produce a fowl mouth.	homophonic	homophonic
en_1282	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	homophonic	homophonic
en_5205	Many people think that Edgar Allan Poe was a raven madman.	homophonic	homophonic
en_3799	I'm a mathematician, he added summarily.	homophonic	homophonic
en_4025	Businesses selling pleasure boats often have a sail.	homophonic	homophonic
en_5620	Our garden hose was damaged yesterday, and I couldn't get to the leek without getting wet.	homophonic	homophonic
en_156	A new type of broom came out, it is sweeping the nation.	homographic	homographic
en_3291	Have you ever been whitewater rafting? he asked rapidly.	homographic	homophonic
en_8296	Old cheese makers never die, they just lose their whey	homophonic	homophonic
en_4010	Old plagiarists never die, they just steal away.	homographic	homophonic
en_7125	A boating accident between the yacht, Red Dawn, and the schooner, Blue Lagoon, left the survivors marooned.	homophonic	homophonic
en_7031	The doctor couldn't transfer the organs because he didn't have the guts to do it.	homographic	homophonic
en_5633	My friend's bakery burned down last night. Now his business is toast.	homographic	homographic
en_425	Data got into so much trouble, her parents sent her packeting.	homophonic	homophonic
en_4991	Workers in an upholstery business demanded a wage hike to cushion the high cost of living.	homographic	homophonic
en_3613	I bought myself fifty hamburgers and I've only ten left, he said with fortitude.	homophonic	homophonic
en_1360	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	homographic	homographic
en_2212	I bought me some of those new paper shirts. I don't like them-they're tearable.	homophonic	homophonic
en_6441	The dervish had so much endurance, he set a new whirled record.	homophonic	homographic
en_6365	Dry cleaners are often pressed for time.	homographic	homographic
en_1386	3.14159265, he said piously.	homophonic	homophonic
en_1273	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	homographic	homographic
en_6722	Communism is a complicated thing. You must think about from all sorts of Engels.	homophonic	homophonic
en_1181	Old tree surgeons never die, they are just uprooted.	homographic	homophonic
