id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
en_1007	Save the whales, he spouted.	spouted	homographic	spouted	spouted	homographic	['said', 'uttered', 'declared', 'proclaimed', 'announced']	['sprayed', 'gushed', 'spewed', 'ejected water', 'emitted']
en_1015	If a town's people have low IQs is the population dense?	dense	homographic	dense	dense	homographic	['thick', 'closely packed', 'compact', 'crowded']	['stupid', 'slow-witted', 'dull', 'unintelligent']
en_102	A skier retired because he was going downhill.	downhill	homographic	downhill	downhill	homographic	['skiing slope', 'decline', 'gradient', 'slope', 'run']	['declining', 'worsening', 'deteriorating', 'getting worse', 'in decline']
en_103	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	greater	grater	homophonic	['shredder', 'rasp', 'kitchen tool', 'zester']	['greater', 'superior', 'more significant', 'more evil']
en_1031	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	in	inn	homophonic	['hostel', 'hotel', 'lodging house', 'guesthouse']	['in', 'trendy', 'popular', 'fashionable']
en_1033	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	parquet	parkay	homophonic	['Parquet', 'wooden floor', 'flooring', 'tiles']	['Parkay', 'margarine', 'butter substitute', 'spread']
en_1047	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	bell	belle	homophonic	['beautiful woman', 'lady', 'girl']	['bell', 'chime', 'gong']
en_1051	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	flatly	philately	homophonic	['stamp collecting', 'postal history', 'stamp hobby']	['flatly (denied)', 'categorically (denied)', 'absolutely (denied)']
en_1059	The whistling fisherman was always out of tuna.	tuna	homophonic	tune	tuna	homophonic	['fish', 'seafood']	['tune', 'melody', 'song']
en_1072	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	missing	missing	homographic	['failing to hit the target', 'not hitting', 'failing', 'misfiring']	['not seeing', 'not perceiving', 'not experiencing', 'being unaware of']
en_108	Old bakers never die, they just stop making lots of dough.	dough	homographic	dough	dough	homographic	['bread', 'pastry', 'batter', 'breadstuff']	['money', 'cash', 'currency', 'bucks']
en_1084	The fireplaces of oriental doctors have an Asian flue.	flue	homophonic	flu	flue	homophonic	['chimney', 'vent', 'duct', 'smokestack']	['flu', 'influenza', 'illness', 'sickness']
en_1085	After he bought a mirror he became very reflective.	reflective	homographic	reflective	reflective	homographic	['thoughtful', 'contemplative', 'introspective', 'pensive']	['mirror-like', 'shiny', 'gleaming', 'glossy']
en_110	This food tastes of plutonium, he said glowingly.	glowingly	homographic	glowingly	glowingly	homographic	['enthusiastically', 'passionately', 'warmly', 'with praise']	['radiantly', 'shiningly', 'with a glow', 'emitting light']
en_1106	Old typists never die, they just lose their touch.	touch	homographic	touch	touch	homographic	['skill', 'dexterity', 'ability', 'competence']	['sense of feeling', 'tactile sensation', 'physical contact', 'hand pressure']
en_1107	This salad dressing has too much vinegar, he said acidly.	acidly	homophonic	acid	acidly	homographic	['sourly', 'sharply', 'with acidity', 'tartly']	['bitterly', 'sarcastically', 'cuttingly', 'caustically']
en_111	The local baker was paying his staff based on a flourly rate.	flourly	homophonic	hourly	flourly	homophonic	['flour', 'dough', 'milled grain']	['hourly', 'per hour', 'time-based']
en_1120	Old politicians never die, they just harangue in there.	harangue	homophonic	hang	harangue	homophonic	['lecture', 'rant', 'tirade', 'speech']	['hang', 'linger', 'remain', 'stay']
en_1121	Some people find fire drills quite Alarming.	alarming	homophonic	alarm	alarming	homographic	['frightening', 'disturbing', 'shocking', 'worrying', 'startling']	['ringing', 'sounding an alarm', 'triggering a warning device', 'setting off an alarm']
en_114	Old florists never die, they just make alternative arrangements.	arrangements	homographic	arrangements	arrangements	homographic	['plans', 'preparations', 'organization', 'setup']	['bouquets', 'floral designs', 'flower displays', 'compositions']
en_1144	Get the stick, Rover! he called fetchingly.	fetchingly	homophonic	fetch	fetchingly	homographic	['in a manner that attracts attention', 'charmingly', 'alluringly', 'attractively']	['in the manner of fetching (retrieving something, as a dog would)', 'retrieving', 'bringing back', 'collecting']
en_1146	The fire chief was always asked burning questions.	burning	homographic	burning	burning	homographic	['on fire', 'blazing', 'flaming']	['urgent', 'pressing', 'important']
en_1157	They hid from the gunman in a sauna where they could sweat it out.	sweat	homographic	sweat	sweat	homographic	['perspire', 'exude', 'emit moisture']	['endure anxiety', 'worry', 'be nervous', 'stress out']
en_116	The astronomer made a claim about a well-known star, but it wasn't sirius.	sirius	homophonic	serious	sirius	homophonic	['Sirius', 'the Dog Star', 'a star in Canis Major']	['serious', 'grave', 'earnest', 'solemn']
en_1160	Pink satin was perfect for her gown, yet the debutante appeared even more charming with beaux on either side.	beaux	homophonic	bow	beaux	homophonic	['admirers', 'boyfriends', 'suitors', 'companions']	['bows', 'loops', 'knot ties', 'ribbons']
en_1169	Old professors never die, they just lose their class.	class	homographic	class	class	homographic	['group', 'course', 'lecture', 'students']	['elegance', 'style', 'dignity', 'grace']
en_1171	Pasteur was boiling about not being invited.	boiling	homographic	boiling	boiling	homographic	['angry', 'furious', 'irate', 'enraged', 'resentful']	['heating', 'simmering', 'cooking', 'bringing to a boil', 'steaming']
en_1176	Sometimes a pencil sharpener is needed in order to make a good point.	point	homographic	point	point	homographic	['tip', 'end', 'nib', 'vertex']	['argument', 'idea', 'statement', 'message']
en_1178	Cooks have a lot of spice in their lives.	spice	homographic	spice	spice	homographic	['seasoning', 'herb', 'flavoring', 'condiment']	['variety', 'excitement', 'interest', 'zest']
en_1181	Old tree surgeons never die, they are just uprooted.	uprooted	homographic	uprooted	uprooted	homographic	['removed', 'extracted', 'taken out', 'pulled up']	['displaced', 'expelled', 'banished', 'forced to leave']
en_1184	The trucker explained that he was early because he had had no breaks.	breaks	homophonic	brakes	breaks	homophonic	['rests', 'pauses', 'stops', 'periods off']	['brakes (vehicle stopping mechanism)', 'stoppers', 'stopping devices']
en_1195	Old plumbers never die, they just pipe down.	pipe	homographic	pipe	pipe down	homographic	['become quiet', 'reduce noise', "lower one's voice", 'calm down']	['dismantle pipes', 'stop working as a plumber', 'remove pipes', 'cease pipe installation']
en_1204	The cat in northern Scandinavia always had a lapp to sit on.	lapp	homophonic	lap	lapp	homophonic	['Laplander', 'Sámi person', 'Scandinavian person']	['thigh', 'upper leg', 'seat', 'a place where a cat sits']
en_1210	The groundskeeper at a large cemetery was important because he had 5000 people under him.	under	homographic	under	under	homographic	['in charge of', 'reporting to', 'working for', 'beneath in hierarchy']	['physically below', 'buried beneath', 'subterranean', 'covered by']
en_1211	A little boy called his father who made balloons 'pop'.	pop	homographic	pop	pop	homographic	['father', 'dad', 'papa', 'daddy', 'old man']	['burst', 'explode', 'break', 'blow up', 'snap']
en_1223	Neuter your dog-an ounce of prevention is better than a pound of curs.	curs	homophonic	cures	curs	homophonic	['dogs', 'canines', 'pooches', 'mutts']	['curses', 'imprecations', 'expletives', 'swear words']
en_1227	He recommended the restaurant to me, and said he had no reservations.	reservations	homographic	reservations	reservations	homographic	['doubts', 'misgivings', 'hesitations', 'scruples', 'qualms']	['bookings', 'appointments', 'arrangements', 'seats', 'tables']
en_1231	The mortician was late for dinner because he was buried in his work.	buried	homographic	buried	buried	homographic	['engulfed', 'enveloped', 'covered', 'submerged', 'swamped']	['interred', 'entombed', 'laid to rest', 'put in the ground', 'committed to the earth']
en_1232	Old enumerators never die, they just lose their census	census	homophonic	senses	census	homophonic	['awareness', 'perception', 'consciousness', 'sense']	['population count', 'survey', 'poll', 'demographic inventory', 'census']
en_1233	The class took a field trip to a meat processing plant, but what they saw was just offal.	offal	homophonic	awful	offal	homophonic	['waste', 'byproducts', 'remains', 'refuse', 'discarded parts']	['awful', 'terrible', 'horrible', 'dreadful', 'bad']
en_1248	Old pilots never die, they just get more turbulent.	turbulent	homographic	turbulent	turbulent	homographic	['chaotic', 'unstable', 'unsteady', 'bumpy']	['tempestuous', 'unruly', 'disruptive', 'disorderly']
en_1249	Use your own toothbrush! he bristled.	bristled	homographic	bristled	bristled	homographic	['became angry', 'took offense', 'reacted sharply', 'got upset']	['stood up (hair)', 'rasped', 'stiffened', 'projected hairs']
