id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning
en_149	If you breathe heavily on the map, it will reveal topography, 'he said, with a sigh of relief.	relief	homographic	relief	relief	homographic	['comfort', 'reassurance', 'ease', 'solace', 'consolation']	['elevation', 'topography', 'contour', 'terrain', 'embossment', 'raised features']
en_1494	Some cardiologists are heartless.	heartless	homographic	heartless	heartless	homographic	['cruel', 'cold', 'merciless', 'unfeeling', 'callous', 'indifferent']	['without a heart', 'lacking a heart', 'missing a heart', 'cardiacless']
en_1509	The triangular computer monitor business was just a big pyramid screen.	screen	homophonic	scheme	scheme	homophonic	['scam', 'fraud', 'con', 'racket', 'swindle']	['screen', 'display', 'monitor', 'panel']
en_1515	Old pickpockets never die, they just steal away.	steal	homographic	steal	steal	homophonic	['steal', 'rob', 'pilfer', 'swipe', 'thieve', 'filch']	['steel', 'slip', 'fade', 'sneak', 'drift', 'steal away']
en_1524	Old key punch operators never die they just punch out.	punch	homographic	punch	punch out	homographic	['clock out', 'sign off', 'end shift', 'log off']	['die', 'expire', 'pass away', 'kick the bucket', 'bite the dust']
en_1528	Once ice cream was invented the problem was licked.	licked	homographic	licked	licked	homographic	['solved', 'resolved', 'overcome', 'defeated', 'conquered']	['tasted', 'lapped', 'tongued', 'savored']
en_1531	I'm mentioned in this book, he said contentedly.	contentedly	homophonic	content	contentedly	homophonic	['happily', 'satisfiedly', 'pleasedly', 'cheerfully']	['listed in contents', 'indexed', 'included in table of contents', 'catalogued']
en_1533	Some people take beautiful pictures and cut them into pieces. That's a puzzle to me.	puzzle	homographic	puzzle	puzzle	homographic	['mystery', 'enigma', 'riddle', 'conundrum', 'bewilderment']	['jigsaw', 'picture puzzle', 'brain teaser', 'mosaic']
en_1534	The thief broke into the music store and stole the lute.	lute	homophonic	loot	lute	homophonic	['lute', 'stringed instrument', 'chordophone', 'plucked instrument']	['loot', 'stolen goods', 'plunder', 'booty', 'spoils']
en_1536	The trampoline was on sale for fifty per cent off. Needless to say I jumped on the offer.	jumped	homographic	jumped	jumped	homographic	['leaped', 'bounced', 'sprang', 'vaulted']	['accepted eagerly', 'seized', 'grabbed', 'took advantage of', 'pounced on']
en_1539	Chickens can give some people a foul rash.	foul	homophonic	fowl	foul	homophonic	['disgusting', 'offensive', 'nasty', 'unpleasant', 'revolting']	['fowl', 'chicken', 'bird', 'hen', 'poultry']
en_1547	Herbivores come in browns and graze.	graze	homophonic	greys	graze	homophonic	['graze', 'feed', 'browse', 'pasture', 'crop', 'nibble']	['shades', 'hues', 'tones', 'greys', 'grays', 'tints']
en_1548	I wanted to bring a penguin home but my parents said that wasn't going to fly.	fly	homographic	fly	fly	homographic	['soar', 'glide', 'wing', 'flutter', 'take flight']	['succeed', 'work', 'pass muster', 'be accepted', 'be approved']
en_1551	Some mathematicians are reluctant to cosine a loan.	cosine	homophonic	cosign	cosine	homophonic	['cosine', 'trigonometric function', 'cos', 'ratio', 'mathematical term']	['co-sign', 'countersign', 'endorse', 'guarantee', 'back', 'support']
en_1553	A parade of horses went down Mane street.	mane	homophonic	main	Mane	homophonic	['Mane', 'main', 'primary', 'principal', 'central', 'major']	['mane', 'hair', 'coat', 'fur', 'locks', 'fleece']
en_156	A new type of broom came out, it is sweeping the nation.	sweeping	homographic	sweeping	sweeping	homographic	['cleaning', 'brushing', 'wiping', 'mopping', 'dusting']	['spreading', 'overtaking', 'dominating', 'pervading', 'overwhelming']
en_157	My name is Bea. I'm in the honey business..	bea	homophonic	bee	Bea	homophonic	['Bea', 'name', 'given name', 'personal name']	['bee', 'honeybee', 'insect', 'pollinator']
en_1572	I always believed my body was a prison for me. I was right, in biology I learnt they were made of cells.	cells	homographic	cells	cells	homographic	['jail cells', 'prison rooms', 'holding rooms', 'compartments', 'enclosures']	['biological cells', 'microorganisms', 'units of life', 'cytological units']
en_1573	During his lifetime, the composer Bach was a noted success.	noted	homographic	noted	Bach	homophonic	['Johann Sebastian Bach', 'composer', 'baroque musician', 'classical musician']	['back', 'returned', 'supported', 'endorsed']
en_1575	I've mailed the letter, he assented.	assented	homophonic	sent	assented	homophonic	['agreed', 'consented', 'concurred', 'approved', 'acquiesced']	['sent', 'mailed', 'dispatched', 'posted', 'forwarded']
en_1579	When a priest makes a mistake in church it's a clerical error.	clerical	homographic	clerical	clerical	homographic	['priestly', 'ecclesiastical', 'ministerial', 'pastoral', 'religious']	['administrative', 'secretarial', 'office', 'bureaucratic', 'filing']
en_1585	Two cooks had a contest and the heat was on.	heat	homographic	heat	heat	homographic	['temperature', 'warmth', 'hotness', 'thermal energy']	['pressure', 'tension', 'stress', 'competition', 'intensity']
en_1587	Careless stair dancers are heading for a heavy landing.	landing	homographic	landing	landing	homographic	['arrival', 'touchdown', 'disembarkation', 'alighting']	['floor', 'platform', 'stair landing', 'level', 'mezzanine']
en_1598	A crow in a telephone booth had no money so he had to make a collect caw.	caw	homophonic	call	caw	homophonic	['call', 'phone call', 'collect call', 'ring']	['caw', 'crow call', 'bird cry', 'squawk', 'screech']
en_1599	Two astronauts who were dating put an end to it because they both needed their space.	space	homographic	space	space	homographic	['room', 'distance', 'gap', 'breathing room', 'personal space']	['outer space', 'cosmos', 'universe', 'the final frontier', 'celestial expanse']
en_160	Take me to the dance, he bawled.	bawled	homophonic	ball	bawled	homophonic	['cried', 'wept', 'sobbed', 'howled', 'screamed']	['balled', 'danced', 'partied', 'celebrated']
en_1611	The pistol of a flower is its only protections against insects.	pistol	homophonic	pistil	pistol	homophonic	['gun', 'firearm', 'handgun', 'revolver', 'weapon']	['pistil', 'carpel', 'stigma', 'style', 'ovary', 'female reproductive part of a flower']
en_1615	If you eat soup that's nine days old you will get bad broth.	broth	homophonic	breath	broth	homophonic	['soup', 'stock', 'bouillon', 'consomme', 'potage']	['breath', 'exhalation', 'air', 'odor', 'halitosis']
en_1621	The race dogs got a bad case of the fleas-they had to be scratched.	scratched	homographic	scratched	scratched	homographic	['itched', 'clawed', 'scraped', 'rubbed']	['withdrawn', 'eliminated', 'removed', 'disqualified']
en_1622	I made a batch of fish eye soup, it should see me through the week.	see	homographic	see	see	homophonic	['observe', 'look', 'watch', 'notice', 'view']	['sustain', 'last', 'carry', 'support', 'sea']
en_1626	Arriving late, Senator Kennedy slipped on a banana peel and fell in a heap, resulting in a humerus break in the midst of the subcommittee's intense discussion.	humerus	homophonic	humorous	humerus	homophonic	['funny', 'hilarious', 'comical', 'amusing', 'humorous']	['upper arm bone', 'arm bone', 'forearm bone', 'ulna-adjacent bone']
en_1644	I started to work at a seafood buffet, but then I pulled a mussel.	mussel	homophonic	muscle	mussel	homophonic	['mussel', 'shellfish', 'bivalve', 'clam', 'mollusk']	['muscle', 'tendon', 'tissue', 'sinew', 'ligament']
en_1647	A boiled egg in the morning is hard to beat.	beat	homographic	beat	beat	homographic	['whisk', 'whip', 'mix', 'stir', 'blend']	['surpass', 'outdo', 'top', 'defeat', 'exceed', 'better']
en_1649	Swimmers have to be careful not to get into deep trouble.	deep	homographic	deep	deep	homographic	['profound', 'bottomless', 'fathomless', 'abyssal']	['serious', 'grave', 'severe', 'dire', 'extreme']
en_1660	The self-conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer.	compliment	homophonic	complement	compliment	homophonic	['praise', 'flatter', 'laud', 'commend', 'admire', 'extol']	['complement', 'complete', 'enhance', 'accompany', 'supplement', 'perfect']
en_1669	Patience is a virtue heavy in wait	wait	homophonic	weight	wait	homophonic	['wait', 'pause', 'hold on', 'stand by', 'linger', 'delay']	['weight', 'heaviness', 'mass', 'load', 'burden', 'heft']
en_167	We don’t read palms; we wave them.	palms	homographic	palms	palms	homographic	['hands', 'mitts', 'paws', 'fists']	['palm trees', 'tropical trees', 'coconut trees', 'date trees']
en_1672	The boating store had its best sail ever.	sail	homophonic	sale	sail	homophonic	['sail', 'canvas', 'sheet', 'spinnaker']	['sale', 'discount', 'bargain', 'markdown', 'clearance']
en_1674	Europe needs more self-restraint, he said continently.	continently	homophonic	continent	continently	homophonic	['with self-restraint', 'with moderation', 'temperately', 'with self-control']	['from a continent', 'Europe-like', 'continentally', 'in a continental manner']
en_1688	Old bankers never die they just lose interest.	interest	homographic	interest	interest	homographic	['enthusiasm', 'curiosity', 'engagement', 'passion', 'attention', 'fascination']	['yield', 'return', 'dividend', 'profit', 'rate', 'earnings']
en_169	Sometimes a pregnancy is so long it seems like a maternity.	maternity	homophonic	eternity	maternity	homophonic	['motherhood', 'pregnancy', 'gestation', 'prenatal']	['eternity', 'forever', 'infinity', 'perpetuity', 'endless time']
en_1701	She was only a Fireman's daughter, but she's really going to blazes.	blazes	homographic	blazes	blazes	homographic	['fires', 'flames', 'infernos', 'conflagrations', 'burning']	['succeeding', 'excelling', 'thriving', 'rising', 'advancing rapidly']
en_1705	A discussion of digging a new mine shaft was too deep for him.	deep	homographic	deep	deep	homographic	['profound', 'complex', 'difficult', 'abstract', 'intellectual']	['far down', 'low', 'bottomless', 'subterranean', 'underground']
en_1711	If you're looking for oranges on an apple tree you will have a fruitless search.	fruitless	homographic	fruitless	fruitless	homographic	['barren', 'unproductive', 'bearing no fruit', 'without fruit']	['futile', 'pointless', 'unsuccessful', 'vain', 'worthless']
en_1716	When bottled water is cheap it's called a liquidation sale.	liquidation	homophonic	liquid	liquidation	homographic	['clearance sale', 'selloff', 'closeout', 'markdown', 'fire sale']	['liquid', 'water', 'fluid', 'aqueous', 'dissolution']
en_1721	Old gardeners never die, they just get uprooted.	uprooted	homographic	uprooted	uprooted	homographic	['displaced', 'removed', 'expelled', 'relocated', 'dislodged']	['pulled out', 'dug up', 'extracted', 'plucked out', 'yanked from the ground']
en_1722	The satellite went into orbit on January 1st causing a new year's revolution.	revolution	homophonic	resolution	revolution	homographic	['orbit', 'rotation', 'circuit', 'cycle', 'round']	['resolution', "new-year's-resolution", 'intention', 'vow', 'commitment']
en_1724	Practice safe eating – always use condiments.	condiments	homophonic	condoms	condiments	homophonic	['sauces', 'toppings', 'seasonings', 'dressings', 'relishes']	['condoms', 'contraceptives', 'prophylactics', 'protection', 'safeguards']
en_1726	Wal-Mart isn't the only saving place!	saving	homographic	saving	saving	homographic	['economizing', 'bargain', 'discount', 'deal', 'thrifty', 'frugal']	['rescuing', 'protecting', 'delivering', 'redeeming', 'salvaging', 'preserving']
en_1727	I went out for a run this morning and tripped over, I could have been wearing the wrong size shoes, I haven't seen the footage yet.	footage	homophonic	foot	footage	homophonic	['film', 'recording', 'video', 'footage']	['footwear', 'foot-size', 'shoe-footage', 'foot measurement']
en_1733	Some people don't have the Vegas idea of how to quit gambling.	vegas	homophonic	vaguest	Vegas	homophonic	['Las Vegas', 'gambling city', 'Nevada city', 'Sin City']	['vaguest', 'slightest', 'faintest', 'foggiest', 'least clear']
en_1739	Those who make sponges get very absorbed in their work.	absorbed	homographic	absorbed	absorbed	homographic	['soaked up', 'saturated', 'sopped up', 'taken in liquid']	['engrossed', 'captivated', 'immersed', 'preoccupied', 'fascinated']
en_178	In times like these the value of Chinese currency should make Americans pay attention. Instead, too many of us just yuan.	yuan	homophonic	yawn	yuan	homophonic	['yuan', 'renminbi', 'Chinese currency', 'RMB']	['yawn', 'be bored', 'lose interest', 'tune out']
en_1783	The mushroom is a vegetable of high morel standing.	morel	homophonic	moral	morel	homophonic	['morel', 'edible fungus', 'mushroom', 'truffle']	['moral', 'ethical', 'virtuous', 'principled', 'righteous']
