id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	retrieval_affordances_json	retrieval_affordance_count	candidate_json	candidate_count	generation_error	generator_version
1301	I caught a bell cricket! I don't know the face... but the name sure rings a bell!				rings a bell	homographic	['familiar', 'recollection', 'memory', 'recognition', 'cognition', 'awareness']	['chime', 'clapper', 'resonance', 'instrument', 'vibration', 'sound']	cela me dit quelque chose	['familier', 'souvenir', 'mémoire', 'reconnaissance', 'cognition', 'conscience']	['carillon', 'battant', 'résonance', 'instrument', 'vibration', 'son']				[]	0	"[{""french"":""J'ai attrapé un grillon à clochette ! Son visage m'est inconnu... mais j'ai l'impression d'avoir déjà entendu ce son de cloche !"",""pun_trigger"":""son de cloche"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1302	I caught a brown cicada! I hope it's not afraid-a!				afraid-a	homophonic	['scared', 'fearful', 'frightened', 'terrified', 'anxious', 'panicked']	['cicada', 'insect', 'bug', 'wings', 'summer', 'buzz']	effrayé-a	['peureux', 'craintif', 'effrayé', 'terrifié', 'anxieux', 'paniqué']	['cigale', 'insecte', 'bestiole', 'ailes', 'été', 'bourdonnement']				"[{""left"":""créai"",""right"":""craie"",""relation"":""similar_sound"",""retrieval_bucket"":""B2_A01_DETACHED"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":0.8201,""french_naturalness"":0.42,""semantic_surprise"":0.73,""semantic_domain_similarity"":0.5495,""pun_pivot_usability"":0.45,""overall_score"":0.6086},""export_lane"":""detached_B2_A01_DETACHED""}]"	1	"[{""french"":""J'ai attrapé une cigale brune ! J'espère qu'elle n'a pas une peur bleue !"",""pun_trigger"":""brune / peur bleue"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1303	I caught a brown cicada! Now it probably feels blue, cicada.				blue, cicada	homophonic	['sad', 'gloomy', 'melancholy', 'depressed', 'unhappy', 'sorrowful']	['bleu cicada', 'insect', 'bug', 'exoskeleton', 'hemiptera', 'periodical']	bleu, cigale	['triste', 'sombre', 'mélancolique', 'déprimé', 'malheureux', 'affligé']	['cigale bleue', 'insecte', 'bestiole', 'exosquelette', 'hémiptère', 'périodique']				[]	0	"[{""french"":""J'ai attrapé une cigale marron ! Maintenant, elle a le cafard."",""pun_trigger"":""cafard"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1304	I caught a centipede! 99 more and I'll have a dollarpede!				dollarpede	homophonic	['insect', 'arthropod', 'legs', 'segment', 'creature', 'crawling']	['currency', 'money', 'finance', 'hundred', 'cents', 'value']	dollar-pède	['insecte', 'arthropode', 'pattes', 'segment', 'créature', 'rampant']	['devise', 'argent', 'finance', 'cent', 'centimes', 'valeur']				"[{""left"":""valeur"",""right"":""valseur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":3,""scores"":{""phonetic_match"":0.8747,""french_naturalness"":0.54,""semantic_surprise"":0.6611,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.7093},""export_lane"":""close_B_to_other""},{""left"":""valeur"",""right"":""vanneur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":5,""scores"":{""phonetic_match"":0.812,""french_naturalness"":0.54,""semantic_surprise"":0.6266,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.54,""overall_score"":0.6778},""export_lane"":""close_B_to_other""}]"	2	"[{""french"":""J'ai attrapé un cent-pattes ! C'est pratique, ça fait pile la monnaie pour un euro-pattes !"",""pun_trigger"":""euro-pattes"",""mechanism"":""polysemy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1305	I caught a centipede! Impede the centipede!				impede	homophonic	['hinder', 'block', 'delay', 'obstruct', 'stop', 'thwart']	['arthropod', 'insect', 'legs', 'segment', 'creature', 'insecticide']	entraver	['gêner', 'bloquer', 'retarder', 'obstruer', 'arrêter', 'contrarier']	['arthropode', 'insecte', 'pattes', 'segment', 'créature', 'insecticide']				[]	0	"[{""french"":""J'ai attrapé un mille-pattes ! Vite, fais-lui un croche-patte !"",""pun_trigger"":""croche-patte"",""mechanism"":""idiom"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1306	I caught a citrus long-horned beetle! Orange you happy for me?				Orange	homophonic	['citrus', 'fruit', 'peel', 'zest', 'segment', 'vitamin']	"[""Aren't"", 'interrogative', 'negative', 'contraction', 'expectant', 'query']"	Orange	['agrume', 'fruit', 'peau', 'zeste', 'quartier', 'vitamine']	['Ne...pas', 'interrogatif', 'négatif', 'contraction', 'expectative', 'requête']				[]	0	"[{""french"":""J'ai attrapé un capricorne des agrumes ! J'espère que ça t'orange ?"",""pun_trigger"":""t'orange"",""mechanism"":""paronymy"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1307	I caught a common bluebottle! I'll put it in a rare green jar!				bluebottle	homographic	['insect', 'fly', 'wings', 'thorax', 'antenna', 'haltere']	['vessel', 'container', 'glass', 'receptacle', 'flask', 'storage']	mousson	['insecte', 'mouche', 'ailes', 'thorax', 'antenne', 'balancier']	['vaisseau', 'récipient', 'verre', 'réceptacle', 'flacon', 'stockage']				"[{""left"":""verre"",""right"":""vert"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":1,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.94,""overall_score"":0.9106},""export_lane"":""close_B_to_other""},{""left"":""verre"",""right"":""vers"",""relation"":""same_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":2,""scores"":{""phonetic_match"":1.0,""french_naturalness"":0.86,""semantic_surprise"":0.73,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.907,""overall_score"":0.902},""export_lane"":""close_B_to_other""}]"	2	"[{""french"":""J'ai attrapé un banal ver de terre ! Je vais le garder dans un luxueux verre en cristal !"",""pun_trigger"":""ver/verre"",""mechanism"":""homophone"",""strategy"":""semantic_compensation"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1308	I caught a common butterfly! They often flutter by!				butterfly	homophonic	['insect', 'wings', 'lepidoptera', 'nectar', 'antenna', 'thorax']	['flutter', 'by', 'motion', 'flight', 'passing', 'nearby']	papillon	['insecte', 'ailes', 'lépidoptère', 'nectar', 'antenne', 'thorax']	['voltiger', 'par', 'mouvement', 'vol', 'passage', 'proximité']				"[{""left"":""passage"",""right"":""paillage"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":5,""scores"":{""phonetic_match"":0.8257,""french_naturalness"":0.54,""semantic_surprise"":0.6341,""semantic_domain_similarity"":1.0,""pun_pivot_usability"":0.57,""overall_score"":0.6907},""export_lane"":""close_B_to_other""},{""left"":""voleur"",""right"":""valeur"",""relation"":""similar_sound"",""retrieval_bucket"":""A1_B1"",""retrieval_bucket_rank"":11,""scores"":{""phonetic_match"":0.8042,""french_naturalness"":0.54,""semantic_surprise"":0.709,""semantic_domain_similarity"":0.6059,""pun_pivot_usability"":0.54,""overall_score"":0.651},""export_lane"":""close_B_to_other""}]"	2	"[{""french"":""Ce lépidoptère filait à toute vitesse, alors je lui ai crié : « Minute, papillon ! »"",""pun_trigger"":""Minute, papillon !"",""mechanism"":""idiom"",""strategy"":""idiom_or_expression"",""used_affordance_ids"":[],""semantic_relation"":""loose_theme"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1309	I caught a cricket! That's the ticket!				ticket	homographic	['receipt', 'voucher', 'slip', 'admittance', 'pass', 'admission']	['ideal', 'correct', 'appropriate', 'solution', 'strategy', 'requirement']	ticket	['reçu', 'bon', 'coupon', 'entrée', 'laisser-passer', 'admission']	['idéal', 'correct', 'approprié', 'solution', 'stratégie', 'exigence']				[]	0	"[{""french"":""J'ai dragué la contrôleuse du métro, je crois bien que j'ai un ticket !"",""pun_trigger"":""ticket"",""mechanism"":""polysemy"",""strategy"":""free_native_french"",""used_affordance_ids"":[],""semantic_relation"":""free"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
1310	I caught a damselfly! Now it's a damselfly in distress!				damselfly	homographic	['insect', 'odonata', 'wings', 'thorax', 'nature', 'predator']	['maiden', 'lady', 'noblewoman', 'medieval', 'damsel', 'captive']	demoiselle	['insecte', 'odonates', 'ailes', 'thorax', 'nature', 'prédateur']	['jeune fille', 'dame', 'noble', 'médiéval', 'demoiselle', 'captive']				[]	0	"[{""french"":""J'ai capturé cet insecte dans mon filet ! C'est maintenant une demoiselle en détresse !"",""pun_trigger"":""demoiselle"",""mechanism"":""polysemy"",""strategy"":""mechanism_preserving"",""used_affordance_ids"":[],""semantic_relation"":""same_field"",""risk"":""low"",""generator_model"":""gemini_pro"",""generator_model_id"":""google/gemini-3.1-pro-preview"",""generator_version"":""v15_single""}]"	1		v15_single
