id_en	text_clean	pun_word	pun_type	first_meaning	second_meaning	first_context	second_context	manual_location	manual_type	manual_alternative	pun_word_fr	first_meaning_fr	second_meaning_fr	first_context_fr	second_context_fr	pun_word_bt	first_meaning_bt	second_meaning_bt	first_context_bt	second_context_bt
en_1	Save the whales, he spouted.	spouted	homographic	['uttered', 'declaimed', 'proclaimed', 'ranted', 'vocalized']	['sprayed', 'gushed', 'squirted', 'jetted', 'ejected']	['Save', 'the', 'whales']	['whales']	spouted	homographic	spouted	jailli	['proféré', 'déclamé', 'proclamé', 'vociféré', 'vocalisé']	['pulvérisé', 'jailli', 'giclé', 'projeté', 'éjecté']	['Sauvez', 'les', 'baleines']	['baleines']	ERROR	[]	[]	[]	[]
en_2	If a town's people have low IQs is the population dense?	dense	homographic	['thick', 'crowded', 'compact', 'concentrated', 'packed', 'crammed']	['stupid', 'dim-witted', 'unintelligent', 'slow', 'thick-headed', 'dull']	["town's", 'population']	['low IQs']	dense	homographic	dense	dense	['épais', 'peuplé', 'compact', 'concentré', 'bondé', 'entassé']	['stupide', "simple d'esprit", 'inintelligent', 'lent', 'borné', 'obtus']	['de la ville', 'population']	['faibles QI']	ERROR	[]	[]	[]	[]
en_3	A skier retired because he was going downhill.	downhill	homographic	['descending', 'downward', 'sloping', 'declivitous']	['deteriorating', 'declining', 'worsening', 'failing']	['skier']	['retired']	downhill	homographic	downhill	en descente	['descendant', 'vers le bas', 'en pente', 'en déclivité']	['se détériorant', 'déclinant', "s'aggravant", 'défaillant']	['skieur']	['retraité']	ERROR	[]	[]	[]	[]
en_4	My wife uses a kitchen implement to shred garlic and parmesan cheese, which I hate. It really is the grater of two evils.	grater	homophonic	['shredder', 'zester', 'rasp', 'kitchen tool', 'grater']	['greater', 'bigger', 'larger', 'more significant', 'superior']	['kitchen implement', 'shred', 'garlic', 'parmesan cheese']	['two evils']	grater	homophonic	greater	râpe	['déchiqueteur', 'zesteur', 'râpe', 'ustensile de cuisine', 'râpe']	['plus grand', 'plus gros', 'plus vaste', 'plus significatif', 'supérieur']	['ustensile de cuisine', 'râper', 'ail', 'parmesan']	['deux maux']	ERROR	[]	[]	[]	[]
en_5	Staying at the trendy, new hotel was the inn thing to do.	inn	homophonic	['inn', 'hotel', 'lodging', 'tavern', 'hostel', 'lodge']	['in', 'fashionable', 'trendy', 'popular', 'stylish', 'chic', 'hip']	['Staying', 'hotel']	['trendy', 'new']	inn	homophonic	in	auberge	['auberge', 'hôtel', 'hébergement', 'taverne', 'auberge de jeunesse', 'gîte']	['en vogue', 'à la mode', 'branché', 'populaire', 'élégant', 'chic', 'tendance']	['Séjourner', 'hôtel']	['branché', 'nouveau']	ERROR	[]	[]	[]	[]
en_6	While baking, I dropped a stick of margarine on the wooden tile floor, and when my neighbor slipped and fell, I said "It must have been the parkay."	parkay	homophonic	['Parkay', 'margarine', 'spread', 'oleo', 'butter substitute']	['parquet', 'wood flooring', 'hardwood', 'inlay', 'wooden tiles']	['baking', 'stick of margarine']	['wooden tile floor', 'slipped', 'fell']	parkay	homophonic	parquet	parkay	['Parkay', 'margarine', 'pâte à tartiner', 'oléo', 'substitut de beurre']	['parquet', 'plancher en bois', 'bois dur', 'marqueterie', 'dalles de bois']	['pâtisserie', 'bâton de margarine']	['sol en dalles de bois', 'glissé', 'tombé']	ERROR	[]	[]	[]	[]
en_7	Pablo and Jose waited for a signal from Pilar to join her in the Church Tower, but neither responded to the chiming because they didn't know for whom the belle was tolling.	belle	homophonic	['belle', 'beauty', 'maiden', 'lady', 'woman']	['bell', 'chime', 'ringer', 'gong', 'knell']	['Pilar', 'her']	['Church Tower', 'chiming', 'tolling']	belle	homophonic	bell	belle	['belle', 'beauté', 'jeune fille', 'dame', 'femme']	['cloche', 'carillon', 'sonneur', 'gong', 'glas']	['Pilar', 'elle']	['Clocher', 'carillonnement', 'tintement']	ERROR	[]	[]	[]	[]
en_8	Someone once accused me of stealing an old, rare, valuable stamp, and I philately denied it.	philately	homophonic	['stamp-collecting', 'philatelic', 'stamp study', 'philately']	['flatly', 'categorically', 'absolutely', 'completely', 'bluntly']	['stamp', 'old', 'rare', 'valuable']	['denied']	philately	homophonic	flatly	philatélie	['collection de timbres', 'philatélique', 'étude des timbres', 'philatélie']	['catégoriquement', 'formellement', 'absolument', 'complètement', 'franchement']	['timbre', 'vieux', 'rare', 'précieux']	['nié']	ERROR	[]	[]	[]	[]
en_9	The whistling fisherman was always out of tuna.	tuna	homophonic	['tuna', 'fish', 'albacore', 'seafood']	['tune', 'melody', 'pitch', 'song']	['fisherman']	['whistling']	tuna	homophonic	tune	thon	['thon', 'poisson', 'germon', 'fruits de mer']	['mélodie', 'air', 'tonalité', 'chanson']	['pêcheur']	['sifflement']	ERROR	[]	[]	[]	[]
en_10	If you wear a blindfold at the shooting range, you won't know what you're missing.	missing	homographic	['failing to hit', 'overshooting', 'undershooting', 'skipping']	['lacking', 'not experiencing', 'overlooking', 'unaware of']	['shooting range']	['blindfold', "won't know"]	missing	homographic	missing	manquer	['rater la cible', 'dépasser la cible', 'tirer trop court', 'sauter']	['manquer de', 'ne pas vivre', 'négliger', 'ignorer']	['stand de tir']	['bandeau sur les yeux', 'ne saura pas']	ERROR	[]	[]	[]	[]
