id_en	text_clean	manual_location	predicted_location
en_6789	There was a sale at the fish market today. I went to see what was the catch.	catch	catch
en_3677	She was suspected of stealing a brooch but they couldn't pin it on her.	pin	pin
en_4418	"When asked by her co-workers whether they should bring a gift to her birthday party, Mary replied,"" You should know that all I'm interested in is your presence."""	presence	presence
en_4428	I want to buy that big diamond, he said hopefully.	hopefully	hopefully
en_6161	Camille relocated to Little Italy: They made her a cougher; she couldn't refuse	cougher	cougher
en_2829	The lumber company downsized. They got rid of the deadwood.	deadwood	deadwood
en_7208	It was the first time she'd seen a live sponge on display, and she really soaked it in.	soaked	soaked
en_1494	Some cardiologists are heartless.	heartless	heartless
en_1370	Old chemists never die, they just stop reacting.	reacting	reacting
en_4921	A noun and a verb were dating but they broke up because the noun was too possessive.	possesive	too
en_2630	Early nuclear experimenters discovered an element of surprise.	element	surprise
en_4113	My uncle developed a strange vulgar habit. He would only cuss when he'd eat chicken. The doctor said he has seen this happen in some cases. Too much chicken can produce a fowl mouth.	fowl	fowl
en_1282	In ancient times, seagoing vessels were much more fuel efficient. They got thousands of miles to the galleon.	galleon	galleon
en_5205	Many people think that Edgar Allan Poe was a raven madman.	raven	madman
en_3799	I'm a mathematician, he added summarily.	summarily	summarily
en_4025	Businesses selling pleasure boats often have a sail.	sail	sail
en_5620	Our garden hose was damaged yesterday, and I couldn't get to the leek without getting wet.	leek	leek
en_156	A new type of broom came out, it is sweeping the nation.	sweeping	nation
en_3291	Have you ever been whitewater rafting? he asked rapidly.	rapidly	rapidly
en_8296	Old cheese makers never die, they just lose their whey	whey	whey
en_4010	Old plagiarists never die, they just steal away.	steal	steal
en_7125	A boating accident between the yacht, Red Dawn, and the schooner, Blue Lagoon, left the survivors marooned.	marooned	marooned
en_7031	The doctor couldn't transfer the organs because he didn't have the guts to do it.	guts	guts
en_5633	My friend's bakery burned down last night. Now his business is toast.	toast	toast
en_425	Data got into so much trouble, her parents sent her packeting.	packeting	packeting
en_4991	Workers in an upholstery business demanded a wage hike to cushion the high cost of living.	cushion	cost
en_3613	I bought myself fifty hamburgers and I've only ten left, he said with fortitude.	fortitude	fortitude
en_1360	A book called 'Current Trends in Wiring your House' turned out to be a shocking failure.	shocking	shocking
en_2212	I bought me some of those new paper shirts. I don't like them-they're tearable.	tearable	tearable
en_6441	The dervish had so much endurance, he set a new whirled record.	whirled	whirled
en_6365	Dry cleaners are often pressed for time.	pressed	pressed
en_1386	3.14159265, he said piously.	piously	piously
en_1273	Three fingers were willing to cooperate but the thumb and forefinger were opposed.	opposed	opposed
en_6722	Communism is a complicated thing. You must think about from all sorts of Engels.	engels	engels
en_1181	Old tree surgeons never die, they are just uprooted.	uprooted	uprooted
en_6244	His affection for her was more than a passion interest.	passion	passion
en_6734	An argument at the Bomb Squad convention ended in a blowup.	blowup	blowup
en_4012	She memorized just what kind of locket she wanted, by heart.	heart	heart
en_2955	The psychotic florist created many flower derangements.	derangements	derangements
en_5771	He avoided funerals because he was not a mourning person.	mourning	mourning
en_442	Old tree surgeons never die, they just pine away.	pine	pine
en_2198	I like ragged margins, he said without justification.	justification	justification
en_7282	She was only a Catcher's daughter, but she had many balls bounce off her chin.	balls	chin
en_1883	A group called the Balloons sings pop music.	pop	pop
en_5167	I'll tempt Adam tonight, she said evilly.	evilly	evilly
en_7383	Doctor, doctor, I keep thinking I'm a billiard ball.-Get back in the queue. Next.	queue	queue
en_2942	Even though Ashley was blind and under arrest, she still had hope that someone would brail her out.	brail	brail
en_4682	Why was the car embarrassed? Because it had gas!	gas	gas
en_2851	His business plan to manufacture scissors just didn't cut it.	cut	cut
en_2260	After the sniper attack at the symphony softball game, there were no men left on bass.	bass	bass
en_4463	Old mediums never die, they just lose their spirits.	spirits	spirits
en_652	Before the golfer finished drinking the iced, brewed beverage he dropped his tee on the cart path.	tee	tee
en_4077	Old eskimos never die, they just go cold.	cold	cold
en_2144	There was a guy who was fired from the orange juice factory for lack of concentration.	concentration	concentration
en_6913	I get my large circumference from too much pi.	pi	too
en_3396	The careless pyromaniac made an ash of himself.	ash	ash
en_1256	I might study something at a university that someone once told me about-there is a degree of ambiguity there.	degree	ambiguity
en_6343	Pencil sharpeners have a tough life-they live off tips.	tips	tips
en_2410	Company's coming, he guessed.	guessed	guessed
en_6914	What keeps a dock floating above water? Pier pressure.	pier	pier
en_2977	Be true to your teeth, or they will be false to you.	false	false
en_3195	My stereo's half-fixed, he said monotonously.	monotonously	monotonously
en_7219	I was the first to climb Mount Everest, he said hilariously.	hilariously	hilariously
en_2740	He and his partner made knives, and they shared a cut.	cut	cut
en_3189	If you want a metal dog leash go to a chain store.	chain	chain
en_6140	Old tree surgeons never die, they just take a final bough.	bough	bough
en_6532	A case of disappearing bison had police completely buffaloed.	buffaloed	buffaloed
en_4520	Old chemists never die, they just fail to react.	react	react
en_1399	Old shoemakers never die, they are just given the boot.	boot	boot
en_2010	I feel empty inside, he hollered.	hollered	hollered
en_6330	The triglyph commented, 'It's friezing in here..	friezing	friezing
en_2024	The Biomedical Engineer didn't have the heart to check the EKG machine.	heart	machine
en_7096	Two banks with different rates have a conflict of interest.	interest	interest
en_215	When it got stuck in the mud my car had to be toad.	toad	toad
en_389	Rabbits like their beer brewed with a lot of hops.	hops	hops
en_2329	I'd really like to know whether her collapse was due to a serious illness or whether it was one of her usual feints.	feints	feints
en_4342	I've gained thirty pounds, he said heavily.	heavily	heavily
en_45	Old antenna engineers never die, they just phase away.	phase	phase
en_6639	The dieters vowed to let nothing go to waist.	waist	waist
en_2985	I went and saw the Hobbit, it put a Smaug look on my face.	smaug	smaug
en_1254	I won't tell you anything about my salivary glands, he said secretively.	secretively	secretively
en_4031	Well drilling is a deep subject.	deep	deep
en_3804	When the creator of Tarzan wrote about Pellucidar and other Earth-core stories, was it Edgar Rice burrows?	burrows	burrows
en_6413	I'm a sap for tree jokes.	sap	tree
en_4619	A baseball pitcher asked if he had a good curve ball, but wanted a straight answer.	straight	straight
en_3251	There was a lot of equestrian paraphernalia at the bridle shower.	bridle	bridle
en_7757	The fine print is usually a clause for suspicion.	clause	clause
en_4269	Edison thought it would be an illuminating experience.	illuminating	illuminating
en_5983	The stress of having his beloved pet bunny die caused a man to go bald. He was very upset about losing his hare.	hare	hare
en_7202	For the woman who wore size 13, finding shoes that fit was no small feat.	feat	feat
en_4112	I went to the theatre, it looked a bit suspicious. I reckon the whole thing was staged.	staged	staged
en_2508	She was only a Insurance broker's daughter, but all the guys liked her policy.	policy	policy
en_935	Our bikinis are exciting. They are simply the tops.	tops	tops
