id_en	text_clean	manual_location	manual_type	manual_alternative	pun_word	pun_type	first_meaning	second_meaning	pun_word_fr	first_meaning_fr	second_meaning_fr	pun_word_bt	first_meaning_bt	second_meaning_bt
2301	Old golfers never die they just putter away.				putter	homographic	['move aimlessly', 'dawdle', 'waste time', 'tinker']	['golf club', 'short-range club', 'golfer who is putting']	putter	['traîner', 'flâner', 'perdre son temps', 'bricoler']	['club de golf', 'club de précision', 'golfeur qui joue un putt']	putter	['to loiter', 'to stroll', 'to waste time', 'to tinker']	['golf club', 'precision club', 'golfer playing a putt']
2302	Old golfers never die, they just lose their drive.				drive	homographic	['long-distance golf shot', 'tee shot', 'stroke']	['motivation', 'ambition', 'energy', 'determination', 'vigor']	élan	['coup de golf de longue distance', 'coup de départ', 'frappe']	['motivation', 'ambition', 'énergie', 'détermination', 'vigueur']	élan	['long-distance golf shot', 'tee shot', 'swing']	['momentum', 'ambition', 'energy', 'determination', 'vigor']
2303	Old gossips never die they just lose their confidants				confidants	homophonic	['intimates', 'close friends', 'trusted people', 'advisors']	['confidence', 'assurance', 'self-reliance', 'poise', 'confidents']	confidents	['intimes', 'amis proches', 'personnes de confiance', 'conseillers']	['confiance', 'assurance', 'autonomie', 'aplomb', 'confidents']	confidants	['intimates', 'close friends', 'trusted people', 'advisors']	['confidence', 'assurance', 'self-reliance', 'poise', 'confidants']
2304	Old gravediggers never die, they just get buried in their work				buried	homographic	['interred', 'entombed', 'laid to rest', 'inhumed']	['overwhelmed', 'engrossed', 'submerged', 'occupied']	enterré	['inhumé', 'mis en terre', 'enterré', 'enseveli']	['débordé', 'immergé', 'submergé', 'occupé']	buried	['interred', 'placed in the ground', 'buried', 'entombed']	['overwhelmed', 'immersed', 'submerged', 'busy']
2305	Old gravediggers; never die, they just spade away.				spade	homophonic	['dig', 'shovel', 'excavate']	['fade', 'wither', 'disappear', 'gradually vanish']	pique	['creuser', 'pelleter', 'excaver']	"['se faner', 'se flétrir', 'disparaître', ""s'estomper progressivement""]"	spade	['dig', 'shovel', 'excavate']	['wither', 'wilt', 'disappear', 'fade away']
2306	Old grocers never die, they just get shelved.				shelved	homographic	['stored', 'stocked', 'placed on a shelf', 'arranged on racks']	['retired', 'dismissed', 'sidelined', 'put aside', 'deferred']	mis au placard	['rangé sur une étagère', 'stocké', 'placé sur un rayon', 'disposé sur des casiers']	['mis à la retraite', 'licencié', 'écarté', 'mis de côté', 'reporté']	sidelined	['stored on a shelf', 'put away', 'placed on a rack', 'arranged in cabinets']	['forced into retirement', 'dismissed', 'excluded', 'set aside', 'postponed']
2307	Old guitarists never die, they just become unstrung.				unstrung	homographic	['emotionally distressed', 'unsettled', 'unnerved', 'discomposed', 'falling apart']	['without strings', 'detached strings', 'removal of chords', 'de-strung']	détendu	['bouleversé', 'décontenancé', 'nerveux', 'décomposé', 'à bout de nerfs']	['sans cordes', 'cordes détachées', 'retrait des cordes', 'décordé']	relaxed	"['upset', 'disconcerted', 'nervous', 'distraught', ""at the end of one's tether""]"	['without strings', 'detached strings', 'removal of strings', 'unstrung']
2308	Old guitarists never die, they just fret their lives away				fret	homographic	['worry', 'agonize', 'brood', 'obsess', 'fuss']	['finger a guitar neck', 'press strings', 'musical bar', 'ridge on a fingerboard']	frette	"[""s'inquiéter"", 'se tourmenter', 'méditer', 'obséder', 'faire des histoires']"	['doigter un manche de guitare', 'appuyer sur les cordes', 'barrette musicale', 'crête sur une touche']	fret	['to worry', 'to fret', 'to brood', 'to obsess', 'to make a fuss']	['to fret a guitar neck', 'topress the strings', 'musical fret', 'ridge on a fingerboard']
2309	Old guns never die they just get loaded.				loaded	homographic	['charged', 'primed', 'filled with ammunition']	['drunk', 'intoxicated', 'inebriated']	chargé	['chargé', 'amorcé', 'rempli de munitions']	['bourré', 'enivré', 'ivre']	loaded	['charged', 'primed', 'filled with ammunition']	['drunk', 'intoxicated', 'inebriated']
2310	Old hackers never die, they just go to bits				bits	homographic	['binary digits', 'data units', 'software components']	['shreds', 'pieces', 'fragments', 'decomposed']	bits	['chiffres binaires', 'unités de données', 'composants logiciels']	['lambeaux', 'morceaux', 'fragments', 'décomposés']	bits	['binary digits', 'data units', 'software components']	['shreds', 'pieces', 'fragments', 'decomposed']
2311	Old hairdressers never die, they just braid away.				braid	homophonic	['braid', 'plait', 'intertwine', 'weave']	['fade', 'dissolve', 'vanish', 'evaporate']	tresse	['tresser', 'natter', 'entrelacer', 'tisser']	"[""s'estomper"", 'se dissoudre', 'disparaître', ""s'évaporer""]"	braid	['braid', 'plait', 'intertwine', 'weave']	['fade', 'dissolve', 'disappear', 'evaporate']
2312	Old hairdressers never dye... or cut.				dye	homophonic	['color', 'tint', 'stain', 'pigment', 'shade']	['die', 'expire', 'perish', 'pass away', 'cease to exist']	teinture	['couleur', 'teinte', 'tache', 'pigment', 'nuance']	"['mourir', 'expirer', 'périr', 'décéder', ""cesser d'exister""]"	dye	['color', 'tint', 'stain', 'pigment', 'shade']	['die', 'expire', 'perish', 'decease', 'cease to exist']
2313	Old helsinki tourists never die, they just vanish into Finn air.				Finn air	homophonic	['thin air', 'nothingness', 'void', 'obscurity']	['Finnair', 'Finnish airline', 'aviation service', 'Finn']	Finn air	"['le néant', 'le vide', ""l'obscurité"", 'disparaître soudainement']"	"['Finnair', 'compagnie aérienne finlandaise', ""service d'aviation"", 'Finlandais']"	Finn air	['thin air', 'the void', 'the darkness', 'to disappear suddenly']	['Finnair', 'Finnish airline', 'aviation service', 'Finnish']
2314	Old hikers never die they just get the boot.				boot	homographic	['hiking shoe', 'footwear', 'sturdy shoe']	['dismissal', 'expulsion', 'kicked out', 'terminated']	botte	['chaussure de randonnée', 'chaussures', 'chaussure robuste']	['licenciement', 'expulsion', 'mis à la porte', 'renvoyé']	boot	['hiking boot', 'shoes', 'sturdy shoe']	['dismissal', 'expulsion', 'kicked out', 'fired']
2315	Old hikers never die, they just trail away.				trail	homographic	['fade', 'gradually cease', 'subside']	['path', 'hiking track', 'wilderness route']	piste	"[""s'estomper"", 'cesser progressivement', ""s'apaiser""]"	['chemin', 'sentier de randonnée', 'itinéraire en pleine nature']	track	['to fade away', 'to cease gradually', 'to subside']	['path', 'hiking trail', 'nature route']
2316	Old hippies never die, they just take a trip.				trip	homographic	['journey', 'vacation', 'excursion', 'voyage']	['hallucination', 'psychedelic experience', 'high', 'drug-induced state']	voyage	['parcours', 'vacances', 'excursion', 'voyage']	"['hallucination', 'expérience psychédélique', 'trip', ""état sous l'influence de drogue""]"	trip	['journey', 'vacation', 'excursion', 'travel']	['hallucination', 'psychedelic experience', 'trip', 'state under the influence of drugs']
2317	Old hockey players never die, they just achieve their final goal.				goal	homographic	['score', 'point', 'shot', 'puck in net']	['objective', 'end', 'purpose', 'destination', 'finality']	but	['score', 'point', 'tir', 'palet dans le filet']	['objectif', 'fin', 'but', 'destination', 'finalité']	goal	['score', 'point', 'shot', 'puck in the net']	['objective', 'end', 'purpose', 'destination', 'finality']
2318	Old hookers never die, they just get laid off.				laid off	homographic	['fired', 'dismissed', 'terminated', 'made redundant']	['had sex', 'bedded', 'copulated']	licencié	['renvoyé', 'licencié', 'congédié', 'mis à pied']	['a couché', 'baisé', 'copulé']	laid off	['dismissed', 'fired', 'discharged', 'laid off']	['slept with', 'fucked', 'copulated']
